gene
yadE
yadD (rpnC)
bamA
ivy
ivy
lpxK
ycbL (gloC)
pqiA
phoH
ycgN 
ycgN
yneM (mgtS)
slyB
yeaI (cdgI)
yfaD (rpnE)
prlF
cysG
yhgA (rpnA)
yiiD
dusA
priB
pmbA
hha
ybbO
dsbG
potA
proQ
yebG
wzzB
yfcI (rpnB)
fabB
yfeA (pdeA)
clpB
speA
nudF
infB
mlaD
arcB
rpsM
lysU
mrcB
yghG
pdhR
ispU
ybcM
tolB
zapC
gnsA
chaB
rssA
rssA
tonB
pspA
trkG
ydcD
purR
yeaK
manX
yebK
yeeJ
yejL
yfeC
dapE
queD
ygdQ
prlF
lptC
hslR
rlmJ
cspA
yibA
rho
yihX
murB
birA
birA
yjdP
groS
nsrR
intB
rimI
yjjG
sfsA
map
mltD
yafQ
ybhG
ybjX
etk
msyB
phoQ
purU
ribA
fumA
ydhZ
yeaQ
leuE
rlmA
yecJ
yfcD
aroF
rlmM
rlmM
amiC
serA
mscS
exbB
rbfA
smg
rpsM
gspB
kbl
glmS
atpI
yshB
metJ
nlpE
clpS
srkA
intB
cyoA
prfB
prfB
rarD
ftsA
yafS
ECD_00212
rayT
mak
phoR
yajD
ybbP
ECD_00830
ECD_00831
ybjO
elfG
pqiA
tmk
ycgL
chaC
ychE
yciY
puuD
mcbR
ydeA
yniD
ydiZ
yoaC
yebK
yebK
yohJ
lpxT
narP
arnB
ypdK
yfeW
yfhL
bamD
ygdG
loiP
endA
ECD_02814
yghB
diaA
gltB
ECD_03080
aaeR
bcsE
mtlR
yibL
dfp
dut
trxA
yihI
yjaG
yjbM
yjiPQ
ytjA
caiD
frmB
frmR
ECD_00378
ybaZ
folD
ybdM
dsbG
rna
rsfS
ybeZ
ybiA
ECD_00814
flgN
mfd
gmr
ycjD
intR
ECD_01336
yncD
hipA
ECD_01542
ynfK
uidC
uidR
ECD_01628
ECD_01628
btuD
btuE
cedA
msrC
flhB
yeeE
plaP
wbbB
asmA
ECD_02036
nuoI
nuoE
nuoC
truA
cysW
hda
yfgJ
hisS
tadA
ffh
ratA
yqcA
ECD_02650
ygeV
ECD_02826
ECD_02828
exbB
glnE
mug
zntR
bfd
yhgE
envZ
yiaJ
yiaJ
ECD_03524
nepI
ibpA
rarD
rhtB
coaA
yjgM
yceD
insQ
yhhA
gor
dsbA
yhdN
rpmD
atpB
dnaJ
nhaR
ilvI
murD
ddlB
secA
aceF
pyrH
ispU
skp
tilS
yafJ
ykgL
betT
tauD
yaiI
ribD
hupB
ybaQ
fetA
allR
pagP
djlC
ybfB
ECD_00662
ybgL
nei
nadA
ybiR
iaaA
gsiA
ECD_00830
ECD_00831
ybjN
cmk
smtA
elfG
pyrD
pyrD
pqiC
yccE
plsX
fabH
fabD
fabG
cobB
ycgN
dadA
rssB
galU
galU
yciO
ynaJ
ydaN
trkG
ydbL
insQ
yncE
ECD_01527
manA
rsxC
cfa
ydiZ
yoaC
yebW
ECD_04329
yeeJ
yeeN
hisB
ECD_02034
metG
arnB
evgA
yfeS
sseA
suhB
suhB
ECD_02510
ECD_02512
ygaM
nrdF
idi
fldB
yggS
ECD_02798
ECD_02814
qseC
yqiI
ispB
degQ
yrdA
slyX
yrfG
rhsB
uspA
arsR
rhsJ
dinD
ECD_03516
ECD_03517
ECD_03521
ECD_03521
ECD_03531
ECD_03531
yieE
yieH
cbrC
cbrC
ilvG
ilvC
wecF
tatA
fdhD
yiiR
yiiS
murB
murB
metH
yjbJ
proP
tsaE
amiB
hflX
ytfA
cycA
tamB
ECD_04389
rraB
lptG
fimD
mrr
radA
slt
surA
leuA
speD
can
metN
gloB
yafQ
yajR
ECD_00377
fsr
borD
citT
ybeF
lnt
umpH
ybfE
gstB
gstB
deoR
ybjI
ECD_00814
ECD_00817
ECD_00828
ECD_00828
ybjX
cspD
ycaN
pncB
yccS
yccF
msyB
ldtC
potA
phoP
mnmA
purU
adhE
kch
kch
trpC
gmr
rnb
puuA
intR
yncL
maeA
hipA
glsB
stfR
ynfK
pdxY
yobF
htpX
yobA
yebE
yebF
yebG
edd
znuA
yebC
flhB
flhB
flhB
cbl
sbmC
manC
wbbD
wbbC
wbbC
wzy
wbbB
wbbA
vioB
vioB
vioA
vioA
wzx
wzx
rmlC
gatD
gatA
ECD_02037
yehS
rcsC
yfaL
inaA
pmrD
elaA
hisJ
accD
accD
pdxB
aroC
yfcO
yfcO
sixA
mntH
ucpA
maeB
ypfH
dapA
yfgJ
rlmN
pepB
glrK
rnc
clpB
ffh
mltB
pyrG
syd
ECD_02649
ptrA
recC
thyA
ygeV
ubiH
yggC
ECD_04360
ECD_02820
ECD_02820
ECD_02821
ECD_02821
ECD_02822
ECD_02822
ECD_02825
ECD_02825
ECD_02826
ECD_02827
yghG
sslE
gss
mqsA
nudF
glgS
hldE
folB
higB
yhbT
nusA
secG
glmM
ibaG
yhdP
csrD
rpsD
rpsK
rpsN
rplE
rplB
bfr
tusC
yheO
kefB
rpe
nudE
yhgE
bisC
waaL
waaV
waaY
waaG
ivbL
ibpB
glmS
mnmG
asnC
viaA
yifB
gpp
rhlB
glpK
qorA
basS
nrdD
argI
sgcQ
yjiK
rob
yahM
murJ
ydiK
yodB
plsY
miaA
ubiX
gntR
xis
dnaQ
apt
cueR
gsiA
ybjN
clpS
clpS
ECD_02509
ispB
aaeR
dusB
rlmJ
ubiD
metB
yijD
tsaE
ECD_04162
ECD_04162
ECD_04162
yafQ
ylaB
ybcJ
ybjX
iraM
ECD_01487
proQ
lpxM
cobT
gatB
folE
pgpC
cysC
ECD_02650
yggE
ECD_02822
ECD_02827
