"","genenames","logFC","logCPM","F","PValue","FDR"
"b1116","lolC",-0.479476432570822,3.99558156383516,12.178521013458,0.00140564775453314,"> 0.5"
"b0730","mngR",0.370606264256541,6.59250579544944,10.1712500741368,0.00314060502810484,"> 0.5"
"b0191","arfB",-0.542133981760735,3.69829426001754,10.1130360801909,0.00321695060522796,"> 0.5"
"b4279","yjhB",0.227513800486447,8.60879460486133,7.1730267238177,0.0114892706336998,"> 0.5"
"b1174","minE",0.340048951582669,9.42792518548242,7.14219992268952,0.0116517171893522,"> 0.5"
"b1922","fliA",-0.277774994345458,6.15559418176645,7.05254186882929,0.0121384700064918,"> 0.5"
"b4167","nnr",0.40501329725613,3.81678169902921,6.974728049833,0.0125787771613435,"> 0.5"
"b0132","yadD",-0.25237199110874,7.08821437070654,6.78508640862349,0.0137259794718673,"> 0.5"
"b3931","hslU",-0.431547287981813,3.98469536569257,6.6134027870852,0.0148627168113224,"> 0.5"
"b4292","fecR",-0.849099678936101,1.80328609019502,6.2154110475075,0.0179105684682315,"> 0.5"
"b2667","ygaV",0.247929850581347,6.20794444544615,6.14447832528883,0.0185218820828256,"> 0.5"
"b0345","lacI",-0.425812773164063,3.90603454369671,6.11004854826702,0.018826750199558,"> 0.5"
"b2838","lysA",0.385880015212765,4.19532849069905,5.97450118617374,0.0200811248707955,"> 0.5"
"b2686","emrB",-0.241755097007283,5.59881746252412,5.81335251397834,0.0216920509189629,"> 0.5"
"b1465","narV",-0.299482472077852,6.0890062840671,5.64105965190632,0.0235715767845445,"> 0.5"
"b0154","hemL",-0.43210910230947,4.20720528288628,5.63770207376163,0.0236099248010009,"> 0.5"
"b2466","ypfG",0.255847183024695,6.14109975894423,5.6132338985722,0.0238914477743276,"> 0.5"
"b2558","mltF",-0.243722380375168,4.77761538626016,5.51025771143659,0.0251170656534351,"> 0.5"
"b4389","radA",0.48784247339169,2.30814434246678,5.33577645361175,0.0273534427835914,"> 0.5"
"b1745","astB",-0.288332711808778,5.87944352829788,5.30185507694002,0.0278130048931125,"> 0.5"
"b1406","ydbC",-0.341118953418897,6.75248580239803,5.30049919014473,0.0278315489398578,"> 0.5"
"b0983","gfcE",0.274204689469566,5.9512569911717,5.27074522901408,0.0282419088039318,"> 0.5"
"b1120","cobB",-0.345528792946287,4.27598408178589,5.27057566232645,0.0282442663151631,"> 0.5"
"b0402","proY",-0.250181562093346,5.80591275995727,5.17173450057827,0.0296558401840637,"> 0.5"
"b1343","dbpA",-0.379275089627195,3.85364968150073,5.16746330125704,0.029718554815594,"> 0.5"
"b3600","mtlD",-0.21201186008864,7.4523111640784,5.10197743987689,0.0306985055762673,"> 0.5"
"b4245","pyrB",0.537697037810773,1.97819549719338,5.03417366432365,0.0317505890456498,"> 0.5"
"b2270","yfbK",0.67273801865974,2.17937899036812,4.90957449358204,0.0337885755905734,"> 0.5"
"b0060","polB",-0.368105127658998,4.85541604735266,4.89210709641529,0.0340855767639609,"> 0.5"
"b0346","mhpR",0.246821891915136,9.79405528859871,4.84010635789313,0.0349868598425175,"> 0.5"
"b1522","yneF",-0.416798775218618,3.90923929283868,4.83162069727235,0.0351364036625151,"> 0.5"
"b2284","nuoF",-0.36381835020857,3.74350105606392,4.82615048855659,0.0352331780530195,"> 0.5"
"b1527","yneK",0.213794556354397,7.81993833116246,4.74907148373734,0.0366284063575741,"> 0.5"
"b1311","ycjO",-0.240009895594878,7.81337061033001,4.66780893701684,0.0381654816458349,"> 0.5"
"b3083","higB",-0.330383498256472,3.77707739559561,4.60085597802778,0.0394853085949011,"> 0.5"
"b3324","gspC",-0.524239456317578,4.56163116302711,4.5936938525718,0.0396294442281018,"> 0.5"
"b2008","yeeA",-0.239790542845779,5.44558471040084,4.55619158479108,0.0403936946567281,"> 0.5"
"b4693","aaaE",0.449172785805211,2.71129981868476,4.55303422145601,0.0404587754694301,"> 0.5"
"b2226","yfaQ",-0.345589078829336,6.87531385006627,4.55157981504642,0.0404887931428254,"> 0.5"
"b2047","wcaJ",-0.400305531091446,3.43161000519878,4.50447720298309,0.0414743510994336,"> 0.5"
"b0051","rsmA",0.257227529389042,4.83042516464256,4.48027462161008,0.0419910244900804,"> 0.5"
"b3729","glmS",-0.314205742538348,6.38326716823625,4.4689533378728,0.0422351441816231,"> 0.5"
"b1201","dhaR",-0.291552412368011,5.09108692200128,4.4626546293459,0.0423716403307708,"> 0.5"
"b3173","yhbX",0.245194655313363,7.31623121572935,4.44983789393023,0.0426508910980292,"> 0.5"
"b2511","der",0.157633186355231,8.15035892148746,4.43377677750187,0.0430037021155158,"> 0.5"
"b0768","ybhD",0.21964611310354,9.22428294121533,4.42204331775882,0.0432634850675648,"> 0.5"
"b0158","btuF",1.16304710695302,3.81772030730167,4.43783126259068,0.0439059147848539,"> 0.5"
"b2643","yfjX",0.179533177945949,6.61932479471342,4.38492469058308,0.0440967850714449,"> 0.5"
"b1608","rstA",-0.209610808052861,7.00712381671305,4.33771630587014,0.045182319409863,"> 0.5"
"b2412","zipA",0.265536353898347,7.06919107084308,4.22498514151363,0.0478960283896457,"> 0.5"
"b1514","lsrC",-0.358090274248762,5.42442190599686,4.22158234398047,0.0479806994431501,"> 0.5"
"b0921","smtA",-0.250911015405429,6.27804861700592,4.21048052938686,0.0482580979943864,"> 0.5"
"b1077","flgF",-0.252791609974903,6.67165355806029,4.18291838722197,0.0489544974684254,"> 0.5"
"b3394","hofN",0.596593670459639,3.08564772241929,4.17701059519001,0.0491052112971521,"> 0.5"
"b2537","hcaR",-0.260023402281305,6.69935146836901,4.14589469455349,0.0499075437103851,"> 0.5"
"b0719","ybgD",0.15672463747974,7.84242385436145,4.12600166440191,0.0504281011808321,"> 0.5"
"b0723","sdhA",-0.280738773696532,6.65742916764397,4.10297011480037,0.0510383210156228,"> 0.5"
"b0849","grxA",0.209325826819655,9.18238733797216,4.06306231772506,0.0521151661439875,"> 0.5"
"b3595","rhsJ",0.326473909116806,4.17104843135982,4.06290699176543,0.0521194063079846,"> 0.5"
"b0027","lspA",0.413462516774006,2.92320546706987,4.04344360058435,0.0526537705564631,"> 0.5"
"b2704","srlB",0.244884771510172,5.40625490547363,4.01535565384043,0.0534356764199816,"> 0.5"
"b3954","yijO",0.239160896387459,5.13811388503736,3.99383375721421,0.0540435274237522,"> 0.5"
"b3359","argD",-0.190925780234985,6.77109166870849,3.97836020993827,0.054485300200918,"> 0.5"
