"","genenames","logFC","logCPM","F","PValue","FDR"
"b0505","allA",0.406409717680794,8.52540966666494,15.7026094446889,0.000378684828394693,"> 0.5"
"b2558","mltF",-0.355590770877326,4.77761538626016,11.5376956899405,0.00180799129617359,"> 0.5"
"b0583","entD",-0.689362371791439,2.15039400955404,11.3857271659797,0.00192046620728525,"> 0.5"
"b1432","insQ",0.414668111515725,9.26992305869835,10.4068852285677,0.002850857624136,"> 0.5"
"b4262","lptG",-0.277178497414886,6.48313779604345,10.1562433593415,0.00316009805832927,"> 0.5"
"b3946","fsaB",0.524121929102688,8.42718678325076,10.1248492903089,0.00320129849952527,"> 0.5"
"b4279","yjhB",0.26728414319061,8.60879460486133,9.91727382886937,0.00348864177329166,"> 0.5"
"b0790","ybhP",0.626069802739609,5.57512648561418,9.8813461717769,0.00354112622640225,"> 0.5"
"b0573","cusF",0.327330290416645,8.6215455016184,9.44461660392466,0.00425153672321426,"> 0.5"
"b1201","dhaR",-0.423197988840057,5.09108692200128,9.24309671008284,0.00462967440677827,"> 0.5"
"b4552","yrhC",0.252097708373645,8.04648719824105,9.14695145184716,0.00482267946547585,"> 0.5"
"b0763","modA",0.362567136431417,9.27012203587806,9.11313341571888,0.00489260797916489,"> 0.5"
"b4240","treB",0.276391905434215,5.90926781624094,8.97631645390075,0.00518684389997943,"> 0.5"
"b1219","ychN",0.287341162745951,10.2772317124189,8.91386413342351,0.00532742722773278,"> 0.5"
"b3105","yhaJ",0.394711378355315,6.06148590828079,8.56846145329546,0.00618273027219307,"> 0.5"
"b2835","lplT",-0.341720580989692,5.90502877340301,8.50880240098754,0.00634488290323753,"> 0.5"
"b1991","cobT",0.598933877041194,7.21324837153758,8.43261743144436,0.00655864086053618,"> 0.5"
"b1422","ydcI",0.372343312618396,8.73076196052702,8.17125251467338,0.00735296637385205,"> 0.5"
"b2412","zipA",0.365833569763806,7.06919107084308,8.05681697006929,0.00773285320860973,"> 0.5"
"b1745","astB",-0.355388194164583,5.87944352829788,7.98309532734221,0.00798875479106343,"> 0.5"
"b3577","yiaM",0.353315837829687,8.37799389099686,7.86262885185626,0.0084267786024689,"> 0.5"
"b0383","phoA",0.317776726703082,9.27000036816785,7.77533161989774,0.00876036085068185,"> 0.5"
"b2920","scpC",0.298505180462565,10.6388602455537,7.74620293101233,0.00887481606407437,"> 0.5"
"b3867","hemN",-0.31025369917549,6.08119187845312,7.6216570869487,0.00938271819059615,"> 0.5"
"b3083","higB",-0.428142646314109,3.77707739559561,7.57908867208519,0.00956343790734675,"> 0.5"
"b0849","grxA",0.281049809699186,9.18238733797216,7.34904104627432,0.010607420196502,"> 0.5"
"b1978","yeeJ",-0.229901156671051,7.43698549382553,7.2183700793658,0.0112547612819985,"> 0.5"
"b0069","sgrR",-0.473601128870864,3.546419112023,7.16678860666354,0.0115219446029138,"> 0.5"
"b0921","smtA",-0.327733772868168,6.27804861700592,7.12918961006701,0.0117210209839666,"> 0.5"
"b0984","gfcD",-0.359688472594054,6.22307400484495,7.05019644839919,0.0121514949620243,"> 0.5"
"b3324","gspC",-0.656461566676939,4.56163116302711,7.01275299900748,0.0123614926838472,"> 0.5"
"b1497","ydeM",-0.46539326364685,2.90252783296366,6.93627224812692,0.0128027345232191,"> 0.5"
"b1761","gdhA",0.243772927013446,10.2712352854038,6.81386293616805,0.0135448405974691,"> 0.5"
"b1260","trpA",-0.30543304623157,7.79551428236764,6.79650797627484,0.0136537722684379,"> 0.5"
"b4282","yjhE",0.611523065338571,2.54634227715665,6.75418432217751,0.0139234246415278,"> 0.5"
"b0869","ybjT",-0.80171541471976,2.15012184713468,6.66336070944723,0.0145217628408504,"> 0.5"
"b3178","ftsH",0.405070272066699,5.70240115531014,6.65696346238836,0.0145649456406137,"> 0.5"
"b3552","yiaD",0.258951352728632,11.8347988472429,6.65516393355129,0.0145771179198273,"> 0.5"
"b4175","hflC",-0.230823218187669,7.45152774467326,6.61705948673426,0.0148374683847239,"> 0.5"
"b1206","dauA",-0.319170227659109,5.86550902032856,6.55677315708953,0.0152597335214271,"> 0.5"
"b0342","lacA",0.337796771191542,8.58956735029959,6.55662301221617,0.0152608013154048,"> 0.5"
