"","genenames","logFC","logCPM","F","PValue","FDR"
"b3599","mtlA",-0.0425245715177525,8.02168062816072,0.126985328510015,0.723868983800124,"> 0.5"
"b2178","yejB",-0.0601403665578502,3.8442138524668,0.12696319338222,0.723892022159678,"> 0.5"
"b1481","bdm",0.0496305226219395,8.61701484465759,0.126812923756707,0.724048483638248,"> 0.5"
"b1717","rpmI",0.0477375567960398,8.99425079463246,0.126679317674107,0.724187682964168,"> 0.5"
"b0189","rof",-0.0481270315308033,5.56585710790639,0.126274773901089,0.724609668945384,"> 0.5"
"b0297","eaeH",-0.0684046975753033,5.71474042576948,0.126190882288898,0.724697273168408,"> 0.5"
"b2467","nudK",-0.0465629517745815,5.09631083002154,0.126165508031281,0.724723776838711,"> 0.5"
"b0797","rhlE",0.0932826919115373,1.96197084206475,0.125479223265212,0.725441753013516,"> 0.5"
"b0880","cspD",0.0461751603758352,9.33565588219585,0.124994278637706,0.725950428945402,"> 0.5"
"b0501","ybbD",-0.0511305205974585,7.09767250038123,0.124805030753307,0.726149239900279,"> 0.5"
"b3424","glpG",0.0802202896415462,4.84893032210889,0.124511086444478,0.726458375259796,"> 0.5"
"b2810","csdA",-0.0476295218960871,7.05072514729851,0.1240164514002,0.726979503351501,"> 0.5"
"b0280","yagN",0.0383924244227981,7.43656770791758,0.12396381989983,0.727035022758605,"> 0.5"
"b0751","pnuC",0.0417872895335528,7.82539782713429,0.123870350275014,0.727133653848824,"> 0.5"
"b2294","yfbU",-0.0335351065263821,8.89869490447662,0.123574378120851,0.727446246789222,"> 0.5"
"b3374","frlD",-0.0545163054777022,4.88713229117434,0.123093934140693,0.727954570281047,"> 0.5"
"b4023","yjbD",-0.0395375202609215,5.82850754360196,0.1229367595368,0.728121108038974,"> 0.5"
"b1931","yedK",-0.0458471672281923,5.00346240093451,0.122860309028462,0.728202156176225,"> 0.5"
"b4147","efp",0.054844263923524,7.22885506060024,0.122834190777256,0.728229851651113,"> 0.5"
"b0889","lrp",-0.0316116949038435,7.79009690931731,0.122814311914231,0.728250933177229,"> 0.5"
"b0499","rhsH",-0.0442094111136986,5.60301472108661,0.122810348084217,0.728255137047082,"> 0.5"
"b3459","panM",-0.0879160786341142,3.48351506464703,0.122658261152761,0.728416491724367,"> 0.5"
"b2296","ackA",0.0458670160548304,5.83028859219958,0.122288960936735,0.728808765413494,"> 0.5"
"b3549","tag",0.0552813705322728,8.69236728743664,0.121913234130542,0.72920855026766,"> 0.5"
"b3702","dnaA",-0.0662109861787772,4.76992959861612,0.121869592492948,0.729255031221873,"> 0.5"
"b3875","ompL",-0.0501331620889216,8.0912025818707,0.121864932419409,0.729259995032198,"> 0.5"
"b0694","kdpE",-0.0475372368868363,7.5388099835111,0.12174898603509,0.729383533028655,"> 0.5"
"b2544","yphB",0.050108413991042,8.30495864782557,0.121707221638446,0.729428048169067,"> 0.5"
"b3408","feoA",0.0643368939578235,4.26230531492518,0.121526519963998,0.729620750541095,"> 0.5"
"b2854","pbl",-0.0511514424756829,7.34340310104266,0.121429077578105,0.729724731120514,"> 0.5"
"b4396","rob",0.036907633593162,7.28470428576567,0.121283939753484,0.729879694439098,"> 0.5"
"b2346","mlaA",0.0347337532259819,7.92817890994321,0.121013117778767,0.730169129466922,"> 0.5"
"b3579","yiaO",0.0608651911536771,7.70989782754648,0.120988830105941,0.730195104167987,"> 0.5"
"b0169","rpsB",0.0507245443979774,8.95906861820074,0.1207346566059,0.730467108635926,"> 0.5"
"b1353","sieB",0.0561378797084384,4.3819030859849,0.120678931180106,0.730526786355655,"> 0.5"
"b1801","yeaV",0.0576229050459087,6.5651208699896,0.120467811237289,0.730753020437393,"> 0.5"
"b4520","ymgF",0.0506747400846967,5.91390989551162,0.120456868807188,0.730764752309459,"> 0.5"
"b2329","aroC",-0.0441163954424284,7.22519410654699,0.119702241110235,0.731575271541208,"> 0.5"
"b0173","dxr",0.0509967277428136,4.36312138565688,0.119630843727285,0.731652105383718,"> 0.5"
"b0956","matP",0.0339135859134232,6.3924251806975,0.119538278493729,0.731751757209284,"> 0.5"
"b4071","nrfB",0.0715816907118522,5.68382569302798,0.119402055054064,0.731898488433022,"> 0.5"
"b0939","elfD",0.0389471748571354,8.79032387893911,0.119368149262206,0.731935024198078,"> 0.5"
"b0331","prpB",0.048312164975325,8.36554708688393,0.119233721935154,0.732079936016157,"> 0.5"
"b2580","ung",-0.0352552390655992,5.97856858899283,0.118797031969953,0.732551318775415,"> 0.5"
"b0908","aroA",-0.0563405275576718,6.52682107743047,0.118729792389239,0.732623986518643,"> 0.5"
"b0909","ycaL",0.0694220942931629,5.11025437612208,0.118548322987084,0.732820221004799,"> 0.5"
"b3127","garP",-0.052176579297259,5.93536628028149,0.118546403394884,0.732822297683016,"> 0.5"
"b4478","dgoD",-0.0447183803882248,7.78242848681084,0.118479220429949,0.732894990316766,"> 0.5"
"b2253","arnB",0.0431688060191806,8.41056658786267,0.117790426342071,0.733641609447669,"> 0.5"
"b1678","ldtE",-0.0643282673144201,5.21024080654415,0.117704877294802,0.733734511126471,"> 0.5"
"b0692","potE",-0.0400468666826215,9.10238838216645,0.117611895153284,0.733835527673584,"> 0.5"
"b1072","flgA",0.067142844772495,6.2034695607695,0.117428745440093,0.734034633969254,"> 0.5"
"b0318","yahD",-0.039739375982164,7.72706550177222,0.117319104165578,0.734153910806972,"> 0.5"
"b2037","wzxB",-0.0657553831035275,6.63495112434772,0.117318400998547,0.734154675971672,"> 0.5"
"b0109","nadC",0.0546929663006855,4.24844253664081,0.116994893837051,0.734506979373487,"> 0.5"
"b4310","nanM",-0.095152232816752,5.37617612836301,0.116985573220424,0.734517137725153,"> 0.5"
"b0955","ycbZ",-0.0623431848623928,6.79496729839591,0.116740661041795,0.734784225162736,"> 0.5"
"b2746","ispF",-0.0517697165221639,7.58858946391002,0.116717167139944,0.734809862776646,"> 0.5"
"b3397","nudE",0.0429577797954422,4.75904550861832,0.11652136581407,0.735023642565136,"> 0.5"
"b1884","cheR",0.0495262705238818,5.63539541067181,0.116139213301343,0.73544146431235,"> 0.5"
"b0006","yaaA",-0.0584851816906825,3.57267671681967,0.116127260592369,0.735454545060664,"> 0.5"
"b2847","yqeI",0.0625957311939857,6.21156943354798,0.116110177839354,0.735473241309976,"> 0.5"
"b0876","ybjD",0.03905044693954,8.08795671593848,0.115975400999559,0.735620802071644,"> 0.5"
"b2198","ccmD",-0.0355399525704021,5.63239275250483,0.115062105116081,0.736623263598819,"> 0.5"
"b0261","mmuM",-0.0433725384352782,8.69463703753149,0.115039114173833,0.736648556476747,"> 0.5"
"b0329","yahO",-0.0414055229125108,8.93832034359156,0.114994786313834,0.736697330579529,"> 0.5"
"b1242","ychE",0.0402498877115773,7.51730619188933,0.11487035094215,0.736834303455067,"> 0.5"
"b3904","rhaB",0.110863556697904,1.99424100510106,0.114783880931197,0.736929534614901,"> 0.5"
"b3060","ttdR",0.0451050222440397,4.87163472316532,0.114503968012748,0.737238083613366,"> 0.5"
"b2269","elaD",-0.0568596315964144,6.74191805582665,0.114410080094121,0.737341670984212,"> 0.5"
"b3910","yiiM",-0.0383987507907323,6.71154811925376,0.114258892976772,0.737508576938652,"> 0.5"
"b4536","yobH",-0.0369153550776384,9.53516462045596,0.114163730389031,0.737613696806082,"> 0.5"
"b3724","phoU",-0.029349995807211,10.0942778535605,0.113823248734391,0.737990205935914,"> 0.5"
"b1963","yedR",-0.0681334825799008,9.33449222434229,0.113821836977666,0.73799176838378,"> 0.5"
"b2278","nuoL",-0.0515232242486673,7.71343996228078,0.113799517621847,0.738016471549414,"> 0.5"
"b1165","ymgA",0.0637498171885737,6.20095867702154,0.113360750569657,0.738502651350494,"> 0.5"
"b0369","hemB",-0.0472533979092092,5.31513482764386,0.113355695381418,0.738508258913736,"> 0.5"
"b2545","yphC",-0.0410823417396671,7.79693392183974,0.113260058807711,0.738614371905333,"> 0.5"
"b1985","yeeO",0.049360982723144,6.13852273355907,0.113233933037521,0.738643368294941,"> 0.5"
"b2673","nrdH",-0.0626823710617185,6.67542360634131,0.113042315484414,0.738856154414247,"> 0.5"
"b0471","ybaB",0.0527220110051132,6.58018631776036,0.11302920349758,0.738870722277457,"> 0.5"
"b2127","mlrA",-0.0763162066670524,3.62989613598685,0.112990239851387,0.738914017779072,"> 0.5"
"b2303","folX",-0.0518179252546248,6.70967884414578,0.112948716607904,0.738960166617169,"> 0.5"
"b1856","mepM",-0.0318775626885017,11.5201253011063,0.112944731344339,0.738964596327878,"> 0.5"
"b3107","yhaL",-0.0409198928119912,8.13872469462905,0.112855647065205,0.739063638295087,"> 0.5"
"b1633","nth",0.0474680873713165,7.27228377222885,0.112800319432012,0.739125172316773,"> 0.5"
