"","genenames","logFC","logCPM","F","PValue","FDR"
"b2570","rseC",-0.463839881421899,3.73431694516804,9.14400650533031,0.0048287260787297,"> 0.5"
"b4347","symE",0.433715649231978,4.10166071394424,7.98693759309478,0.00797519445161804,"> 0.5"
"b3028","mdaB",0.350848463071123,6.6329900586347,7.77418004782775,0.0087648553526475,"> 0.5"
"b2127","mlrA",-0.551648698648081,3.62989613598685,7.26778041630385,0.0110050966652457,"> 0.5"
"b1210","hemA",-0.372248659159889,4.75927290115932,6.99741815867268,0.0124486272452677,"> 0.5"
"b0735","ybgE",-0.356079639954384,4.21498148724594,6.86720974614365,0.0132158514471857,"> 0.5"
"b0068","thiB",-0.399243194043134,4.20673833005107,6.6757589615436,0.0144384665540868,"> 0.5"
"b0641","lptE",-0.300028418655746,7.08063054714911,6.62495443761251,0.0147831145362566,"> 0.5"
"b0505","allA",0.258472924747823,8.52540966666494,6.31465825998628,0.0170917370101449,"> 0.5"
"b2511","der",0.183862029105818,8.15035892148746,6.0534127038536,0.01934018531171,"> 0.5"
"b1781","yeaE",0.222974094769368,9.0415165766731,6.0035539444206,0.019804802186458,"> 0.5"
"b1432","insQ",0.314039998669585,9.26992305869835,5.94762464889786,0.0203404884713285,"> 0.5"
"b3616","tdh",-0.226924376147441,7.0184618851664,5.79904505062754,0.0218417368938285,"> 0.5"
"b2630","rnlA",0.331098476151063,5.35769178126384,5.65436217023114,0.0234203107666053,"> 0.5"
"b2392","mntH",0.238744375904793,7.21222930060226,5.57712449822748,0.0243136242112865,"> 0.5"
"b1514","lsrC",-0.410445088598815,5.42442190599686,5.5760439147695,0.0243263827687672,"> 0.5"
"b4280","yjhC",0.262280714166922,9.15508791313384,5.44758153282219,0.0258965348452649,"> 0.5"
"b1180","ycgM",-0.254494786086733,8.27661445405882,5.43840311186413,0.026012883229048,"> 0.5"
"b0154","hemL",-0.418485407025852,4.20720528288628,5.40847736633458,0.0263962153600158,"> 0.5"
"b3038","ygiC",-0.45658795572829,3.37373471888442,5.34490370497736,0.0272312104510204,"> 0.5"
"b4230","ytfT",-0.351121442421306,5.73140431258858,5.31905469041208,0.0275789404239421,"> 0.5"
"b0583","entD",-0.439832798856592,2.15039400955404,5.2021049907143,0.0292140625476886,"> 0.5"
"b1393","paaF",-0.32342234846317,4.14261752958259,5.19399021395237,0.0293313925963591,"> 0.5"
"b4552","yrhC",0.189955821303282,8.04648719824105,5.18803732310994,0.0294177923829513,"> 0.5"
