"","genenames","logFC","logCPM","F","PValue","FDR"
"b0583","entD",-0.801154115596066,2.15039400955404,15.5182697130719,0.000404441889957679,"> 0.5"
"b0730","mngR",0.41584273283494,6.59250579544944,12.8929084405479,0.00106714050361517,"> 0.5"
"b1527","yneK",0.342275462217291,7.81993833116246,12.2824700599538,0.00134996715855351,"> 0.5"
"b3552","yiaD",0.334660008396707,11.8347988472429,11.1574863093716,0.00210369576316853,"> 0.5"
"b1522","yneF",-0.617431333763936,3.90923929283868,10.4415964661563,0.0028106563129015,"> 0.5"
"b2762","cysH",-0.376263939306934,5.72884861350541,9.36136600875138,0.00440356705334903,"> 0.5"
"b4335","yjiM",-0.322431656618393,5.50230023598731,8.41245949330332,0.00661648783996101,"> 0.5"
"b0383","phoA",0.32902999340266,9.27000036816785,8.34901610102026,0.0068021649660783,"> 0.5"
"b1093","fabG",0.380128194388117,9.61170707506087,8.04367279515541,0.00777782382296642,"> 0.5"
"b2114","metG",-0.459180047355881,3.79522277949797,7.9747126377672,0.00801842581081814,"> 0.5"
"b2630","rnlA",0.388767022268005,5.35769178126384,7.81016923736752,0.00862556082037395,"> 0.5"
"b0221","fadE",-0.25935906580593,8.4726531949065,7.79293123035349,0.00869197937644101,"> 0.5"
"b4073","nrfD",-0.807610273821579,5.74241159280411,7.69352286916506,0.00908593066411993,"> 0.5"
"b1219","ychN",0.266186062467976,10.2772317124189,7.64578610029955,0.00928192090405838,"> 0.5"
"b2242","glpB",-0.36525304753469,5.67022066201907,7.54520578954432,0.00970997041400707,"> 0.5"
"b2838","lysA",0.428487140988051,4.19532849069905,7.51897773459754,0.00982506280047794,"> 0.5"
"b2439","eutL",-0.417387323939953,4.67469725101896,7.41114608930378,0.0103139623209965,"> 0.5"
"b0303","rclB",0.211645289961783,7.4660906462607,7.36587498824953,0.0105269956419317,"> 0.5"
"b2466","ypfG",0.291387879692328,6.14109975894423,7.34557148187613,0.0106240785073396,"> 0.5"
"b1514","lsrC",-0.466624584906063,5.42442190599686,7.13380364927978,0.0116963918683327,"> 0.5"
"b2231","gyrA",-0.323858976949873,6.9983513396966,6.86145960556936,0.0132508928090976,"> 0.5"
"b1763","topB",0.383563293745287,4.44611342233645,6.84850925502722,0.0133301813017267,"> 0.5"
"b1162","bluR",-0.362442391238721,6.31039398542669,6.81749936370283,0.0135221353803171,"> 0.5"
"b1615","uidC",0.307245377703179,7.13393854946851,6.66447256701363,0.0145142717286701,"> 0.5"
"b3369","yhfL",0.256235591049907,9.94597685016419,6.59445005667528,0.0149943284328491,"> 0.5"
"b4041","plsB",-0.352560927221618,5.54416745853744,6.51430738119511,0.0155649947959398,"> 0.5"
"b1389","paaB",0.237183063587031,10.8923877284327,6.50745064917613,0.0156149019198136,"> 0.5"
"b4462","ygaQ",0.288676504175503,7.28826327703964,6.46961552329521,0.0158934276481235,"> 0.5"
"b1273","yciN",0.322906684453116,11.9393421380759,6.43169819934564,0.0161779751472497,"> 0.5"
"b2276","nuoN",-0.411469215312914,3.17075329117286,6.42740852224274,0.0162105131834839,"> 0.5"
"b2920","scpC",0.27052258190974,10.6388602455537,6.35611832612459,0.0167617936808406,"> 0.5"
"b2186","yejK",0.343543941652687,9.6605820429883,6.2037148880412,0.0180098400298501,"> 0.5"
"b0193","yaeF",0.273718006927566,6.13585562611974,6.11396770620841,0.0187917733038304,"> 0.5"
"b2264","menD",0.437778713833399,3.1767795799457,6.08582133273564,0.0190445458936778,"> 0.5"
"b3532","bcsB",-0.243674975029807,5.27456854083646,6.08368543224878,0.0190638780406916,"> 0.5"
"b0501","ybbD",0.317513989646681,7.09767250038123,6.07677685431627,0.0191265542380347,"> 0.5"
"b3464","ftsY",-0.276250837276392,6.09463323947043,6.06305085142539,0.0192517456591643,"> 0.5"
"b1621","malX",-0.290760402480377,7.26981080723883,6.02521582503745,0.0196014674380047,"> 0.5"
"b2238","yfaH",-0.232278535180907,8.77433014467644,6.00837797069466,0.0197593224102884,"> 0.5"
"b0912","ihfB",-0.295824637835806,7.65294405199101,5.95002858275477,0.0203171422342815,"> 0.5"
"b0719","ybgD",0.187572355487728,7.84242385436145,5.93350411980297,0.0204782134197768,"> 0.5"
"b0131","panD",-0.258295909019939,7.57802942056964,5.88377562042681,0.0209713841508149,"> 0.5"
"b0367","tauC",-0.535965305504225,3.83293936433735,5.86419681483233,0.021169087883669,"> 0.5"
"b0705","ybfL",0.465119030403096,4.35159312052097,5.80738764875103,0.0217543195922281,"> 0.5"
"b0763","modA",0.289434388821505,9.27012203587806,5.79324962440302,0.0219026891064368,"> 0.5"
"b3920","yiiQ",-0.336959973843437,4.23915143007969,5.79158567437891,0.0219202235886774,"> 0.5"
"b4003","zraS",-0.319264641614898,5.495748670252,5.77421537381481,0.0221041855809344,"> 0.5"
"b3867","hemN",-0.268074897271239,6.08119187845312,5.75751680899007,0.0222826206005244,"> 0.5"
"b0403","malZ",0.255619955893917,7.61731426626199,5.73959886462091,0.0224758332014962,"> 0.5"
"b3173","yhbX",0.277288660552343,7.31623121572935,5.72014168701677,0.0226877141217843,"> 0.5"
