"","annot_site_detected","alt_site_detected","alt_site_detected_meydan","annot_site_detected_meydan","riboseq_reads_detected"
"b1098_1155124",TRUE,TRUE,FALSE,TRUE,TRUE
"b1099_1155762",FALSE,FALSE,FALSE,FALSE,TRUE
"b1100_1156777",TRUE,FALSE,FALSE,TRUE,TRUE
"b1101_1157869",TRUE,FALSE,FALSE,TRUE,TRUE
"b1102_1161551",FALSE,TRUE,FALSE,FALSE,TRUE
"b1103_1161885",TRUE,FALSE,FALSE,TRUE,TRUE
"b1104_1162247",TRUE,FALSE,FALSE,FALSE,TRUE
"b1105_1162638",TRUE,TRUE,TRUE,TRUE,TRUE
"b1106_1163260",FALSE,FALSE,FALSE,FALSE,TRUE
"b1107_1164095",TRUE,FALSE,FALSE,TRUE,TRUE
"b1108_1165143",TRUE,FALSE,FALSE,TRUE,TRUE
"b1109_1166085",TRUE,FALSE,FALSE,TRUE,TRUE
"b1110_1167599",TRUE,FALSE,FALSE,TRUE,TRUE
"b1111_1168832",FALSE,FALSE,FALSE,FALSE,TRUE
"b1112_1169073",TRUE,FALSE,FALSE,TRUE,TRUE
"b1113_1170374",TRUE,FALSE,FALSE,FALSE,TRUE
"b1114_1173964",FALSE,FALSE,FALSE,FALSE,TRUE
"b1115_1175165",TRUE,FALSE,FALSE,FALSE,TRUE
"b1116_1175427",FALSE,FALSE,FALSE,FALSE,TRUE
"b1117_1176619",TRUE,FALSE,FALSE,TRUE,TRUE
"b1118_1177320",FALSE,FALSE,FALSE,FALSE,TRUE
"b1119_1178593",TRUE,FALSE,FALSE,TRUE,TRUE
"b1120_1179631",TRUE,FALSE,FALSE,FALSE,TRUE
"b1121_1181267",TRUE,TRUE,FALSE,FALSE,TRUE
"b1122_1181725",TRUE,FALSE,FALSE,FALSE,TRUE
"b1123_1182829",TRUE,FALSE,FALSE,FALSE,TRUE
"b1124_1183620",TRUE,FALSE,FALSE,FALSE,TRUE
"b1125_1184444",FALSE,FALSE,FALSE,FALSE,FALSE
"b1126_1185594",FALSE,TRUE,FALSE,FALSE,TRUE
"b1127_1185844",TRUE,TRUE,FALSE,TRUE,TRUE
"b1128_1188240",TRUE,FALSE,FALSE,FALSE,TRUE
"b1129_1189776",FALSE,FALSE,FALSE,FALSE,FALSE
"b1130_1190447",TRUE,FALSE,FALSE,FALSE,TRUE
"b1131_1191986",TRUE,FALSE,FALSE,FALSE,TRUE
"b1132_1192631",TRUE,FALSE,FALSE,FALSE,TRUE
"b1133_1193773",TRUE,FALSE,FALSE,FALSE,TRUE
"b1134_1194288",TRUE,FALSE,FALSE,FALSE,TRUE
"b1135_1194951",FALSE,FALSE,FALSE,FALSE,TRUE
"b1136_1195123",TRUE,FALSE,FALSE,TRUE,TRUE
"b1137_1197532",FALSE,TRUE,FALSE,FALSE,TRUE
"b1138_1198237",TRUE,FALSE,FALSE,FALSE,TRUE
"b1139_1198695",TRUE,FALSE,FALSE,FALSE,TRUE
"b1140_1200806",FALSE,FALSE,FALSE,FALSE,TRUE
"b1141_1201032",TRUE,TRUE,FALSE,FALSE,TRUE
"b1143_1201497",TRUE,FALSE,FALSE,TRUE,TRUE
"b1144_1202084",TRUE,FALSE,FALSE,FALSE,TRUE
"b1145_1202933",FALSE,FALSE,FALSE,FALSE,TRUE
"b1146_1203024",TRUE,FALSE,FALSE,FALSE,TRUE
"b1147_1203268",TRUE,FALSE,FALSE,FALSE,TRUE
"b1148_1203822",TRUE,FALSE,FALSE,FALSE,TRUE
"b4692_1204170",TRUE,FALSE,FALSE,FALSE,TRUE
"b4693_1204404",FALSE,FALSE,FALSE,FALSE,TRUE
"b1150_1205549",TRUE,TRUE,FALSE,FALSE,TRUE
"b1151_1205731",TRUE,FALSE,FALSE,FALSE,TRUE
"b1152_1206143",FALSE,FALSE,FALSE,FALSE,FALSE
"b1153_1206913",FALSE,FALSE,FALSE,FALSE,TRUE
"b1154_1207501",TRUE,FALSE,FALSE,FALSE,TRUE
"b1155_1208132",TRUE,FALSE,FALSE,FALSE,TRUE
"b1156_1209119",TRUE,FALSE,FALSE,FALSE,TRUE
"b1157_1209619",FALSE,TRUE,FALSE,FALSE,TRUE
"b1158_1209685",TRUE,FALSE,FALSE,FALSE,TRUE
"b1159_1210346",FALSE,TRUE,TRUE,FALSE,TRUE
"b4519_1211413",FALSE,TRUE,FALSE,FALSE,TRUE
"b1160_1212003",TRUE,TRUE,FALSE,FALSE,TRUE
"b1161_1213107",TRUE,FALSE,FALSE,FALSE,TRUE
"b1162_1214059",FALSE,TRUE,FALSE,FALSE,TRUE
"b1163_1215475",FALSE,FALSE,FALSE,FALSE,FALSE
"b1164_1215789",TRUE,FALSE,FALSE,FALSE,TRUE
"b1165_1216068",TRUE,TRUE,FALSE,FALSE,TRUE
"b1166_1216369",TRUE,FALSE,FALSE,FALSE,TRUE
"b1167_1216748",TRUE,TRUE,TRUE,TRUE,TRUE
"b1168_1217328",FALSE,FALSE,FALSE,FALSE,TRUE
"b4520_1218983",TRUE,TRUE,FALSE,FALSE,TRUE
"b4491_1219601",FALSE,FALSE,FALSE,FALSE,TRUE
"b4491_1222174",FALSE,FALSE,FALSE,FALSE,TRUE
"b1171_1222634",TRUE,FALSE,FALSE,FALSE,TRUE
"b1172_1222988",TRUE,FALSE,FALSE,FALSE,TRUE
"b4593_1223163",TRUE,FALSE,FALSE,FALSE,TRUE
"b4594_1223264",TRUE,TRUE,FALSE,FALSE,TRUE
"b4521_1223564",FALSE,FALSE,FALSE,FALSE,TRUE
"b4521_1223671",FALSE,FALSE,FALSE,FALSE,TRUE
"b1174_1224545",TRUE,FALSE,FALSE,FALSE,TRUE
"b1175_1225361",TRUE,FALSE,FALSE,FALSE,TRUE
"b1176_1226080",TRUE,FALSE,FALSE,FALSE,TRUE
"b1177_1226600",TRUE,FALSE,FALSE,TRUE,TRUE
"b1178_1227472",TRUE,FALSE,FALSE,FALSE,TRUE
"b1179_1227714",TRUE,TRUE,FALSE,FALSE,TRUE
"b1180_1228079",TRUE,FALSE,FALSE,TRUE,TRUE
"b1181_1228815",TRUE,TRUE,FALSE,FALSE,TRUE
"b1182_1230394",TRUE,FALSE,FALSE,FALSE,TRUE
"b1183_1230767",TRUE,TRUE,FALSE,FALSE,TRUE
"b1184_1231186",FALSE,TRUE,FALSE,FALSE,TRUE
"b1185_1233030",TRUE,FALSE,FALSE,FALSE,TRUE
"b1186_1234717",TRUE,TRUE,FALSE,FALSE,TRUE
"b1187_1234938",TRUE,FALSE,FALSE,TRUE,TRUE
"b1188_1237241",FALSE,TRUE,FALSE,FALSE,TRUE
"b1189_1237571",TRUE,FALSE,FALSE,FALSE,TRUE
"b1190_1238879",TRUE,FALSE,FALSE,FALSE,TRUE
"b1191_1242071",TRUE,FALSE,FALSE,FALSE,TRUE
"b1192_1243080",TRUE,FALSE,FALSE,FALSE,TRUE
"b1193_1243180",TRUE,FALSE,FALSE,TRUE,TRUE
"b1194_1244527",TRUE,TRUE,FALSE,FALSE,TRUE
"b1195_1244728",TRUE,FALSE,FALSE,FALSE,TRUE
"b1196_1245160",FALSE,FALSE,FALSE,FALSE,TRUE
"b1197_1247376",TRUE,FALSE,FALSE,FALSE,TRUE
"b1198_1249114",TRUE,FALSE,FALSE,FALSE,TRUE
"b1199_1249757",TRUE,FALSE,FALSE,FALSE,TRUE
"b1200_1250838",TRUE,FALSE,FALSE,FALSE,TRUE
"b1201_1251066",TRUE,FALSE,FALSE,FALSE,TRUE
"b1202_1255952",TRUE,TRUE,FALSE,FALSE,TRUE
"b1203_1257812",TRUE,FALSE,FALSE,FALSE,TRUE
"b1204_1258513",TRUE,FALSE,FALSE,FALSE,TRUE
"b1205_1258791",TRUE,FALSE,FALSE,TRUE,TRUE
"b1206_1260803",TRUE,TRUE,FALSE,FALSE,TRUE
"b1207_1261875",FALSE,FALSE,FALSE,FALSE,TRUE
"b1208_1262877",TRUE,TRUE,FALSE,FALSE,TRUE
"b1209_1263500",FALSE,FALSE,FALSE,FALSE,TRUE
"b1210_1263714",TRUE,FALSE,FALSE,FALSE,TRUE
"b1211_1265012",TRUE,FALSE,FALSE,TRUE,TRUE
"b1212_1266094",TRUE,FALSE,FALSE,FALSE,TRUE
"b1213_1266924",FALSE,TRUE,FALSE,FALSE,TRUE
"b1214_1267320",TRUE,TRUE,FALSE,TRUE,TRUE
"b1215_1268165",TRUE,FALSE,FALSE,TRUE,TRUE
"b4419_1269275",FALSE,FALSE,FALSE,FALSE,FALSE
"b4421_1269810",FALSE,FALSE,FALSE,FALSE,FALSE
"b4423_1270345",FALSE,FALSE,FALSE,FALSE,FALSE
"b1216_1271849",TRUE,FALSE,FALSE,FALSE,TRUE
"b1217_1272119",TRUE,FALSE,FALSE,FALSE,TRUE
"b1218_1272507",TRUE,TRUE,FALSE,FALSE,TRUE
"b1219_1273599",TRUE,FALSE,FALSE,FALSE,TRUE
"b1220_1273784",FALSE,FALSE,FALSE,FALSE,FALSE
"b1221_1275829",TRUE,FALSE,FALSE,FALSE,TRUE
"b1222_1277618",TRUE,FALSE,FALSE,FALSE,TRUE
"b1223_1277957",FALSE,TRUE,FALSE,FALSE,TRUE
"b1224_1279864",TRUE,TRUE,FALSE,TRUE,TRUE
"b1225_1283604",TRUE,FALSE,FALSE,TRUE,TRUE
"b1226_1285139",FALSE,FALSE,FALSE,FALSE,TRUE
"b1227_1285849",TRUE,FALSE,FALSE,FALSE,TRUE
"b1229_1287176",FALSE,FALSE,FALSE,FALSE,FALSE
"b1232_1288624",TRUE,FALSE,FALSE,FALSE,TRUE
"b1233_1289132",TRUE,FALSE,FALSE,FALSE,TRUE
"b1234_1289245",TRUE,TRUE,TRUE,FALSE,TRUE
"b1235_1290242",TRUE,FALSE,FALSE,FALSE,TRUE
"b1236_1291457",TRUE,FALSE,FALSE,TRUE,TRUE
"b1237_1292922",TRUE,FALSE,FALSE,FALSE,TRUE
"b1238_1293527",TRUE,FALSE,FALSE,TRUE,TRUE
"b4573_1295322",FALSE,FALSE,FALSE,FALSE,TRUE
"b4573_1295141",FALSE,FALSE,FALSE,FALSE,TRUE
"b4573_1294992",FALSE,FALSE,FALSE,FALSE,TRUE
"b1241_1298121",TRUE,FALSE,FALSE,FALSE,TRUE
"b1242_1298598",TRUE,FALSE,FALSE,TRUE,TRUE
"b1243_1301182",TRUE,TRUE,TRUE,TRUE,TRUE
"b1244_1302899",TRUE,FALSE,FALSE,TRUE,TRUE
"b1245_1303834",TRUE,FALSE,FALSE,TRUE,TRUE
"b1246_1304754",TRUE,FALSE,FALSE,TRUE,TRUE
"b1247_1305764",TRUE,FALSE,FALSE,TRUE,TRUE
"b1248_1307150",TRUE,FALSE,FALSE,FALSE,TRUE
"b1249_1308645",TRUE,TRUE,FALSE,FALSE,TRUE
"b4595_1308788",TRUE,FALSE,FALSE,TRUE,TRUE
"b1250_1310269",TRUE,FALSE,FALSE,FALSE,TRUE
"b1251_1310865",TRUE,TRUE,FALSE,FALSE,TRUE
"b1252_1311089",FALSE,FALSE,FALSE,FALSE,TRUE
"b1253_1312246",FALSE,FALSE,FALSE,FALSE,TRUE
"b1254_1312890",TRUE,FALSE,FALSE,FALSE,TRUE
"b1255_1313663",TRUE,FALSE,FALSE,FALSE,TRUE
"b1256_1314020",TRUE,FALSE,FALSE,FALSE,TRUE
"b1257_1315224",TRUE,FALSE,FALSE,FALSE,TRUE
"b1258_1315770",TRUE,TRUE,FALSE,FALSE,TRUE
"b1259_1316035",TRUE,FALSE,FALSE,FALSE,TRUE
"b1260_1317222",TRUE,FALSE,FALSE,FALSE,TRUE
"b1261_1318415",TRUE,FALSE,FALSE,FALSE,TRUE
"b1262_1319788",FALSE,FALSE,FALSE,FALSE,TRUE
"b1263_1321384",TRUE,FALSE,FALSE,FALSE,TRUE
"b1264_1322946",TRUE,FALSE,FALSE,FALSE,TRUE
"b1265_1323082",TRUE,FALSE,FALSE,FALSE,TRUE
"b1266_1323220",TRUE,TRUE,FALSE,FALSE,TRUE
"b1267_1324098",TRUE,FALSE,FALSE,TRUE,TRUE
"b1268_1324746",TRUE,FALSE,FALSE,FALSE,TRUE
"b1269_1326852",TRUE,TRUE,FALSE,TRUE,TRUE
"b1270_1328357",TRUE,FALSE,FALSE,FALSE,TRUE
"b1271_1329112",TRUE,FALSE,FALSE,FALSE,TRUE
"b1272_1329332",TRUE,TRUE,TRUE,TRUE,TRUE
"b1273_1330668",TRUE,FALSE,FALSE,FALSE,TRUE
"b1274_1331048",TRUE,FALSE,FALSE,TRUE,TRUE
"b1275_1333855",TRUE,FALSE,FALSE,TRUE,TRUE
"b4522_1335124",FALSE,TRUE,TRUE,FALSE,TRUE
"b4523_1335291",FALSE,TRUE,FALSE,FALSE,TRUE
"b1276_1335831",TRUE,FALSE,FALSE,TRUE,TRUE
"b1277_1339160",TRUE,FALSE,FALSE,FALSE,TRUE
"b1278_1339330",TRUE,FALSE,FALSE,TRUE,TRUE
"b1279_1340243",TRUE,FALSE,FALSE,TRUE,TRUE
"b1280_1340558",FALSE,FALSE,FALSE,FALSE,TRUE
"b1281_1341921",TRUE,FALSE,FALSE,TRUE,TRUE
"b1282_1342658",TRUE,FALSE,FALSE,TRUE,TRUE
"b1283_1343328",TRUE,FALSE,FALSE,FALSE,TRUE
"b1284_1344346",TRUE,FALSE,FALSE,FALSE,TRUE
"b4596_1344609",FALSE,FALSE,FALSE,FALSE,FALSE
"b1285_1346742",TRUE,FALSE,FALSE,FALSE,TRUE
"b4672_1346796",FALSE,FALSE,FALSE,FALSE,TRUE
"b1286_1348912",FALSE,FALSE,FALSE,FALSE,TRUE
"b1287_1350107",FALSE,FALSE,FALSE,FALSE,TRUE
"b1288_1351039",TRUE,FALSE,FALSE,FALSE,TRUE
"b1289_1351760",FALSE,FALSE,FALSE,FALSE,TRUE
"b1290_1352634",TRUE,FALSE,FALSE,FALSE,TRUE
"b1291_1353628",FALSE,FALSE,FALSE,FALSE,FALSE
"b1292_1354518",TRUE,FALSE,FALSE,FALSE,TRUE
"b1293_1355470",FALSE,FALSE,FALSE,FALSE,FALSE
"b1294_1357110",FALSE,FALSE,FALSE,FALSE,TRUE
"b1295_1357668",FALSE,TRUE,FALSE,FALSE,TRUE
"b1296_1359187",TRUE,TRUE,FALSE,FALSE,TRUE
"b1297_1360908",TRUE,TRUE,FALSE,FALSE,TRUE
"b1298_1361120",TRUE,TRUE,FALSE,TRUE,TRUE
"b1299_1361911",TRUE,TRUE,FALSE,TRUE,TRUE
"b1300_1362743",TRUE,FALSE,FALSE,FALSE,TRUE
"b1301_1364232",TRUE,FALSE,FALSE,FALSE,TRUE
"b1302_1365550",TRUE,FALSE,FALSE,FALSE,TRUE
"b1303_1367912",TRUE,FALSE,FALSE,FALSE,TRUE
"b1304_1368079",TRUE,FALSE,FALSE,TRUE,TRUE
"b1305_1368801",TRUE,FALSE,FALSE,TRUE,TRUE
"b1306_1369025",TRUE,FALSE,FALSE,TRUE,TRUE
"b1307_1369393",TRUE,TRUE,FALSE,TRUE,TRUE
"b1308_1369689",TRUE,FALSE,FALSE,TRUE,TRUE
"b1309_1370216",FALSE,TRUE,FALSE,FALSE,TRUE
"b1310_1371909",TRUE,TRUE,FALSE,FALSE,TRUE
"b1311_1373222",TRUE,TRUE,FALSE,FALSE,TRUE
"b1312_1374090",TRUE,FALSE,FALSE,FALSE,TRUE
"b1313_1374963",TRUE,FALSE,FALSE,FALSE,TRUE
"b1314_1376034",TRUE,FALSE,FALSE,FALSE,TRUE
"b1315_1376832",FALSE,FALSE,FALSE,FALSE,FALSE
"b1316_1377884",TRUE,FALSE,FALSE,FALSE,TRUE
"b1317_1380148",TRUE,FALSE,FALSE,FALSE,TRUE
"b4524_1380821",TRUE,FALSE,FALSE,FALSE,TRUE
"b4524_1381777",FALSE,TRUE,FALSE,FALSE,TRUE
"b1319_1381947",TRUE,FALSE,FALSE,FALSE,TRUE
"b1320_1383961",FALSE,FALSE,FALSE,FALSE,FALSE
"b1321_1384117",FALSE,FALSE,FALSE,FALSE,TRUE
"b1322_1385511",TRUE,TRUE,FALSE,FALSE,TRUE
"b1323_1386720",TRUE,FALSE,FALSE,TRUE,TRUE
"b1324_1388811",TRUE,FALSE,FALSE,FALSE,TRUE
"b1325_1388930",TRUE,FALSE,FALSE,TRUE,TRUE
"b1326_1390598",FALSE,FALSE,FALSE,FALSE,TRUE
"b4525_1390862",FALSE,FALSE,FALSE,FALSE,TRUE
"b4673_1390933",TRUE,FALSE,FALSE,FALSE,TRUE
"b1327_1391853",TRUE,FALSE,FALSE,FALSE,TRUE
"b1328_1391991",TRUE,FALSE,FALSE,FALSE,TRUE
"b1329_1393227",TRUE,FALSE,FALSE,TRUE,TRUE
"b1330_1395922",TRUE,FALSE,FALSE,FALSE,TRUE
"b1331_1396076",FALSE,FALSE,FALSE,FALSE,FALSE
"b1332_1397365",TRUE,FALSE,FALSE,TRUE,TRUE
"b1333_1398622",TRUE,FALSE,FALSE,FALSE,TRUE
"b1334_1399526",TRUE,FALSE,FALSE,FALSE,TRUE
"b1335_1400236",TRUE,FALSE,FALSE,FALSE,TRUE
"b1336_1401773",TRUE,TRUE,FALSE,FALSE,TRUE
"b1337_1403255",TRUE,FALSE,FALSE,FALSE,TRUE
"b1338_1404565",TRUE,FALSE,FALSE,FALSE,TRUE
"b1339_1404741",TRUE,FALSE,FALSE,FALSE,TRUE
"b1340_1405979",TRUE,FALSE,FALSE,TRUE,TRUE
"b1341_1407795",TRUE,FALSE,FALSE,FALSE,TRUE
"b1342_1408050",TRUE,TRUE,FALSE,TRUE,TRUE
"b1343_1409511",FALSE,FALSE,FALSE,FALSE,TRUE
"b1344_1411948",TRUE,FALSE,FALSE,FALSE,TRUE
"b1345_1413235",FALSE,TRUE,FALSE,FALSE,TRUE
"b1346_1413452",FALSE,FALSE,FALSE,FALSE,TRUE
"b1347_1413740",TRUE,FALSE,FALSE,FALSE,TRUE
"b1348_1413927",TRUE,TRUE,FALSE,FALSE,TRUE
"b1349_1414793",TRUE,TRUE,FALSE,FALSE,TRUE
"b1350_1417386",TRUE,FALSE,FALSE,FALSE,TRUE
"b1351_1417763",TRUE,FALSE,FALSE,FALSE,TRUE
"b4526_1418008",FALSE,TRUE,FALSE,FALSE,TRUE
"b1352_1418229",TRUE,FALSE,FALSE,FALSE,TRUE
"b1353_1418671",FALSE,FALSE,FALSE,FALSE,TRUE
"b4527_1419311",TRUE,FALSE,FALSE,FALSE,TRUE
"b1355_1419456",TRUE,FALSE,FALSE,FALSE,TRUE
"b1356_1420241",TRUE,TRUE,FALSE,FALSE,TRUE
"b1357_1420365",TRUE,TRUE,FALSE,FALSE,TRUE
"b1358_1420684",TRUE,FALSE,FALSE,FALSE,TRUE
"b1359_1421119",FALSE,FALSE,FALSE,FALSE,TRUE
"b1360_1421983",TRUE,FALSE,FALSE,FALSE,TRUE
"b1361_1422701",FALSE,TRUE,FALSE,FALSE,TRUE
"b1362_1423201",FALSE,FALSE,FALSE,FALSE,FALSE
"b4528_1423400",FALSE,FALSE,FALSE,FALSE,FALSE
"b1363_1423782",FALSE,FALSE,FALSE,FALSE,TRUE
"b1365_1425377",FALSE,FALSE,FALSE,FALSE,TRUE
"b1366_1425630",FALSE,FALSE,FALSE,FALSE,TRUE
"b1368_1426454",FALSE,TRUE,FALSE,FALSE,TRUE
"b4570_1427389",FALSE,TRUE,FALSE,FALSE,TRUE
"b4570_1428796",FALSE,FALSE,FALSE,FALSE,TRUE
"b1370_1428726",FALSE,TRUE,FALSE,FALSE,TRUE
"b1372_1429049",FALSE,FALSE,FALSE,FALSE,TRUE
"b1373_1432411",FALSE,FALSE,FALSE,FALSE,FALSE
"b1374_1433674",FALSE,FALSE,FALSE,FALSE,FALSE
"b1375_1434224",FALSE,FALSE,FALSE,FALSE,TRUE
"b4638_1435008",TRUE,FALSE,FALSE,FALSE,TRUE
"b1376_1435619",TRUE,FALSE,FALSE,FALSE,TRUE
"b1377_1436893",TRUE,FALSE,FALSE,FALSE,TRUE
"b1378_1440784",TRUE,FALSE,FALSE,FALSE,TRUE
"b4529_1441058",TRUE,FALSE,FALSE,TRUE,TRUE
"b1379_1441743",TRUE,FALSE,FALSE,FALSE,TRUE
"b1380_1442843",FALSE,FALSE,FALSE,FALSE,TRUE
"b1381_1443051",FALSE,FALSE,FALSE,FALSE,FALSE
"b1382_1445687",TRUE,FALSE,FALSE,FALSE,TRUE
"b1383_1445880",TRUE,TRUE,FALSE,FALSE,TRUE
"b1384_1447283",TRUE,FALSE,FALSE,FALSE,TRUE
"b1385_1447519",TRUE,TRUE,FALSE,FALSE,TRUE
"b1386_1451349",TRUE,FALSE,FALSE,FALSE,TRUE
"b1387_1453642",TRUE,FALSE,FALSE,FALSE,TRUE
"b1388_1453927",TRUE,TRUE,FALSE,FALSE,TRUE
"b1389_1454868",TRUE,FALSE,FALSE,FALSE,TRUE
"b1390_1455164",TRUE,FALSE,FALSE,FALSE,TRUE
"b1391_1455925",FALSE,TRUE,FALSE,FALSE,TRUE
"b1392_1456430",TRUE,FALSE,FALSE,FALSE,TRUE
"b1393_1457497",FALSE,FALSE,FALSE,FALSE,TRUE
"b1394_1458264",TRUE,FALSE,FALSE,FALSE,TRUE
"b1395_1459054",TRUE,FALSE,FALSE,FALSE,TRUE
"b1396_1460471",TRUE,FALSE,FALSE,FALSE,TRUE
"b1397_1460893",FALSE,TRUE,FALSE,FALSE,TRUE
"b1398_1462125",FALSE,FALSE,FALSE,FALSE,TRUE
"b1399_1463539",TRUE,FALSE,FALSE,FALSE,TRUE
"b1400_1464471",TRUE,FALSE,FALSE,FALSE,TRUE
"b4674_1465230",TRUE,TRUE,FALSE,FALSE,TRUE
"b4492_1465392",TRUE,TRUE,FALSE,FALSE,TRUE
"b4492_1469241",FALSE,TRUE,FALSE,FALSE,TRUE
"b4492_1470517",FALSE,FALSE,FALSE,FALSE,TRUE
"b1402_1468826",FALSE,FALSE,FALSE,FALSE,FALSE
"b1403_1469149",FALSE,FALSE,FALSE,FALSE,FALSE
"b1404_1469358",FALSE,FALSE,FALSE,FALSE,FALSE
"b1406_1474221",TRUE,FALSE,FALSE,TRUE,TRUE
"b1407_1475144",TRUE,FALSE,FALSE,FALSE,TRUE
"b1408_1477621",FALSE,FALSE,FALSE,FALSE,TRUE
"b1409_1478226",FALSE,FALSE,FALSE,FALSE,TRUE
"b1410_1479138",TRUE,FALSE,FALSE,FALSE,TRUE
"b1411_1480909",FALSE,FALSE,FALSE,FALSE,TRUE
"b1412_1482860",TRUE,FALSE,FALSE,FALSE,TRUE
"b1413_1483061",FALSE,TRUE,FALSE,FALSE,TRUE
"b1414_1487235",TRUE,FALSE,FALSE,TRUE,TRUE
"b1415_1488232",TRUE,FALSE,FALSE,FALSE,TRUE
"b4493_1490713",TRUE,FALSE,FALSE,FALSE,TRUE
"b4493_1489964",FALSE,FALSE,FALSE,FALSE,TRUE
"b1418_1490902",TRUE,FALSE,FALSE,TRUE,TRUE
"b1419_1491677",TRUE,FALSE,FALSE,TRUE,TRUE
"b4428_1492071",FALSE,FALSE,FALSE,FALSE,TRUE
"b1420_1492129",TRUE,FALSE,FALSE,FALSE,TRUE
"b1421_1492470",TRUE,TRUE,FALSE,FALSE,TRUE
"b1422_1495071",TRUE,FALSE,FALSE,FALSE,TRUE
"b1423_1495288",TRUE,FALSE,FALSE,FALSE,TRUE
"b1424_1496856",TRUE,FALSE,FALSE,FALSE,TRUE
"b1426_1498651",TRUE,FALSE,FALSE,FALSE,TRUE
"b1427_1498938",TRUE,FALSE,FALSE,TRUE,TRUE
"b1428_1500449",TRUE,TRUE,FALSE,FALSE,TRUE
"b1429_1500573",TRUE,FALSE,FALSE,FALSE,TRUE
"b1430_1501562",TRUE,FALSE,FALSE,TRUE,TRUE
"b1431_1502457",TRUE,FALSE,FALSE,TRUE,TRUE
"b4578_1503649",FALSE,TRUE,FALSE,FALSE,TRUE
"b1432_1503717",TRUE,FALSE,FALSE,FALSE,TRUE
"b1433_1506080",FALSE,FALSE,FALSE,FALSE,TRUE
"b1434_1506172",TRUE,TRUE,FALSE,TRUE,TRUE
"b1435_1506781",FALSE,FALSE,FALSE,TRUE,TRUE
"b1436_1509064",TRUE,FALSE,FALSE,FALSE,TRUE
"b4532_1509286",FALSE,FALSE,FALSE,FALSE,TRUE
"b1438_1509508",FALSE,FALSE,FALSE,FALSE,TRUE
"b1439_1510003",TRUE,FALSE,FALSE,FALSE,TRUE
"b1440_1511654",TRUE,FALSE,FALSE,FALSE,TRUE
"b1441_1512817",FALSE,FALSE,FALSE,FALSE,FALSE
"b1442_1513831",TRUE,TRUE,FALSE,FALSE,TRUE
"b1443_1514762",FALSE,FALSE,FALSE,FALSE,TRUE
"b1444_1515578",TRUE,FALSE,FALSE,FALSE,TRUE
"b4598_1517194",TRUE,TRUE,FALSE,FALSE,TRUE
"b1445_1517389",FALSE,TRUE,FALSE,TRUE,TRUE
"b1446_1517648",TRUE,FALSE,FALSE,TRUE,TRUE
"b1447_1518331",FALSE,TRUE,FALSE,FALSE,TRUE
"b1448_1518846",TRUE,FALSE,FALSE,FALSE,TRUE
"b1449_1519027",TRUE,FALSE,FALSE,FALSE,TRUE
"b1450_1520262",TRUE,TRUE,FALSE,FALSE,TRUE
"b1451_1523065",TRUE,FALSE,FALSE,FALSE,TRUE
"b1452_1523307",TRUE,FALSE,FALSE,TRUE,TRUE
"b1453_1525980",TRUE,FALSE,FALSE,FALSE,TRUE
"b1454_1526247",TRUE,FALSE,FALSE,FALSE,TRUE
"b1455_1526940",FALSE,TRUE,FALSE,FALSE,TRUE
"b1456_1527902",FALSE,FALSE,FALSE,FALSE,TRUE
"b1457_1529922",TRUE,FALSE,FALSE,FALSE,TRUE
"b1459_1530586",TRUE,FALSE,FALSE,FALSE,TRUE
"b1459_1531325",FALSE,TRUE,FALSE,FALSE,TRUE
"b1460_1531816",FALSE,FALSE,FALSE,FALSE,TRUE
"b1461_1533052",TRUE,FALSE,FALSE,TRUE,TRUE
"b1462_1533851",TRUE,FALSE,FALSE,FALSE,TRUE
"b1463_1534024",TRUE,FALSE,FALSE,FALSE,TRUE
"b1464_1535858",FALSE,TRUE,FALSE,FALSE,TRUE
"b1465_1536617",TRUE,FALSE,FALSE,FALSE,TRUE
"b1466_1537309",TRUE,FALSE,FALSE,FALSE,TRUE
"b1467_1538853",TRUE,TRUE,FALSE,FALSE,TRUE
"b1468_1542590",TRUE,FALSE,FALSE,FALSE,TRUE
"b1469_1544060",TRUE,FALSE,FALSE,FALSE,TRUE
"b1471_1545714",FALSE,FALSE,FALSE,FALSE,TRUE
"b1471_1544764",FALSE,FALSE,FALSE,FALSE,TRUE
"b1472_1546028",TRUE,TRUE,FALSE,FALSE,TRUE
"b1473_1547169",TRUE,FALSE,FALSE,FALSE,TRUE
"b1474_1547401",TRUE,FALSE,FALSE,FALSE,TRUE
"b1475_1550461",FALSE,FALSE,FALSE,FALSE,TRUE
"b1476_1551338",FALSE,FALSE,FALSE,TRUE,TRUE
"b1477_1552682",TRUE,FALSE,FALSE,FALSE,TRUE
"b1478_1553838",TRUE,FALSE,FALSE,FALSE,TRUE
"b1479_1555669",TRUE,FALSE,FALSE,FALSE,TRUE
"b1480_1555963",TRUE,FALSE,FALSE,FALSE,TRUE
"b1481_1556280",TRUE,FALSE,FALSE,FALSE,TRUE
"b1482_1556625",TRUE,FALSE,FALSE,TRUE,TRUE
"b1483_1558038",FALSE,FALSE,FALSE,FALSE,TRUE
"b1484_1559017",TRUE,FALSE,FALSE,FALSE,TRUE
"b1485_1559910",TRUE,TRUE,FALSE,FALSE,TRUE
"b1486_1560929",TRUE,TRUE,FALSE,FALSE,TRUE
"b1487_1562481",TRUE,FALSE,FALSE,FALSE,TRUE
