"","MFE","peak_type","peak_type_2"
"158",-1.2,"annotated peak","annotated"
"159",-15.5,"annotated no peak","annotated"
"160",-2.3,"annotated peak","annotated"
"161",-8.4,"annotated no peak","annotated"
"162",-3.4,"annotated peak","annotated"
"163",-5.3,"annotated peak","annotated"
"164",-7.7,"annotated no peak","annotated"
"165",-2.9,"annotated peak","annotated"
"166",-8,"annotated peak","annotated"
"167",-5.8,"annotated peak","annotated"
"168",-3.3,"annotated peak","annotated"
"169",-2.1,"annotated peak","annotated"
"170",-6.3,"annotated peak","annotated"
"171",-9.7,"annotated no peak","annotated"
"172",-5.7,"annotated peak","annotated"
"173",-1.6,"annotated peak","annotated"
"174",-0.7,"annotated peak","annotated"
"175",-3.8,"annotated no peak","annotated"
"176",-3.2,"annotated peak","annotated"
"177",-7.6,"annotated peak","annotated"
"178",-9.4,"annotated no peak","annotated"
"179",-7.8,"annotated peak","annotated"
"180",-3.4,"annotated no peak","annotated"
"181",-6.1,"annotated peak","annotated"
"182",-3,"annotated peak","annotated"
"183",-4,"annotated peak","annotated"
"184",-4.1,"annotated no peak","annotated"
"185",-5.3,"annotated peak","annotated"
"186",-6.4,"annotated peak","annotated"
"187",-9.1,"annotated no peak","annotated"
"188",-2.2,"annotated no peak","annotated"
"189",-3.1,"annotated peak","annotated"
"190",-6.7,"annotated peak","annotated"
"191",-5.2,"annotated peak","annotated"
"192",-6.7,"annotated no peak","annotated"
"193",-2.9,"annotated peak","annotated"
"194",-1.2,"annotated peak","annotated"
"195",-4.9,"annotated peak","annotated"
"196",0,"annotated peak","annotated"
"197",-6.4,"annotated peak","annotated"
"198",-4.2,"annotated no peak","annotated"
"199",-5.7,"annotated peak","annotated"
"200",-4,"annotated peak","annotated"
"201",-17.1,"annotated no peak","annotated"
"202",-3.3,"annotated no peak","annotated"
"203",-4.4,"annotated peak","annotated"
"204",-4.6,"annotated peak","annotated"
"205",-1.8,"annotated peak","annotated"
"206",-2.3,"annotated peak","annotated"
"207",-5.5,"annotated no peak","annotated"
"208",-2.8,"annotated peak","annotated"
"209",-7.8,"annotated no peak","annotated"
"210",-7.1,"annotated no peak","annotated"
"211",-6.6,"annotated no peak","annotated"
"212",-5,"annotated peak","annotated"
"213",-4.3,"annotated peak","annotated"
"214",-3.9,"annotated peak","annotated"
"215",-8.9,"annotated peak","annotated"
"216",-4.6,"annotated peak","annotated"
"217",-4,"annotated peak","annotated"
"218",-6,"annotated peak","annotated"
"219",-6.9,"annotated no peak","annotated"
"220",-4.1,"annotated peak","annotated"
"221",-6.1,"annotated no peak","annotated"
"222",-6.6,"annotated no peak","annotated"
"223",-7.3,"annotated peak","annotated"
"224",-6.5,"annotated peak","annotated"
"225",-2,"annotated peak","annotated"
"226",-2.4,"annotated no peak","annotated"
"227",-1.7,"annotated peak","annotated"
"228",-12,"annotated no peak","annotated"
"229",-7.8,"annotated no peak","annotated"
"230",-3.9,"annotated peak","annotated"
"231",-9.9,"annotated no peak","annotated"
"232",-5.3,"annotated peak","annotated"
"233",-5.6,"annotated no peak","annotated"
"234",-1.6,"annotated peak","annotated"
"235",-3.5,"annotated peak","annotated"
"236",-5.5,"annotated peak","annotated"
"237",-1.9,"annotated peak","annotated"
"238",0,"annotated peak","annotated"
"239",-3.9,"annotated peak","annotated"
"240",-6.5,"annotated peak","annotated"
"241",-5,"annotated peak","annotated"
"242",-4.2,"annotated no peak","annotated"
"243",-8.9,"annotated no peak","annotated"
"244",0,"annotated peak","annotated"
"245",-1.9,"annotated no peak","annotated"
"246",-8.2,"annotated no peak","annotated"
"247",-5.6,"annotated peak","annotated"
"248",-7.9,"annotated no peak","annotated"
"249",-6.7,"annotated peak","annotated"
"250",-6.8,"annotated peak","annotated"
"251",-3.9,"annotated peak","annotated"
"252",-3.3,"annotated no peak","annotated"
"253",-2.5,"annotated no peak","annotated"
"254",-8.4,"annotated peak","annotated"
"255",-11.7,"annotated no peak","annotated"
"256",-4.8,"annotated peak","annotated"
"257",-0.7,"annotated peak","annotated"
"258",-5.7,"annotated peak","annotated"
"259",-3.2,"annotated no peak","annotated"
"260",-10,"annotated no peak","annotated"
"261",-3.9,"annotated no peak","annotated"
"262",-2.2,"annotated no peak","annotated"
"263",-5.2,"annotated peak","annotated"
"264",-2.9,"annotated peak","annotated"
"265",-6.3,"annotated no peak","annotated"
"266",-4.2,"annotated peak","annotated"
"267",-8,"annotated no peak","annotated"
"268",-4.9,"annotated peak","annotated"
"269",-5.8,"annotated peak","annotated"
"270",-4.2,"annotated no peak","annotated"
"271",-9.7,"annotated peak","annotated"
"272",-5.6,"annotated no peak","annotated"
"273",-10,"annotated no peak","annotated"
"274",-3.9,"annotated no peak","annotated"
"275",-1.9,"annotated no peak","annotated"
"276",-4.2,"annotated peak","annotated"
"277",0,"annotated peak","annotated"
"278",-5.4,"annotated peak","annotated"
"279",-2.9,"annotated peak","annotated"
"280",-4.7,"annotated no peak","annotated"
"281",-9.3,"annotated no peak","annotated"
"282",-7,"annotated no peak","annotated"
"283",-6.8,"annotated peak","annotated"
"284",-7.2,"annotated peak","annotated"
"285",-6.2,"annotated peak","annotated"
"286",-8.8,"annotated no peak","annotated"
"287",-2.2,"annotated peak","annotated"
"288",-2.1,"annotated peak","annotated"
"289",-7.1,"annotated peak","annotated"
"290",-4.1,"annotated peak","annotated"
"291",-3.6,"annotated peak","annotated"
"292",-7.2,"annotated no peak","annotated"
"293",-1.6,"annotated peak","annotated"
"294",-8.3,"annotated no peak","annotated"
"295",-8.7,"annotated peak","annotated"
"296",-5,"annotated peak","annotated"
"297",-6.4,"annotated peak","annotated"
"298",-6.2,"annotated peak","annotated"
"299",-10.3,"annotated no peak","annotated"
"300",-1.5,"annotated peak","annotated"
"301",-9,"annotated no peak","annotated"
"302",-13.9,"annotated no peak","annotated"
"303",-1.9,"annotated no peak","annotated"
"304",-2.9,"annotated no peak","annotated"
"305",-2.4,"annotated peak","annotated"
"306",-3,"annotated no peak","annotated"
"307",-3.9,"annotated peak","annotated"
"308",-5.3,"annotated peak","annotated"
"309",-3.4,"annotated peak","annotated"
"310",-5.6,"annotated peak","annotated"
"311",0,"annotated peak","annotated"
"312",-4.4,"annotated no peak","annotated"
"313",-3.5,"annotated peak","annotated"
"314",-6,"annotated peak","annotated"
"315",-10.1,"annotated no peak","annotated"
