"","MFE","peak_type","peak_type_2"
"1350",-4,"annotated peak","annotated"
"1351",-4.7,"annotated peak","annotated"
"1352",-7.2,"annotated peak","annotated"
"1353",-6.3,"annotated peak","annotated"
"1354",-2.1,"annotated peak","annotated"
"1355",-9.4,"annotated no peak","annotated"
"1356",-4.1,"annotated peak","annotated"
"1357",-5.2,"annotated no peak","annotated"
"1358",-3.9,"annotated peak","annotated"
"1359",-7.9,"annotated peak","annotated"
"1360",-6.2,"annotated peak","annotated"
"1361",-5,"annotated peak","annotated"
"1362",-3.1,"annotated peak","annotated"
"1363",-4.8,"annotated no peak","annotated"
"1364",-6.1,"annotated peak","annotated"
"1365",-9.6,"annotated no peak","annotated"
"1366",-11.4,"annotated no peak","annotated"
"1367",-6.9,"annotated no peak","annotated"
"1368",-5.2,"annotated no peak","annotated"
"1369",-7.3,"annotated no peak","annotated"
"1370",-10.5,"annotated no peak","annotated"
"1371",-7.1,"annotated no peak","annotated"
"1372",-6.7,"annotated no peak","annotated"
"1373",-6.7,"annotated no peak","annotated"
"1374",-5.8,"annotated no peak","annotated"
"1375",-5,"annotated no peak","annotated"
"1376",-7.8,"annotated no peak","annotated"
"1377",-3.1,"annotated no peak","annotated"
"1378",-1.6,"annotated no peak","annotated"
"1379",-2.5,"annotated peak","annotated"
"1380",-2.2,"annotated peak","annotated"
"1381",0,"annotated peak","annotated"
"1382",-6.1,"annotated peak","annotated"
"1383",-7.4,"annotated peak","annotated"
"1384",-1.4,"annotated peak","annotated"
"1385",-7.2,"annotated no peak","annotated"
"1386",-6.8,"annotated no peak","annotated"
"1387",-3.3,"annotated peak","annotated"
"1388",-5.4,"annotated peak","annotated"
"1389",-3.3,"annotated peak","annotated"
"1390",-3.8,"annotated peak","annotated"
"1391",-4.7,"annotated peak","annotated"
"1392",-4.6,"annotated peak","annotated"
"1393",-3.9,"annotated peak","annotated"
"1394",-4.4,"annotated peak","annotated"
"1395",-4.2,"annotated peak","annotated"
"1396",-7.7,"annotated no peak","annotated"
"1397",-2.6,"annotated peak","annotated"
"1398",-7.5,"annotated no peak","annotated"
"1399",-3.8,"annotated peak","annotated"
"1400",-4.9,"annotated peak","annotated"
"1401",-10.7,"annotated peak","annotated"
"1402",-15.4,"annotated no peak","annotated"
"1403",-1.7,"annotated no peak","annotated"
"1404",-0.7,"annotated peak","annotated"
"1405",-7.1,"annotated peak","annotated"
"1406",-6.1,"annotated peak","annotated"
"1407",-3.3,"annotated peak","annotated"
"1408",-10.8,"annotated no peak","annotated"
"1409",-3.8,"annotated no peak","annotated"
"1410",-7.6,"annotated no peak","annotated"
"1411",-8.7,"annotated no peak","annotated"
"1412",-2.5,"annotated no peak","annotated"
"1413",-6.1,"annotated peak","annotated"
"1414",-5,"annotated peak","annotated"
"1415",-6.8,"annotated no peak","annotated"
"1416",-6.2,"annotated no peak","annotated"
"1417",-1.2,"annotated peak","annotated"
"1418",-9.7,"annotated no peak","annotated"
"1419",-2.4,"annotated peak","annotated"
"1420",-7.4,"annotated no peak","annotated"
"1421",-2.4,"annotated peak","annotated"
"1422",-2.1,"annotated peak","annotated"
"1423",-4.9,"annotated peak","annotated"
"1424",-3.8,"annotated no peak","annotated"
"1425",-1.2,"annotated peak","annotated"
"1426",-3.8,"annotated peak","annotated"
"1427",-7.7,"annotated no peak","annotated"
"1428",-1.4,"annotated peak","annotated"
"1429",-4.3,"annotated peak","annotated"
"1430",-4.7,"annotated peak","annotated"
"1431",-6.1,"annotated peak","annotated"
"1432",-6.5,"annotated peak","annotated"
"1433",-6.2,"annotated peak","annotated"
"1434",-2.1,"annotated peak","annotated"
"1435",-5.4,"annotated peak","annotated"
"1436",-0.4,"annotated peak","annotated"
"1437",-2.7,"annotated peak","annotated"
"1438",0,"annotated peak","annotated"
"1439",-6.5,"annotated no peak","annotated"
"1440",-12.9,"annotated peak","annotated"
"1441",-7.1,"annotated no peak","annotated"
"1442",-9.3,"annotated peak","annotated"
"1443",-4.4,"annotated no peak","annotated"
"1444",-3.2,"annotated peak","annotated"
"1445",-6.3,"annotated no peak","annotated"
"1446",-4.9,"annotated no peak","annotated"
"1447",-3,"annotated peak","annotated"
"1448",-1,"annotated peak","annotated"
"1449",-10.7,"annotated no peak","annotated"
"1450",-7.1,"annotated peak","annotated"
"1451",-13.1,"annotated no peak","annotated"
"1452",-2.5,"annotated peak","annotated"
"1453",-4,"annotated peak","annotated"
"1454",-4.2,"annotated no peak","annotated"
"1455",-5.6,"annotated peak","annotated"
"1456",-14.1,"annotated no peak","annotated"
"1457",-2,"annotated peak","annotated"
"1458",-4.9,"annotated peak","annotated"
"1459",-3.5,"annotated peak","annotated"
"1460",-1.1,"annotated peak","annotated"
"1461",-2.2,"annotated peak","annotated"
"1462",-3.2,"annotated peak","annotated"
"1463",-5,"annotated peak","annotated"
"1464",-3,"annotated no peak","annotated"
"1465",-3.7,"annotated no peak","annotated"
"1466",-4.3,"annotated peak","annotated"
"1467",-0.3,"annotated peak","annotated"
"1468",-3.7,"annotated no peak","annotated"
"1469",-8,"annotated no peak","annotated"
"1470",-2.8,"annotated peak","annotated"
"1471",-3.9,"annotated peak","annotated"
"1472",-3.3,"annotated peak","annotated"
"1473",-11.1,"annotated no peak","annotated"
"1474",-3.7,"annotated peak","annotated"
"1475",-9.3,"annotated peak","annotated"
"1476",-5,"annotated peak","annotated"
"1477",-6.9,"annotated peak","annotated"
"1478",-8,"annotated peak","annotated"
"1479",-5.4,"annotated no peak","annotated"
"1480",-0.2,"annotated no peak","annotated"
"1481",-3.7,"annotated peak","annotated"
"1482",0,"annotated peak","annotated"
"1483",-5.8,"annotated peak","annotated"
"1484",-6.3,"annotated no peak","annotated"
"1485",-5,"annotated no peak","annotated"
"1486",-1.6,"annotated peak","annotated"
"1487",-10.1,"annotated peak","annotated"
"1488",-4.3,"annotated peak","annotated"
"1489",-2.9,"annotated peak","annotated"
"1490",-1.9,"annotated peak","annotated"
"1491",-3.4,"annotated peak","annotated"
"1492",-12,"annotated no peak","annotated"
"1493",-8.1,"annotated peak","annotated"
"1494",-9.6,"annotated peak","annotated"
"1495",-2.2,"annotated peak","annotated"
"1496",-5.1,"annotated peak","annotated"
"1497",-4.4,"annotated peak","annotated"
"1498",-5.7,"annotated peak","annotated"
"1499",-8.2,"annotated peak","annotated"
"1500",-4.2,"annotated no peak","annotated"
"1501",-4.8,"annotated peak","annotated"
"1502",-7.6,"annotated peak","annotated"
"1503",-13.4,"annotated peak","annotated"
"1504",-1.9,"annotated peak","annotated"
"1505",-6,"annotated no peak","annotated"
"1506",-6,"annotated no peak","annotated"
"1507",0,"annotated peak","annotated"
"1508",-3.6,"annotated peak","annotated"
"1509",-2.6,"annotated no peak","annotated"
"1510",-4.2,"annotated peak","annotated"
"1511",-2.5,"annotated no peak","annotated"
"1512",-3.1,"annotated no peak","annotated"
"1513",-3.9,"annotated peak","annotated"
"1514",-10.6,"annotated no peak","annotated"
"1515",-6.4,"annotated peak","annotated"
"1516",-8.3,"annotated no peak","annotated"
"1517",-4.2,"annotated no peak","annotated"
"1518",-3.4,"annotated peak","annotated"
"1519",-4.7,"annotated no peak","annotated"
"1520",-15.9,"annotated no peak","annotated"
"1521",-6.5,"annotated peak","annotated"
"1522",-1,"annotated peak","annotated"
"1523",-6.1,"annotated no peak","annotated"
"1524",-12.9,"annotated peak","annotated"
"1525",-6.6,"annotated peak","annotated"
"1526",-1.9,"annotated peak","annotated"
"1527",-7.8,"annotated peak","annotated"
"1528",-6,"annotated peak","annotated"
"1529",-2.7,"annotated peak","annotated"
"1530",-6.8,"annotated peak","annotated"
"1531",-3.9,"annotated peak","annotated"
"1532",-8.6,"annotated no peak","annotated"
"1533",-3.4,"annotated peak","annotated"
"1534",-11.2,"annotated peak","annotated"
"1535",-3.2,"annotated peak","annotated"
"1536",-4.2,"annotated peak","annotated"
"1537",-6.9,"annotated no peak","annotated"
"1538",-0.4,"annotated no peak","annotated"
"1539",-4.2,"annotated peak","annotated"
"1540",-4.2,"annotated peak","annotated"
"1541",-3.4,"annotated peak","annotated"
"1542",-4.5,"annotated no peak","annotated"
"1543",-3.3,"annotated peak","annotated"
"1544",-0.7,"annotated peak","annotated"
"1545",-4,"annotated peak","annotated"
"1546",-2.8,"annotated peak","annotated"
"1547",-1.7,"annotated peak","annotated"
"1548",-1,"annotated peak","annotated"
"1549",-2.9,"annotated peak","annotated"
"1550",-3.7,"annotated peak","annotated"
"1551",-1.4,"annotated peak","annotated"
"1552",-2.7,"annotated peak","annotated"
"1553",-4.6,"annotated peak","annotated"
"1554",-3.3,"annotated peak","annotated"
"1555",-12.4,"annotated no peak","annotated"
"1556",-1.6,"annotated no peak","annotated"
"1557",-3.2,"annotated no peak","annotated"
"1558",-7.8,"annotated no peak","annotated"
"1559",-6.7,"annotated no peak","annotated"
"1560",-6,"annotated no peak","annotated"
"1561",-6,"annotated no peak","annotated"
"1562",-8.8,"annotated peak","annotated"
"1563",-3.3,"annotated peak","annotated"
"1564",-7.5,"annotated no peak","annotated"
"1565",-3.6,"annotated peak","annotated"
"1566",-3.1,"annotated peak","annotated"
"1567",-6.7,"annotated peak","annotated"
"1568",-3.4,"annotated no peak","annotated"
"1569",-5.5,"annotated peak","annotated"
"1570",-7.4,"annotated peak","annotated"
"1571",-4.6,"annotated peak","annotated"
"1572",-0.6,"annotated no peak","annotated"
"1573",-6.3,"annotated peak","annotated"
"1574",-11.3,"annotated no peak","annotated"
"1575",-6.4,"annotated peak","annotated"
"1576",-11.1,"annotated peak","annotated"
"1577",-5.6,"annotated peak","annotated"
"1578",-4.3,"annotated peak","annotated"
"1579",-7.5,"annotated no peak","annotated"
"1580",-4.9,"annotated peak","annotated"
"1581",-11.7,"annotated no peak","annotated"
"1582",-7.5,"annotated no peak","annotated"
"1583",-3.8,"annotated peak","annotated"
"1584",-3.8,"annotated peak","annotated"
"1585",-7.4,"annotated peak","annotated"
"1586",-5.8,"annotated peak","annotated"
"1587",-2.9,"annotated peak","annotated"
"1588",-8.7,"annotated peak","annotated"
"1589",-5.2,"annotated peak","annotated"
"1590",-2.5,"annotated peak","annotated"
"1591",-6.4,"annotated no peak","annotated"
"1592",-4.8,"annotated no peak","annotated"
"1593",-0.8,"annotated peak","annotated"
"1594",-3.8,"annotated peak","annotated"
"1595",-3.2,"annotated peak","annotated"
"1596",-4.6,"annotated peak","annotated"
"1597",-3.5,"annotated peak","annotated"
"1598",-3.7,"annotated no peak","annotated"
"1599",-5.8,"annotated peak","annotated"
"1600",-3,"annotated peak","annotated"
"1601",-3.2,"annotated no peak","annotated"
"1602",-5.1,"annotated peak","annotated"
"1603",-4.3,"annotated peak","annotated"
"1604",-11.2,"annotated peak","annotated"
"1605",-2.8,"annotated peak","annotated"
"1606",-7,"annotated peak","annotated"
"1607",-6.8,"annotated peak","annotated"
"1608",-1.9,"annotated peak","annotated"
"1609",-5.9,"annotated peak","annotated"
"1610",0,"annotated peak","annotated"
"1611",-11.5,"annotated no peak","annotated"
"1612",-2.9,"annotated peak","annotated"
"1613",-10.7,"annotated peak","annotated"
"1614",-7.1,"annotated peak","annotated"
"1615",-2.8,"annotated peak","annotated"
"1616",-6,"annotated peak","annotated"
"1617",-6.4,"annotated peak","annotated"
"1618",-4.3,"annotated peak","annotated"
"1619",-6.6,"annotated peak","annotated"
"1620",-13.5,"annotated peak","annotated"
"1621",-2.1,"annotated peak","annotated"
"1622",-5.3,"annotated peak","annotated"
"1623",-4.9,"annotated peak","annotated"
"1624",-7.7,"annotated peak","annotated"
"1625",-1.8,"annotated peak","annotated"
"1626",-3,"annotated peak","annotated"
"1627",-2,"annotated peak","annotated"
"1628",-3.7,"annotated peak","annotated"
"1629",-3.5,"annotated peak","annotated"
"1630",-5.1,"annotated peak","annotated"
"1631",-5.3,"annotated peak","annotated"
"1632",-8.3,"annotated peak","annotated"
"1633",-4.3,"annotated peak","annotated"
"1634",-8.7,"annotated peak","annotated"
"1635",-9,"annotated peak","annotated"
"1636",-7.8,"annotated peak","annotated"
"1637",-3.5,"annotated no peak","annotated"
"1638",-7,"annotated peak","annotated"
"1639",-4.5,"annotated peak","annotated"
"1640",-1.6,"annotated peak","annotated"
"1641",-3.3,"annotated no peak","annotated"
"1642",-6.8,"annotated peak","annotated"
"1643",-3.9,"annotated peak","annotated"
"1644",-4.9,"annotated no peak","annotated"
"1645",-3.5,"annotated peak","annotated"
"1646",-5.3,"annotated no peak","annotated"
"1647",-5.4,"annotated peak","annotated"
"1648",-5.2,"annotated peak","annotated"
"1649",-1.6,"annotated peak","annotated"
"1650",-0.6,"annotated peak","annotated"
"1651",-9.7,"annotated no peak","annotated"
"1652",-7.5,"annotated peak","annotated"
"1653",-4.7,"annotated peak","annotated"
"1654",-6.3,"annotated peak","annotated"
"1655",-4.8,"annotated peak","annotated"
"1656",-8.4,"annotated peak","annotated"
"1657",-3.6,"annotated peak","annotated"
"1658",-5.5,"annotated peak","annotated"
"1659",-8.2,"annotated no peak","annotated"
"1660",-4.5,"annotated no peak","annotated"
"1661",-2.4,"annotated peak","annotated"
"1662",-7.8,"annotated peak","annotated"
"1663",-2.9,"annotated peak","annotated"
"1664",-7.2,"annotated no peak","annotated"
"1665",-5.7,"annotated peak","annotated"
"1666",-4.2,"annotated peak","annotated"
"1667",-2.9,"annotated peak","annotated"
"1668",-7.6,"annotated peak","annotated"
"1669",-4.3,"annotated peak","annotated"
"1670",-9.4,"annotated peak","annotated"
"1671",-1,"annotated peak","annotated"
"1672",-2.5,"annotated peak","annotated"
"1673",-3.6,"annotated peak","annotated"
"1674",-1.8,"annotated peak","annotated"
"1675",-4.9,"annotated peak","annotated"
"1676",-1.4,"annotated peak","annotated"
"1677",-8.5,"annotated peak","annotated"
"1678",-3.5,"annotated peak","annotated"
"1679",-1.1,"annotated peak","annotated"
"1680",-7.4,"annotated peak","annotated"
"1681",-6.2,"annotated peak","annotated"
"1682",-2,"annotated peak","annotated"
"1683",-4.5,"annotated no peak","annotated"
"1684",-6.6,"annotated peak","annotated"
"1685",-10.4,"annotated no peak","annotated"
"1686",-5,"annotated no peak","annotated"
"1687",-4,"annotated peak","annotated"
"1688",-2.9,"annotated peak","annotated"
"1689",-0.1,"annotated peak","annotated"
"1690",-2.2,"annotated peak","annotated"
"1691",-2.5,"annotated peak","annotated"
"1692",-6.7,"annotated peak","annotated"
"1693",-10,"annotated peak","annotated"
"1694",-6.9,"annotated peak","annotated"
"1695",-12.4,"annotated peak","annotated"
"1696",-1.2,"annotated peak","annotated"
"1697",-10.1,"annotated no peak","annotated"
"1698",-6.4,"annotated peak","annotated"
"1699",-7.7,"annotated peak","annotated"
"1700",-3.7,"annotated peak","annotated"
"1701",-5.4,"annotated peak","annotated"
"1702",-2.5,"annotated peak","annotated"
"1703",-6.2,"annotated no peak","annotated"
"1704",-2.8,"annotated no peak","annotated"
"1705",-5.3,"annotated peak","annotated"
"1706",-3.1,"annotated peak","annotated"
"1707",-4.3,"annotated peak","annotated"
"1708",-3.1,"annotated peak","annotated"
"1709",-4,"annotated peak","annotated"
"1710",-5.7,"annotated peak","annotated"
"1711",-2.1,"annotated peak","annotated"
"1712",-0.7,"annotated peak","annotated"
"1713",-7.4,"annotated peak","annotated"
"1714",-8.6,"annotated no peak","annotated"
"1715",-6.1,"annotated peak","annotated"
"1716",-4.6,"annotated peak","annotated"
"1717",-1.1,"annotated peak","annotated"
"1718",-2.6,"annotated peak","annotated"
"1719",-1.8,"annotated peak","annotated"
"1720",-5.5,"annotated peak","annotated"
"1721",-6.2,"annotated peak","annotated"
"1722",-5.8,"annotated peak","annotated"
"1723",-7.7,"annotated peak","annotated"
"1724",-3.3,"annotated peak","annotated"
"1725",-6.8,"annotated no peak","annotated"
"1726",-8.7,"annotated peak","annotated"
"1727",-0.1,"annotated peak","annotated"
"1728",-7.6,"annotated peak","annotated"
"1729",-8.3,"annotated no peak","annotated"
"1730",-5.1,"annotated peak","annotated"
"1731",-0.9,"annotated peak","annotated"
"1732",-2.1,"annotated peak","annotated"
"1733",-6.6,"annotated no peak","annotated"
"1734",-1.1,"annotated peak","annotated"
"1735",-1.9,"annotated no peak","annotated"
"1736",-3.7,"annotated no peak","annotated"
"1737",-2.9,"annotated peak","annotated"
"1738",-3.8,"annotated peak","annotated"
"1739",-5.7,"annotated peak","annotated"
"1740",-9.1,"annotated peak","annotated"
"1741",-6.4,"annotated peak","annotated"
"1742",-7.7,"annotated peak","annotated"
"1743",-5.8,"annotated peak","annotated"
"1744",-3.3,"annotated peak","annotated"
"1745",-2.6,"annotated peak","annotated"
"1746",-3.6,"annotated peak","annotated"
"1747",-2,"annotated peak","annotated"
"1748",-1.9,"annotated peak","annotated"
"1749",-6.1,"annotated peak","annotated"
"1750",-6.2,"annotated peak","annotated"
"1751",-3.2,"annotated peak","annotated"
"1752",-2.3,"annotated peak","annotated"
"1753",-4.3,"annotated peak","annotated"
"1754",-0.4,"annotated peak","annotated"
"1755",-6.2,"annotated peak","annotated"
"1756",-2.1,"annotated no peak","annotated"
"1757",-2.5,"annotated peak","annotated"
"1758",-0.4,"annotated peak","annotated"
"1759",-11.8,"annotated no peak","annotated"
"1760",-9.3,"annotated peak","annotated"
"1761",-7.3,"annotated peak","annotated"
"1762",-6.5,"annotated no peak","annotated"
"1763",-4.9,"annotated peak","annotated"
"1764",-3.6,"annotated peak","annotated"
"1765",-6.1,"annotated peak","annotated"
"1766",-1.7,"annotated peak","annotated"
"1767",-2.7,"annotated peak","annotated"
"1768",-14,"annotated no peak","annotated"
"1769",-3.8,"annotated peak","annotated"
"1770",-5.9,"annotated no peak","annotated"
"1771",-6.6,"annotated no peak","annotated"
"1772",-3.2,"annotated peak","annotated"
"1773",-6.3,"annotated peak","annotated"
"1774",-1.5,"annotated peak","annotated"
"1775",-4.4,"annotated peak","annotated"
"1776",-1.8,"annotated peak","annotated"
"1777",-0.7,"annotated peak","annotated"
"1778",-4,"annotated no peak","annotated"
"1779",-6,"annotated peak","annotated"
"1780",-5.2,"annotated peak","annotated"
"1781",-5.5,"annotated peak","annotated"
"1782",-2.6,"annotated peak","annotated"
"1783",-5.6,"annotated peak","annotated"
"1784",-4.9,"annotated peak","annotated"
"1785",-3.9,"annotated peak","annotated"
"1786",0,"annotated peak","annotated"
"1787",-3.7,"annotated peak","annotated"
"1788",-3,"annotated peak","annotated"
"1789",-1.5,"annotated peak","annotated"
"1790",-6.8,"annotated peak","annotated"
"1791",-1.1,"annotated peak","annotated"
"1792",-3.4,"annotated peak","annotated"
"1793",-3.9,"annotated peak","annotated"
"1794",-5.1,"annotated peak","annotated"
"1795",-3,"annotated peak","annotated"
"1796",-3.5,"annotated peak","annotated"
"1797",-2,"annotated peak","annotated"
"1798",-3.6,"annotated peak","annotated"
"1799",-5.9,"annotated peak","annotated"
"1800",-3.9,"annotated peak","annotated"
"1801",-5.5,"annotated peak","annotated"
"1802",-6.3,"annotated peak","annotated"
"1803",-3.4,"annotated peak","annotated"
"1804",-4.5,"annotated peak","annotated"
"1805",-0.6,"annotated peak","annotated"
"1806",-5.6,"annotated no peak","annotated"
"1807",-6.3,"annotated peak","annotated"
"1808",-3.3,"annotated peak","annotated"
"1809",-2.3,"annotated peak","annotated"
"1810",-5.5,"annotated peak","annotated"
"1811",-9,"annotated no peak","annotated"
"1812",-4.9,"annotated peak","annotated"
"1813",-4,"annotated peak","annotated"
"1814",-6.7,"annotated peak","annotated"
"1815",-3.3,"annotated peak","annotated"
"1816",-3.1,"annotated peak","annotated"
"1817",-3.2,"annotated peak","annotated"
"1818",-7.7,"annotated no peak","annotated"
"1819",-3,"annotated peak","annotated"
"1820",-8.6,"annotated peak","annotated"
"1821",-2.3,"annotated peak","annotated"
"1822",-2.4,"annotated peak","annotated"
"1823",-6.4,"annotated peak","annotated"
"1824",-3.5,"annotated peak","annotated"
"1825",-10.2,"annotated no peak","annotated"
"1826",-2.2,"annotated peak","annotated"
"1827",-3.3,"annotated peak","annotated"
"1828",-6.1,"annotated peak","annotated"
"1829",-7.1,"annotated peak","annotated"
"1830",-4.7,"annotated peak","annotated"
"1831",-6.7,"annotated peak","annotated"
"1832",-8.6,"annotated no peak","annotated"
"1833",-6.7,"annotated peak","annotated"
"1834",-6.7,"annotated peak","annotated"
"1835",-2.7,"annotated peak","annotated"
"1836",-5.7,"annotated peak","annotated"
"1837",-3,"annotated peak","annotated"
"1838",-5,"annotated peak","annotated"
"1839",-4.9,"annotated peak","annotated"
"1840",-3.4,"annotated peak","annotated"
"1841",-4.4,"annotated no peak","annotated"
"1842",-10.7,"annotated peak","annotated"
"1843",-3.3,"annotated peak","annotated"
"1844",-2.6,"annotated peak","annotated"
"1845",-3.4,"annotated peak","annotated"
"1846",-0.3,"annotated no peak","annotated"
"1847",-2.4,"annotated peak","annotated"
"1848",-8.6,"annotated peak","annotated"
"1849",-3.1,"annotated peak","annotated"
"1850",-2.1,"annotated peak","annotated"
"1851",-2.1,"annotated peak","annotated"
"1852",-8.5,"annotated peak","annotated"
"1853",-7.9,"annotated no peak","annotated"
"1854",-3.3,"annotated peak","annotated"
"1855",-8.4,"annotated no peak","annotated"
"1856",-7.7,"annotated peak","annotated"
"1857",-3.1,"annotated peak","annotated"
"1858",-9.9,"annotated no peak","annotated"
"1859",-2,"annotated peak","annotated"
"1860",-1.4,"annotated peak","annotated"
"1861",-4.5,"annotated peak","annotated"
"1862",-12.3,"annotated no peak","annotated"
"1863",-2.4,"annotated no peak","annotated"
"1864",-3.2,"annotated peak","annotated"
"1865",-4,"annotated peak","annotated"
"1866",-5.6,"annotated peak","annotated"
"1867",-2.7,"annotated peak","annotated"
"1868",-4.3,"annotated peak","annotated"
"1869",-5.2,"annotated peak","annotated"
"1870",-6.5,"annotated peak","annotated"
"1871",-4.5,"annotated no peak","annotated"
"1872",-5.1,"annotated peak","annotated"
"1873",-5.3,"annotated peak","annotated"
"1874",-0.8,"annotated peak","annotated"
"1875",-1.9,"annotated peak","annotated"
"1876",-3.7,"annotated no peak","annotated"
"1877",-5.6,"annotated peak","annotated"
"1878",-5.4,"annotated peak","annotated"
"1879",-7.8,"annotated peak","annotated"
"1880",-0.2,"annotated peak","annotated"
"1881",-2.9,"annotated peak","annotated"
"1882",-7.3,"annotated peak","annotated"
"1883",-6.4,"annotated peak","annotated"
"1884",-4.5,"annotated peak","annotated"
"1885",-3.2,"annotated peak","annotated"
"1886",-4.7,"annotated peak","annotated"
"1887",-12.5,"annotated no peak","annotated"
"1888",-9.8,"annotated peak","annotated"
"1889",-1.7,"annotated peak","annotated"
"1890",-8.2,"annotated peak","annotated"
"1891",-8.9,"annotated peak","annotated"
"1892",-4.7,"annotated no peak","annotated"
"1893",-3.9,"annotated peak","annotated"
"1894",-6.2,"annotated peak","annotated"
"1895",-4.1,"annotated peak","annotated"
"1896",-3.1,"annotated peak","annotated"
"1897",-6.8,"annotated no peak","annotated"
"1898",-4.1,"annotated peak","annotated"
"1899",-8.2,"annotated peak","annotated"
"1900",-6.9,"annotated peak","annotated"
"1901",-3.5,"annotated peak","annotated"
"1902",-3.9,"annotated peak","annotated"
"1903",-6.4,"annotated no peak","annotated"
"1904",-11.3,"annotated peak","annotated"
"1905",-3.8,"annotated peak","annotated"
"1906",-3.6,"annotated peak","annotated"
"1907",-7.6,"annotated peak","annotated"
"1908",-3.8,"annotated peak","annotated"
"1909",-4.6,"annotated peak","annotated"
"1910",-3.7,"annotated no peak","annotated"
"1911",-6.1,"annotated peak","annotated"
"1912",-8.6,"annotated no peak","annotated"
"1913",-3.9,"annotated no peak","annotated"
"1914",-4.5,"annotated peak","annotated"
"1915",-5.2,"annotated peak","annotated"
"1916",-3.4,"annotated peak","annotated"
"1917",-14.5,"annotated peak","annotated"
"1918",-8.8,"annotated peak","annotated"
"1919",-4.3,"annotated peak","annotated"
"1920",-4.7,"annotated peak","annotated"
"1921",-5.6,"annotated peak","annotated"
"1922",-5,"annotated peak","annotated"
"1923",-4.9,"annotated peak","annotated"
"1924",-4.9,"annotated peak","annotated"
"1925",-6.9,"annotated peak","annotated"
"1926",-1.8,"annotated peak","annotated"
"1927",-3.2,"annotated peak","annotated"
"1928",-1.8,"annotated no peak","annotated"
"1929",-6.3,"annotated peak","annotated"
"1930",-4.9,"annotated peak","annotated"
"1931",-3.7,"annotated peak","annotated"
"1932",-4.3,"annotated no peak","annotated"
"1933",-2.9,"annotated no peak","annotated"
"1934",-3.5,"annotated no peak","annotated"
"1935",-6.5,"annotated peak","annotated"
"1936",-1.1,"annotated peak","annotated"
"1937",-3.4,"annotated peak","annotated"
"1938",-3.5,"annotated peak","annotated"
"1939",-6.6,"annotated peak","annotated"
"1940",-6.9,"annotated no peak","annotated"
"1941",-4.1,"annotated peak","annotated"
"1942",-4.1,"annotated no peak","annotated"
"1943",-2.8,"annotated peak","annotated"
"1944",-3.3,"annotated peak","annotated"
"1945",-5.9,"annotated no peak","annotated"
"1946",-7.4,"annotated no peak","annotated"
"1947",-4.5,"annotated peak","annotated"
"1948",-3.9,"annotated no peak","annotated"
"1949",-2.4,"annotated peak","annotated"
"1950",-4.9,"annotated no peak","annotated"
"1951",-3,"annotated peak","annotated"
"1952",-7.8,"annotated no peak","annotated"
"1953",-5.6,"annotated peak","annotated"
"1954",-13,"annotated no peak","annotated"
"1955",-5.2,"annotated no peak","annotated"
"1956",-7.8,"annotated no peak","annotated"
"1957",-18.6,"annotated no peak","annotated"
"1958",-6.1,"annotated peak","annotated"
"1959",-8.4,"annotated no peak","annotated"
"1960",-4.1,"annotated peak","annotated"
"1961",-3.8,"annotated no peak","annotated"
"1962",-3.3,"annotated no peak","annotated"
"1963",-5.7,"annotated no peak","annotated"
"1964",-10.1,"annotated no peak","annotated"
"1965",-4.5,"annotated peak","annotated"
"1966",-13.8,"annotated no peak","annotated"
"1967",-6.7,"annotated peak","annotated"
"1968",-5.8,"annotated peak","annotated"
"1969",-4.3,"annotated peak","annotated"
"1970",-4.2,"annotated peak","annotated"
"1971",-4.3,"annotated peak","annotated"
"1972",-7.6,"annotated peak","annotated"
"1973",-5.6,"annotated peak","annotated"
"1974",-4.5,"annotated no peak","annotated"
"1975",-14.6,"annotated no peak","annotated"
"1976",-14.2,"annotated no peak","annotated"
"1977",-9,"annotated peak","annotated"
"1978",-9.8,"annotated no peak","annotated"
"1979",0,"annotated peak","annotated"
"1980",-5.8,"annotated no peak","annotated"
"1981",-0.9,"annotated peak","annotated"
"1982",-4.5,"annotated peak","annotated"
"1983",-2.1,"annotated peak","annotated"
"1984",-3.2,"annotated peak","annotated"
"1985",-4.9,"annotated no peak","annotated"
"1986",-7,"annotated no peak","annotated"
"1987",-4,"annotated peak","annotated"
"1988",-6.6,"annotated peak","annotated"
"1989",-4.6,"annotated peak","annotated"
"1990",-5,"annotated peak","annotated"
"1991",-5,"annotated peak","annotated"
"1992",-2.9,"annotated peak","annotated"
"1993",-1.6,"annotated peak","annotated"
"1994",-3.6,"annotated peak","annotated"
"1995",-3.9,"annotated no peak","annotated"
"1996",-8.5,"annotated peak","annotated"
"1997",-3.5,"annotated peak","annotated"
"1998",-8.7,"annotated no peak","annotated"
"1999",-5.7,"annotated peak","annotated"
"2000",-2.4,"annotated peak","annotated"
"2001",-8.9,"annotated peak","annotated"
"2002",-4.7,"annotated no peak","annotated"
"2003",-11.7,"annotated no peak","annotated"
"2004",-9.8,"annotated peak","annotated"
"2005",-11.2,"annotated no peak","annotated"
"2006",-15.1,"annotated no peak","annotated"
"2007",-4.2,"annotated peak","annotated"
"2008",-10.4,"annotated no peak","annotated"
"2009",-7.6,"annotated no peak","annotated"
"2010",-8.7,"annotated no peak","annotated"
"2011",-9.9,"annotated no peak","annotated"
"2012",-3.6,"annotated peak","annotated"
"2013",-6.4,"annotated peak","annotated"
