"","logFC","logCPM","F","PValue","FDR"
"b4233_mpl_4455785_1",0.652031893650728,7.3339880154894,49.150794530584,0.000000116670512658147,0.000484065957018653
"b3466_yhhL_3604979_1",-0.514778020171872,9.03005992113839,22.8962392918949,0.0000483052558581242,0.100209253277679
"b3868_glnG_4055278_-1",0.649270990423951,4.5527768151107,16.2650745954562,0.000376690986567555,0.520963634422929
"b3989_yjaZ_4189786_1",-0.39529690074943,6.87533256270325,14.1607356944352,0.00077678168928783,0.805716807213801
"b0001_thrL_190_1",0.0502723684690784,6.75938067558115,0.161286930199179,0.690979878343848,0.996957012500483
"b0002_thrA_337_1",-0.233303114309003,8.15373739674934,5.68642592788889,0.0240036923392807,0.996957012500483
"b0003_thrB_2801_1",-0.192006145904008,6.89186079781779,2.34200601536305,0.136988378164416,0.996957012500483
"b0004_thrC_3734_1",-0.04539365024228,6.71069655593045,0.149571973230681,0.701826760989462,0.996957012500483
"b0005_yaaX_5234_1",0.0753371760443327,8.31497326868612,0.555200488755304,0.462321305825333,0.996957012500483
"b0006_yaaA_6459_-1",-0.133253931214601,3.09549055774933,0.349530220313923,0.559054656644658,0.996957012500483
"b0007_yaaJ_7959_-1",-0.0699213074575986,5.60048679911095,0.24926270972385,0.621439488009243,0.996957012500483
"b0008_talB_8238_1",-0.0476952498143751,6.52152285003784,0.0994509901781994,0.754794575208847,0.996957012500483
"b0009_mog_9306_1",-0.151347397949086,7.50060072653535,0.981825553718817,0.330576227449927,0.996957012500483
"b0010_satP_10494_-1",-0.0899910022658116,6.99507182790971,0.647895502167379,0.427552008225831,0.996957012500483
"b0011_yaaW_11356_-1",-0.0289428472879761,6.02301708338042,0.0432996862556596,0.836646724264284,0.996957012500483
"b0014_dnaK_12163_1",-0.05045412027757,9.38974858466233,0.352517444407694,0.557390224961439,0.996957012500483
"b0015_dnaJ_14168_1",0.163951789869254,6.24743577825078,1.2152073298692,0.279555487470923,0.996957012500483
"b0018_mokC_16960_-1",-0.0358676757134198,6.29974925936258,0.0126340914431732,0.911694820600874,0.996957012500483
"b4412_hokC_16903_-1",0.240562272693185,4.2164575282077,0.308568067843106,0.584784777888821,0.996957012500483
"b0019_nhaA_17489_1",0.169997776846153,6.853787919791,1.39888319326067,0.246715609209791,0.996957012500483
"b0023_rpsT_21078_-1",-0.160781013355714,6.11101673336812,0.707090672612273,0.408068372056181,0.996957012500483
"b0025_ribF_21407_1",-0.224988186922499,5.31222259343872,2.4354224294653,0.129694747750722,0.996957012500483
"b0027_lspA_25207_1",0.0585911317509365,2.44983835240476,0.040727837247579,0.84150244276805,0.996957012500483
