"","logFC","logCPM","F","PValue","FDR"
"b1094_acpP_1151615_1",-2.255479639143,8.76321648050303,93.9558103725493,2.03827475452808e-10,8.456801956537e-07
"b2254_arnC_2367071_1",-0.884069614227238,5.79341375756229,54.2156684537083,5.32235636973531e-08,0.000110412282890159
"b3101_yqjF_3250562_1",-0.813495380440502,6.45698860347422,33.7158124539978,3.15921892356714e-06,0.00436919977129336
"b1410_ynbC_1479138_1",-0.671959955113853,7.87282935458497,31.3962604400616,5.4705219076785e-06,0.00567429884873953
"b3094_exuR_3246652_1",0.609324013611538,6.23621773534581,28.9878922839548,9.91323546084686e-06,0.00822600278541073
"b0331_prpB_348682_1",-0.709625008270589,8.29595432198396,26.5012381896986,1.88456540292152e-05,0.0111700883667448
"b3606_trmL_3781215_1",0.526130538767309,6.70336084172606,26.5829571850184,1.84428981447298e-05,0.0111700883667448
"b0155_clcA_175107_1",-0.670802431970433,5.53356915146726,24.8758150270508,2.91749280523055e-05,0.0139998952314596
"b0851_nfsA_891184_1",-0.567530453201009,7.26296094395433,24.729301802362,3.03685362938387e-05,0.0139998952314596
"b2053_gmd_2128314_-1",-0.567307560243302,8.10822399234796,24.1425520141479,3.57015548776597e-05,0.014812575118741
"b3421_rtcB_3558079_-1",-0.673736268687549,7.78320405380224,23.056272345221,4.84220140064692e-05,0.0167419113427367
"b4136_dsbD_4365042_-1",-0.490164001937881,7.83250216337084,23.3054286769527,4.51251234170695e-05,0.0167419113427367
"b0430_cyoC_448660_-1",-0.48591180500329,7.31103114672662,21.2354619034467,8.20115814154726e-05,0.0211187200559596
"b1137_ymfD_1197532_-1",-0.757112699987161,7.14046768485481,20.4083327295591,0.000104926335373657,0.0211187200559596
"b1467_narY_1538853_-1",0.568757748148689,8.36481782826517,20.1924227852409,0.000111981644066308,0.0211187200559596
"b2174_lpxT_2268854_1",-0.979116447054567,6.62010043911204,20.281457856797,0.000109012298369159,0.0211187200559596
"b2234_nrdA_2344865_1",-0.710260527669499,6.32041218799101,20.5162305959711,0.000101580997043734,0.0211187200559596
"b2844_yqeF_2985592_-1",0.548113386764575,7.42907023928483,20.8623118291317,9.1602294744638e-05,0.0211187200559596
"b3106_yhaK_3254319_1",-0.603954238148616,7.41078554366856,20.601196295028,9.90273863341982e-05,0.0211187200559596
"b3181_greA_3328715_-1",-0.463948572703698,6.52538566404214,20.3581965977716,0.000106520927622812,0.0211187200559596
"b3744_asnA_3927155_1",-0.510620939718233,9.30527489815092,20.5480424252845,0.000100616708808823,0.0211187200559596
"b4566_yjhX_4534053_-1",-0.771414052965278,4.94619386627597,21.9180970993036,6.71467098410218e-05,0.0211187200559596
"b2681_ygaY_2808316_1;b2681_ygaY_2808570_1",-0.553967396511273,5.63405968614787,19.1579550271328,0.000153643259081881,0.0277159079100315
"b2881_xdhD_3021316_1",0.556501845648055,8.37793390701312,18.9124147860192,0.000165808255286029,0.0286641021325723
"b0997_torA_1059256_1",-0.612584001410485,8.13792316555934,18.6076297909117,0.000182368880743958,0.0291018648541032
"b1255_yciC_1313663_-1",-0.822094181552149,6.46754740946047,18.6357258233328,0.000180770251130897,0.0291018648541032
"b1841_yobA_1924969_-1",-0.505160255984281,9.39009210628852,18.2922108183452,0.000201397581621859,0.030948095042559
"b2276_nuoN_2391505_-1",-0.752453395692376,3.10362037545993,17.8856179682931,0.000229139851999337,0.0310489949712903
"b4463_ygcU_2899418_-1",-0.588438246909417,7.6135091779871,17.846904654152,0.000231988152352374,0.0310489949712903
"b4109_crfC_4327135_1",-0.462146705244467,7.83565247311333,18.0417360888844,0.00021802968656469,0.0310489949712903
"b4349_hsdM_4583048_-1",-0.585163158358505,6.19927456596594,18.0827861373944,0.000215205585185254,0.0310489949712903
