"","logFC","logCPM","F","PValue","FDR"
"b3612_gpmM_3785260_1",-1.98388764709141,7.49091685298011,213.42394337422,1.42044742443908e-14,5.89343636399776e-11
"b1094_acpP_1151615_1",-3.56095381002131,8.76321648050303,196.629893617862,3.89272245106192e-14,8.07545272472795e-11
"b2254_arnC_2367071_1",-1.52459902417414,5.79341375756229,143.652508133046,1.68074384391404e-12,2.32446873613311e-09
"b3101_yqjF_3250562_1",-1.69848882163562,6.45698860347422,128.254978290782,6.27615295082306e-12,6.50993964824121e-09
"b3779_gpp_3964229_-1",-0.901154240801755,9.01867757639696,104.251005757696,6.52344376264895e-11,5.4131536342461e-08
"b1957_yodC_2028370_-1",-0.690599958104433,8.87617544402069,49.0778635092058,1.32935154940559e-07,9.19246596413966e-05
"b3449_ugpQ_3588113_-1",-1.38195436922307,4.99895961964317,44.6992259849316,3.05211409262809e-07,0.000180903162433056
"b2560_pgpC_2698550_-1",0.690522313641068,6.89650005641148,42.0899788966522,5.13501088569513e-07,0.000266314502059364
"b1397_paaJ_1460893_1",0.60173705629049,5.734348778597,36.9941376131942,1.50700912235114e-06,0.000694731205403877
"b0573_cusF_597131_1",-0.543092329880976,8.52229145633963,35.662094284617,2.02601383574218e-06,0.000840593140449431
"b3606_trmL_3781215_1",0.556115916085509,6.70336084172606,29.6119438227332,8.47664271455951e-06,0.00319723551115522
"b2881_xdhD_3021316_1",0.638197160559548,8.37793390701312,24.9173504613711,2.88457903585067e-05,0.00920624493826495
"b3374_frlD_3503167_1",0.655970697611288,4.87889654821654,25.1589188544083,2.70089104259363e-05,0.00920624493826495
"b1410_ynbC_1479138_1",-0.587796962509731,7.87282935458497,24.1186507934707,3.59391067466914e-05,0.0106508109922873
"b1916_sdiA_1996832_-1",0.611074660307427,4.0247529503172,22.8684433574753,5.10782790556556e-05,0.0141282519867944
"b2152_yeiB_2242967_-1",0.820108552909567,3.47568769369849,22.5395914115344,5.61134771895232e-05,0.0145509260537082
"b3644_yicC_3816676_1",0.477782383058376,5.71222487002671,21.8311129701843,6.88683326442419e-05,0.0168079242435859
"b1184_umuC_1231186_1",0.533224665568409,5.30715663332085,20.5841771328538,9.95333085522456e-05,0.0214696012646117
"b2498_upp_2620872_-1",-0.550947565594595,5.28613108745496,20.3198159526516,0.000107759237783924,0.0214696012646117
"b4487_yjdP_4313868_1",0.585416690260246,8.37247846424251,20.291963951493,0.000108667540746408,0.0214696012646117
"b4566_yjhX_4534053_-1",-0.751789924947998,4.94619386627597,20.4867974849242,0.000102482034304324,0.0214696012646117
"b0155_clcA_175107_1",-0.600944120836449,5.53356915146726,19.8604115110299,0.000123845030501687,0.0233560468887044
"b3712_yieE_3893881_1",0.451546757416111,6.76743657171335,19.4680494720131,0.000139633968469579,0.0251887537034906
"b2045_wcaK_2118404_-1",-0.818402099838905,7.10994825059671,18.3200676257256,0.000199633946610875,0.0336739107493382
"b2547_yphE_2678361_-1",0.614604937098184,3.29442703054374,18.1898959745445,0.000208020473463414,0.0336739107493382
"b3186_rplU_3333451_-1",0.422093824008591,6.17999525665899,18.1447057870369,0.000211019927568762,0.0336739107493382
"b0851_nfsA_891184_1",-0.480048597741082,7.26296094395433,17.753930964665,0.000238985431247325,0.0367240946016723
"b0722_sdhD_755560_1",0.519605071972954,5.15507328329251,17.4582035850781,0.000262794600906496,0.0389405285414662
"b3330_gspI_3461974_1",0.582214252003296,5.57276756976706,17.2377372307846,0.00028220214310798,0.0403743686812073
"b2069_yegD_2147674_1",0.630946491800532,3.4474724653387,16.9456597133242,0.000310324654476248,0.0429178997140651
