31608	13
78072	14
121850	15
185282	16
208511	17
220496	18
215335	19
226459	20
229669	21
235430	22
298150	23
350242	24
369862	25
393830	26
441292	27
547513	28
715262	29
1036591	30
891636	31
848229	32
661823	33
574715	34
559333	35
429088	36
409831	37
306191	38
308739	39
168755	40
110646	41
79024	42
58269	43
43678	44
25077	45
18952	46
15476	47
12350	48
10263	49
9696	50
8367	51
7817	52
6561	53
5643	54
5995	55
5821	56
4646	57
4627	58
4174	59
4030	60
3657	61
3851	62
3691	63
3500	64
3296	65
1	69
884	76
