"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"Control_R1",1,0.988827389144361,0.990671522830028,0.983037870976114,0.983967498688279
"Control_R2",0.988827389144361,1,0.987554793012449,0.993864852088506,0.992808550954806
"Control_R3",0.990671522830028,0.987554793012449,1,0.986928680618943,0.98574504808459
"Control_R4",0.983037870976114,0.993864852088506,0.986928680618943,1,0.995424503938122
"Control_R5",0.983967498688279,0.992808550954806,0.98574504808459,0.995424503938122,1
