"","RNA_input"
"b0190_yaeQ_214291_1",3441
"b0191_arfB_214833_1",1353
"b0192_nlpE_215269_1",559
"b0193_yaeF_217003_-1",1967
"b0194_proS_218775_-1",863
"b0195_tsaA_219594_-1",737
"b0196_rcsF_219995_-1",1443
"b0197_metQ_220928_-1",1583
"b0198_metI_221621_-1",2297
"b0199_metN_222645_-1",2835
"b0200_gmhB_222833_1",7980
"b0207_dkgB_229167_1",0
"b0208_yafC_230881_-1",1610
"b0209_yafD_231122_1",937
"b0210_yafE_231926_1",779
"b0211_mltD_233955_-1",470
"b0212_gloB_234782_-1",746
"b0213_yafS_234816_1",783
"b0214_rnhA_236002_-1",591
"b0215_dnaQ_236067_1",2550
"b0217_yafT_237335_1",584
"b4586_ykfM_238736_-1",9040
"b0218_yafU_239102_-1",733
"b4503_yafF_239106_1",893
"b0219_yafV_240189_-1",3263
"b0220_ivy_240343_1",1180
"b0221_fadE_243303_-1",8767
"b0222_gmhA_243543_1",741
"b0223_yafJ_244327_1",1468
"b0224_yafK_245805_-1",1794
"b0225_yafQ_246239_-1",6328
"b0226_dinJ_246502_-1",6781
"b0227_yafL_246712_1",1811
"b0228_rayT_247637_1",1838
"b0229_lfhA_250070_-1",3379
"b0230_lafU_250072_1",196
"b0231_dinB_250898_1",1160
"b0232_yafN_252005_1",987
"b0233_yafO_252301_1",1051
"b0234_yafP_252709_1",1088
"b0235_ykfJ_253479_1",5741
"b0236_prfH_253702_1",1182
"b0237_pepD_255716_-1",594
"b0238_gpt_255977_1",1486
"b0239_frsA_256527_1",532
"b0240_crl_257829_1;b0240_crl_258676_1",4500
"b0241_phoE_260100_-1",314
"b0242_proB_260388_1",940
"b0243_proA_261503_1",1742
"b4626_ykfN_263212_-1",684
"b0245_ykfI_263669_-1",787
"b0246_yafW_264007_-1",1437
"b4504_ykfH_264247_-1",724
"b0247_ykfG_264732_-1",452
"b0248_yafX_265206_-1",797
"b0249_ykfF_265543_-1",290
"b0250_ykfB_266087_-1",2242
"b0251_yafY_266553_-1",1061
"b4627_ykfL_266774_-1",739
"b4628_ykfK_266967_-1",1150
"b0252_yafZ_268005_-1",1291
"b0253_ykfA_268960_-1",849
"b0254_perR_270182_-1",1963
"b4587_insN_270278_1;b4587_insN_271764_1",1043
"b0256_insI1_270603_1",5
"b0258_ykfC_272847_1",2474
"b0259_insH1_275117_-1",32
"b0260_mmuP_275325_1",2175
"b0261_mmuM_276715_1",1877
"b0262_afuC_278802_-1",1046
"b0263_afuB_279161_-1",620
"b0264_insB1_279681_-1",0
"b0265_insA_279875_-1",0
"b4708_insI1_279931_1",2656
"b4505_insX_280362_-1",1312
"b0266_yagB_280735_-1",2328
"b0267_yagA_281983_-1",3257
"b0268_yagE_282278_1",1510
"b0269_yagF_283201_1",268
"b0270_yagG_285395_1",970
"b0271_yagH_286789_1",609
"b0272_yagI_289162_-1",652
"b0273_argF_290305_-1",3080
"b4688_ykgS_290429_1",3156
"b0274_insB1_291152_-1",0
"b0275_insA_291346_-1",0
"b0276_yagJ_291404_1",3036
"b0277_yagK_292948_-1",8538
"b0278_yagL_293918_-1",2771
"b0279_yagM_294799_-1",4481
"b0280_yagN_295579_-1",1081
"b0281_intF_297096_-1",2620
"b4694_yagP_297719_-1",3287
"b4695_ykgT_297791_-1",871
"b0283_paoD_298726_-1",1152
"b0284_paoC_300934_-1",645
"b0285_paoB_301887_-1",388
"b0286_paoA_302573_-1",191
"b0287_yagU_302991_1",1341
"b0288_ykgJ_304182_-1",961
"b0289_ecpE_305205_-1",3055
"b0290_ecpD_306817_-1",82
"b0291_ecpC_309332_-1",2217
"b0292_ecpB_310026_-1",572
"b0293_ecpA_310671_-1",954
"b0294_ecpR_311336_-1",5262
"b0295_ykgL_312112_1",2416
"b4506_ykgO_312514_-1",1159
"b0296_ykgM_312777_-1",1777
"b4671_ykgR_313242_-1",2090
"b4630_ykgP_313805_-1",2471
"b0297_eaeH_314357_1",980
"b0298_insE1_315291_1",2
"b0299_insF1_315587_1",3
"b0300_ykgA_317169_-1",816
"b4631_ykgQ_317439_1",2522
"b0301_rclC_318319_-1",8998
"b0303_rclB_318567_-1",3151
"b0304_rclA_320001_-1",887
"b0305_rclR_320227_1",877
"b0306_ykgE_321608_1",6396
"b0307_ykgF_322338_1",3239
"b0308_ykgG_323758_1",510
"b0310_ykgH_325364_-1",2005
"b0311_betA_327247_-1",587
"b0312_betB_328733_-1",1028
"b0313_betI_329334_-1",895
"b0314_betT_329463_1",10636
"b0315_yahA_332371_1",1996
"b0316_yahB_334433_-1",8647
"b0317_yahC_335022_-1",461
"b0318_yahD_335280_1",642
"b0319_yahE_335925_1",1335
