"","RNA_input"
"b0819_ldtB_855744_-1",1439
"b0820_ybiT_855963_1",569
"b0821_ybiU_859061_-1",721
"b0822_ybiV_860028_-1",610
"b0823_ybiW_862606_-1",622
"b0824_ybiY_863511_-1",421
"b0825_fsaA_863642_1",586
"b0826_moeB_865129_-1",1083
"b0827_moeA_866364_-1",1283
"b0828_iaaA_866568_1",1149
"b0829_gsiA_867520_1",1597
"b0830_gsiB_869411_1",726
"b0831_gsiC_870967_1",155
"b0832_gsiD_871890_1",1197
"b0833_yliE_872979_1",2387
"b0834_yliF_875335_1",1495
"b0835_rimO_878035_-1",668
"b0836_bssR_878248_1",1249
"b0837_yliI_878742_1",1504
"b0838_gstB_880480_-1",363
"b0839_dacC_880727_1",101
"b0840_deoR_882734_-1",189
"b0841_ybjG_883388_-1",955
"b0842_mdfA_883673_1",437
"b0843_ybjH_885230_-1",1806
"b0844_ybjI_886131_-1",1100
"b0845_ybjJ_887339_-1",2459
"b0846_rcdA_887423_1",595
"b0847_ybjL_889819_-1",6984
"b0848_ybjM_890089_1",1343
"b0849_grxA_890753_-1",1271
"b0850_ybjC_890913_1",1522
"b0851_nfsA_891184_1",2117
"b0852_rimK_891967_1",419
"b0853_ybjN_892957_1",1066
"b0854_potF_893784_1",612
"b0855_potG_894991_1",380
"b0856_potH_896134_1",1756
"b0857_potI_897084_1",1458
"b0858_ybjO_897989_1",5976
"b0859_rlmC_898518_1",375
"b0860_artJ_900575_-1",3154
"b0861_artM_901534_-1",375
"b0862_artQ_902250_-1",1352
"b0863_artI_902988_-1",840
"b0864_artP_903734_-1",4770
"b0865_ybjP_904467_-1",3742
"b0866_ybjQ_904593_1",786
"b0867_amiD_904913_1",1177
"b0868_ybjS_906753_-1",1045
"b0869_ybjT_908282_-1",414
"b0870_ltaE_909294_-1",2074
"b0871_poxB_911049_-1",816
"b0872_hcr_912150_-1",1712
"b0873_hcp_913814_-1",3202
"b0874_ybjE_914857_-1",1265
"b0875_aqpZ_916047_-1",992
"b0876_ybjD_916473_1",5421
"b0877_ybjX_919120_-1",2359
"b0878_macA_919235_1",418
"b0879_macB_920347_1",3153
"b0880_cspD_922590_-1",2170
"b0881_clpS_922913_1",6215
"b0882_clpA_923264_1",993
"b0884_infA_926443_-1",2064
"b0885_aat_927432_-1",3573
"b0886_cydC_929195_-1",1328
"b0887_cydD_930962_-1",694
"b0888_trxB_932050_-1",125
"b0889_lrp_932595_1",1008
"b0890_ftsK_933224_1",1241
"b0891_lolA_937372_1",1246
"b0892_rarA_937994_1",2629
"b0893_serS_939428_1",720
"b0894_dmsA_940959_1",1299
"b0895_dmsB_943414_1",893
"b0896_dmsC_944033_1",2921
"b0897_ycaC_945557_-1",1863
"b0898_ycaD_945871_1",1176
"b0899_ycaM_947229_1",890
"b0900_ycaN_949568_-1",1551
"b0901_ycaK_949668_1",223
"b0902_pflA_951080_-1",456
"b0903_pflB_953554_-1",2652
"b0904_focA_954466_-1",1319
"b0905_ycaO_956632_-1",388
"b0906_ycaP_956762_1",4508
"b0907_serC_957653_1",994
"b0908_aroA_958812_1",585
"b0909_ycaL_960264_1",417
"b0910_cmk_961201_1",957
"b0911_rpsA_961995_1",354
"b0912_ihfB_963828_1",1106
"b0913_ycaI_964320_1",3040
"b0914_msbA_966621_1",636
"b0915_lpxK_968366_1",74
"b0916_ycaQ_969389_1",263
"b0917_ycaR_970673_1",1569
"b0918_kdsB_970852_1",848
"b0919_ycbJ_971752_1",4177
"b0920_elyC_973401_-1",1020
"b0921_smtA_973537_1",2719
"b0922_mukF_974319_1",197
"b0923_mukE_975622_1",2233
"b0924_mukB_976326_1",636
"b0925_ldtD_981047_1",292
"b0926_ycbK_983075_1",464
"b0927_ycbL_983650_1",1040
"b0928_aspC_985709_-1",891
"b0929_ompF_986982_-1",75
"b0930_asnS_988985_-1",214
"b0931_pncB_990356_-1",1299
"b0932_pepN_990622_1",1057
"b0933_ssuB_994044_-1",346
"b0934_ssuC_994832_-1",1533
"b0935_ssuD_995988_-1",968
"b0936_ssuA_996944_-1",407
"b0937_ssuE_997512_-1",1336
"b0938_elfA_997868_1",1842
"b0939_elfD_998490_1",7982
"b0940_elfC_999216_1",1270
"b0941_elfG_1001807_1",4426
"b0942_ycbU_1002889_1",3829
"b0943_ycbV_1003439_1",1862
"b0944_ycbF_1003947_1",1580
"b0945_pyrD_1004768_1",186
"b0946_zapC_1005952_1",498
"b0947_ycbX_1007600_-1",803
"b0948_rlmL_1007844_1",1054
"b0949_uup_1009964_1",6900
"b0950_pqiA_1012001_1",797
"b0951_pqiB_1013259_1",942
"b0952_pqiC_1014896_1",596
"b0953_rmf_1015715_1",564
"b0954_fabA_1016470_-1",615
"b0955_ycbZ_1018299_-1",1623
"b0956_matP_1018485_1",7595
"b0957_ompA_1020053_-1",723
"b0958_sulA_1020919_-1",5857
"b0959_sxy_1021138_1",512
"b0960_yccS_1023883_-1",833
"b0961_yccF_1024348_-1",2041
"b0962_helD_1024471_1",4872
"b0963_mgsA_1027015_-1",3474
"b0964_yccT_1027773_-1",1155
"b0965_yccU_1027946_1",951
"b0966_hspQ_1028721_-1",906
"b0967_rlmI_1029969_-1",1006
"b0968_yccX_1030064_1",901
"b0969_tusE_1030668_-1",1045
"b0970_yccA_1031418_-1",1342
"b0972_hyaA_1032139_1",375
"b0973_hyaB_1033254_1",1242
"b0974_hyaC_1035066_1",383
"b0975_hyaD_1035770_1",343
"b0976_hyaE_1036354_1",842
"b0977_hyaF_1036749_1",668
"b0978_cbdA_1037740_1",2340
"b0979_cbdB_1039296_1",1093
"b4592_cbdX_1040445_1",4982
"b0980_appA_1040617_1",1688
"b0981_etk_1044210_-1",2555
"b0982_etp_1044676_-1",588
"b0983_gfcE_1045803_-1",8948
"b0984_gfcD_1047945_-1",744
"b0985_gfcC_1048691_-1",1575
"b0986_gfcB_1049332_-1",329
"b0987_gfcA_1049744_-1",1562
"b4516_insA_1049833_1",2290
"b0988_insB1_1050027_1",13
"b0989_cspH_1051175_-1",1270
"b0990_cspG_1051461_1",1539
"b0991_ymcE_1051847_1",4677
"b4517_gnsA_1052067_1",758
"b0992_yccM_1053362_-1",198
"b0993_torS_1056178_-1",494
"b0994_torT_1056261_1",1311
"b0995_torR_1057954_-1",4894
"b0996_torC_1058084_1",2006
"b0997_torA_1059256_1",140
"b0998_torD_1061799_1",1067
"b0999_cbpM_1062855_-1",812
"b1000_cbpA_1063775_-1",1178
"b1001_yccE_1064036_1",4323
"b1002_agp_1065585_1",678
"b1003_yccJ_1067091_-1",618
"b1004_wrbA_1067708_-1",1930
"b4518_ymdF_1068081_1",846
"b1006_rutG_1069839_-1",664
"b1007_rutF_1070354_-1",175
"b1008_rutE_1070955_-1",1626
"b1009_rutD_1071765_-1",575
"b1010_rutC_1072159_-1",871
"b1011_rutB_1072863_-1",362
"b1012_rutA_1074011_-1",1529
"b1013_rutR_1074242_1",461
"b1014_putA_1078882_-1",322
"b1015_putP_1079305_1",979
"b4490_efeU_1081356_1;b4490_efeU_1081460_1",2539
"b1018_efeO_1082243_1",1616
"b1019_efeB_1083376_1",978
"b1020_phoH_1084992_1",5255
"b1021_pgaD_1086519_-1",910
"b1022_pgaC_1087846_-1",2863
"b1023_pgaB_1089857_-1",1444
"b1024_pgaA_1092289_-1",2416
"b1025_ycdT_1092876_1",11359
"b1026_insF1_1095141_-1",1
"b1027_insE1_1095437_-1",0
"b1028_ymdE_1095505_1",699
"b1029_ycdU_1095843_1",11403
"b1033_ghrA_1097886_1",907
"b1034_ycdX_1098879_1",307
"b1035_ycdY_1099640_1",1875
"b1036_ycdZ_1100296_1",1502
"b1037_csgG_1101684_-1",1096
"b1038_csgF_1102127_-1",2117
"b1039_csgE_1102541_-1",482
"b1040_csgD_1103196_-1",582
"b1041_csgB_1103951_1",2487
"b1042_csgA_1104447_1",238
"b1043_csgC_1104961_1",3397
"b1044_ymdA_1105414_1",528
"b1045_ymdB_1105820_1",1298
"b1046_clsC_1106355_1",3342
"b1047_opgC_1108941_-1",5319
"b1048_opgG_1109335_1",462
"b1049_opgH_1110863_1",1132
"b1050_yceK_1113579_1",559
"b1051_msyB_1114181_-1",855
"b1053_mdtG_1115490_-1",404
"b1054_lpxL_1116582_-1",1403
"b1055_yceA_1116807_1",614
"b1056_yceI_1118476_-1",2489
"b1057_yceJ_1119046_-1",671
"b1058_yceO_1119447_-1",1257
"b1059_solA_1120586_-1",539
"b1060_bssS_1120955_-1",364
"b1061_dinI_1121487_-1",4477
"b1062_pyrC_1122607_-1",610
"b1063_yceB_1123273_-1",1220
"b1064_grxB_1124054_-1",2116
"b1065_mdtH_1125326_-1",1089
"b1066_rimJ_1125562_1",2124
"b1067_yceH_1126157_1",945
"b1068_yceM_1126806_1",551
"b1069_murJ_1127839_1",1104
"b1070_flgN_1129830_-1",660
"b1071_flgM_1130128_-1",776
"b1072_flgA_1130863_-1",818
"b1073_flgB_1131018_1",340
"b1074_flgC_1131438_1",4499
"b1075_flgD_1131854_1",608
"b1076_flgE_1132574_1",1580
"b1077_flgF_1133802_1",2846
"b1078_flgG_1134729_1",877
"b1079_flgH_1135564_1",580
"b1080_flgI_1136274_1",612
"b1081_flgJ_1137371_1",578
"b1082_flgK_1138378_1",422
"b1083_flgL_1140033_1",1141
"b1084_rne_1144367_-1",1456
"b1085_yceQ_1144502_1",1520
"b1086_rluC_1144940_1",3075
"b1087_yceF_1146595_-1",2436
"b1088_yceD_1146794_1",4852
"b1089_rpmF_1147367_1",528
"b1090_plsX_1147621_1",790
"b1091_fabH_1148759_1",387
"b1092_fabD_1149728_1",462
"b1093_fabG_1150670_1",1077
"b1094_acpP_1151615_1",5512
"b1095_fabF_1151939_1",2364
"b1096_pabC_1153300_1",2707
"b1097_yceG_1154112_1",2057
"b1098_tmk_1155124_1",3467
"b1099_holB_1155762_1",745
"b1100_ycfH_1156777_1",1407
"b1101_ptsG_1157869_1",3043
"b1102_fhuE_1161551_-1",479
"b1103_hinT_1161885_1",4597
"b1104_ycfL_1162247_1",3068
"b1105_lpoB_1162638_1",292
"b1106_thiK_1163260_1",609
"b1107_nagZ_1164095_1",6230
"b1108_ycfP_1165143_1",2034
"b1109_ndh_1166085_1",270
"b1110_ycfJ_1167599_1",539
"b1111_ycfQ_1168832_-1",370
"b1112_bhsA_1169073_1",1629
"b1113_ldtC_1170374_-1",269
"b1114_mfd_1173964_-1",796
"b1115_ycfT_1175165_-1",4560
"b1116_lolC_1175427_1",2062
"b1117_lolD_1176619_1",1136
"b1118_lolE_1177320_1",88
"b1119_nagK_1178593_1",1060
"b1120_cobB_1179631_1",202
"b1121_ycfZ_1181267_-1",1923
"b1122_ymfA_1181725_-1",406
"b1123_potD_1182829_-1",748
"b1124_potC_1183620_-1",2647
"b1125_potB_1184444_-1",3878
"b1126_potA_1185594_-1",433
"b1127_pepT_1185844_1",4373
"b1128_roxA_1188240_-1",905
"b1129_phoQ_1189776_-1",637
"b1130_phoP_1190447_-1",789
"b1131_purB_1191986_-1",379
"b1132_hflD_1192631_-1",1678
"b1133_mnmA_1193773_-1",399
"b1134_nudJ_1194288_-1",646
"b1135_rluE_1194951_-1",991
"b1136_icd_1195123_1",1680
"b1137_ymfD_1197532_-1",4495
"b1138_ymfE_1198237_-1",2120
"b1139_lit_1198695_1",1201
"b1140_intE_1200806_-1",1813
"b1141_xisE_1201032_-1",2134
"b1143_ymfI_1201497_1",394
"b1144_ymfJ_1202084_-1",507
"b1145_cohE_1202933_-1",621
"b1146_croE_1203024_1",3141
"b1147_ymfL_1203268_1",442
"b1148_ymfM_1203822_1",1706
"b4692_oweE_1204170_1",2360
"b4693_aaaE_1204404_1",495
"b1150_ymfR_1205549_1",1198
"b1151_beeE_1205731_1",1615
"b1152_jayE_1206143_1",261
"b1153_ymfQ_1206913_1",1549
"b1154_stfP_1207501_1",2942
"b1155_tfaP_1208132_1",7920
"b1156_tfaE_1209119_-1",1666
"b1157_stfE_1209619_-1",608
"b1158_pinE_1209685_1",401
"b1159_mcrA_1210346_1",516
"b4519_icdC_1211413_1",967
"b1160_iraM_1212003_-1",2456
"b1161_ycgX_1213107_-1",1591
"b1162_bluR_1214059_-1",1911
"b1163_bluF_1215475_-1",91
"b1164_ycgZ_1215789_1",1790
"b1165_ymgA_1216068_1",1624
"b1166_ariR_1216369_1",899
"b1167_ymgC_1216748_1",903
"b1168_ycgG_1217328_1",602
"b4520_ymgF_1218983_1",1410
"b4491_ycgH_1219601_1;b4491_ycgH_1222174_1",653
"b1171_ymgD_1222634_-1",1687
"b1172_ymgG_1222988_-1",282
"b4593_ymgI_1223163_-1",11887
"b4594_ymgJ_1223264_1",979
"b4521_ycgI_1223564_1;b4521_ycgI_1223671_1",1849
"b1174_minE_1224545_-1",3622
"b1175_minD_1225361_-1",4050
"b1176_minC_1226080_-1",7753
"b1177_ycgJ_1226600_1",8123
"b1178_pliG_1227472_-1",4654
"b1179_ycgL_1227714_1",1799
"b1180_ycgM_1228079_1",2358
"b1181_ycgN_1228815_1",5723
"b1182_hlyE_1230394_-1",4579
"b1183_umuD_1230767_1",9275
"b1184_umuC_1231186_1",941
"b1185_dsbB_1233030_-1",2277
"b1186_nhaB_1234717_-1",4488
"b1187_fadR_1234938_1",925
"b1188_ycgB_1237241_-1",3531
"b1189_dadA_1237571_1",1949
"b1190_dadX_1238879_1",968
"b1191_cvrA_1242071_-1",776
"b1192_ldcA_1243080_-1",201
"b1193_emtA_1243180_1",314
"b1194_ycgR_1244527_-1",1505
"b1195_ymgE_1244728_1",497
"b1196_ycgY_1245160_1",42
"b1197_treA_1247376_-1",520
"b1198_dhaM_1249114_-1",172
"b1199_dhaL_1249757_-1",625
"b1200_dhaK_1250838_-1",2068
"b1201_dhaR_1251066_1",406
"b1202_ycgV_1255952_-1",4421
"b1203_ychF_1257812_-1",532
"b1204_pth_1258513_-1",6454
"b1205_ychH_1258791_1",461
"b1206_dauA_1260803_-1",8205
"b1207_prs_1261875_-1",4474
"b1208_ispE_1262877_-1",3758
"b1209_lolB_1263500_-1",1654
"b1210_hemA_1263714_1",3021
"b1211_prfA_1265012_1",1514
"b1212_prmC_1266094_1",2902
"b1213_ychQ_1266924_1",6543
"b1214_ychA_1267320_1",7086
"b1215_kdsA_1268165_1",1314
"b4419_ldrA_1269275_-1",3
"b4421_ldrB_1269810_-1",5026
"b4423_ldrC_1270345_-1",0
"b1216_chaA_1271849_-1",12747
"b1217_chaB_1272119_1",2462
"b1218_chaC_1272507_1",2460
"b1219_ychN_1273599_-1",1043
"b1220_ychO_1273784_1",209
"b1221_narL_1275829_-1",1176
"b1222_narX_1277618_-1",1791
"b1223_narK_1277957_1",1052
"b1224_narG_1279864_1",228
"b1225_narH_1283604_1",605
"b1226_narJ_1285139_1",972
"b1227_narI_1285849_1",1357
"b1229_tpr_1287176_-1",84
"b1232_purU_1288624_-1",3120
"b1233_ychJ_1289132_-1",1871
"b1234_rssA_1289245_1",2402
"b1235_rssB_1290242_1",592
"b1236_galU_1291457_1",1451
"b1237_hns_1292922_-1",287
"b1238_tdk_1293527_1",1832
"b4573_insZ_1295322_-1;b4573_insZ_1295141_-1;b4573_insZ_1294992_-1",15612
"b1241_adhE_1298121_-1",14868
"b1242_ychE_1298598_1",5590
"b1243_oppA_1301182_1",3942
"b1244_oppB_1302899_1",7377
"b1245_oppC_1303834_1",7966
"b1246_oppD_1304754_1",1216
"b1247_oppF_1305764_1",2944
"b1248_yciU_1307150_-1",818
"b1249_clsA_1308645_-1",11454
"b4595_yciY_1308788_1",4941
"b1250_kch_1310269_-1",6454
"b1251_yciI_1310865_-1",2036
"b1252_tonB_1311089_1",790
"b1253_yciA_1312246_-1",630
"b1254_yciB_1312890_-1",836
"b1255_yciC_1313663_-1",1058
"b1256_ompW_1314020_1",125
"b1257_yciE_1315224_-1",341
"b1258_yciF_1315770_-1",201
"b1259_yciG_1316035_-1",238
"b1260_trpA_1317222_-1",1973
"b1261_trpB_1318415_-1",329
"b1262_trpC_1319788_-1",3857
"b1263_trpD_1321384_-1",349
"b1264_trpE_1322946_-1",1277
"b1265_trpL_1323082_-1",242
"b1266_yciV_1323220_1",4263
"b1267_yciO_1324098_1",245
"b1268_yciQ_1324746_1",12008
"b1269_rluB_1326852_1",5755
"b1270_btuR_1328357_-1",1076
"b1271_yciK_1329112_-1",1296
"b1272_sohB_1329332_1",16411
"b1273_yciN_1330668_-1",22447
"b1274_topA_1331048_1",3235
"b1275_cysB_1333855_1",1560
"b4522_ymiA_1335124_1",10451
"b4523_yciX_1335291_1",5830
"b1276_acnA_1335831_1",2676
"b1277_ribA_1339160_-1",10595
"b1278_pgpB_1339330_1",3932
"b1279_yciS_1340243_1",11916
"b1280_yciM_1340558_1",4553
"b1281_pyrF_1341921_1",1384
"b1282_yciH_1342658_1",2001
"b1283_osmB_1343328_-1",343
"b1284_yciT_1344346_-1",5014
"b4596_yciZ_1344609_-1",311
"b1285_gmr_1346742_-1",1031
"b4672_ymiB_1346796_1",315
"b1286_rnb_1348912_-1",102
"b1287_yciW_1350107_-1",1805
"b1288_fabI_1351039_-1",4190
"b1289_ycjD_1351760_-1",1143
"b1290_sapF_1352634_-1",2115
"b1291_sapD_1353628_-1",426
"b1292_sapC_1354518_-1",1766
"b1293_sapB_1355470_-1",274
"b1294_sapA_1357110_-1",1854
"b1295_ymjA_1357668_-1",245
"b1296_puuP_1359187_-1",2386
"b1297_puuA_1360908_-1",5578
"b1298_puuD_1361120_1",15438
"b1299_puuR_1361911_1",914
"b1300_puuC_1362743_1",8498
"b1301_puuB_1364232_1",1626
"b1302_puuE_1365550_1",1601
"b1303_pspF_1367912_-1",9279
"b1304_pspA_1368079_1",4546
"b1305_pspB_1368801_1",6363
"b1306_pspC_1369025_1",1860
"b1307_pspD_1369393_1",2346
"b1308_pspE_1369689_1",1181
"b1309_ycjM_1370216_1",3562
"b1310_ycjN_1371909_1",2335
"b1311_ycjO_1373222_1",5944
"b1312_ycjP_1374090_1",1716
"b1313_ycjQ_1374963_1",551
"b1314_ycjR_1376034_1",860
"b1315_ycjS_1376832_1",370
"b1316_ycjT_1377884_1",562
"b1317_ycjU_1380148_1",548
"b4524_ycjV_1380821_1;b4524_ycjV_1381777_1",1040
"b1319_ompG_1381947_1",1489
"b1320_ycjW_1383961_-1",305
"b1321_ycjX_1384117_1",1862
"b1322_ycjF_1385511_1",823
"b1323_tyrR_1386720_1",8875
"b1324_tpx_1388811_-1",291
"b1325_ycjG_1388930_1",713
"b1326_mpaA_1390598_-1",164
"b4525_ymjC_1390862_-1",2264
"b4673_ymjD_1390933_-1",9852
"b1327_ycjY_1391853_-1",5757
"b1328_pgrR_1391991_1",4805
"b1329_mppA_1393227_1",6623
"b1330_ynaI_1395922_-1",13115
"b1331_insH1_1396076_1",0
"b1332_ynaJ_1397365_1",2635
"b1333_uspE_1398622_-1",2511
"b1334_fnr_1399526_-1",7778
"b1335_ogt_1400236_-1",2055
"b1336_abgT_1401773_-1",1873
"b1337_abgB_1403255_-1",1421
"b1338_abgA_1404565_-1",2043
"b1339_abgR_1404741_1",777
"b1340_smrA_1405979_1",1541
"b1341_ydaM_1407795_-1",12549
"b1342_ydaN_1408050_1",1164
"b1343_dbpA_1409511_1",3112
"b1344_ttcA_1411948_-1",198
"b1345_intR_1413235_-1",2214
"b1346_ydaQ_1413452_-1",649
"b1347_ydaC_1413740_-1",475
"b1348_ralR_1413927_-1",899
"b1349_recT_1414793_-1",1131
"b1350_recE_1417386_-1",657
"b1351_racC_1417763_-1",2248
"b4526_ydaE_1418008_-1",480
"b1352_kilR_1418229_-1",8776
"b1353_sieB_1418671_1",1571
"b4527_ydaF_1419311_-1",3307
"b1355_ydaG_1419456_-1",450
"b1356_racR_1420241_-1",3256
"b1357_ydaS_1420365_1",14411
"b1358_ydaT_1420684_1",4733
"b1359_ydaU_1421119_1",10885
"b1360_ydaV_1421983_1",1471
"b1361_ydaW_1422701_1",8226
"b1362_rzpR_1423201_1",1044
"b4528_rzoR_1423400_1",20
"b1363_trkG_1423782_1",16755
"b1365_ynaK_1425377_1",638
"b1366_ydaY_1425630_1",5581
"b1368_tmpR_1426454_1",1012
"b4570_lomR_1427389_1;b4570_lomR_1428796_1",1962
"b1370_insH1_1428726_-1",463
"b1372_stfR_1429049_1",283
"b1373_tfaR_1432411_1",26
"b1374_pinR_1433674_-1",1981
"b1375_ynaE_1434224_-1",107
"b4638_ttcC_1435008_-1",533
"b1376_uspF_1435619_-1",970
"b1377_ompN_1436893_-1",256
"b1378_pfo_1440784_-1",751
"b4529_ydbJ_1441058_1",406
"b1379_hslJ_1441743_-1",4032
"b1380_ldhA_1442843_-1",4796
"b1381_ydbH_1443051_1",617
"b1382_ynbE_1445687_1",328
"b1383_ydbL_1445880_1",8513
"b1384_feaR_1447283_-1",1677
"b1385_feaB_1447519_1",5675
"b1386_tynA_1451349_-1",284
"b1387_paaZ_1453642_-1",3246
"b1388_paaA_1453927_1",3407
"b1389_paaB_1454868_1",4144
"b1390_paaC_1455164_1",3166
"b1391_paaD_1455925_1",1809
"b1392_paaE_1456430_1",1967
"b1393_paaF_1457497_1",798
"b1394_paaG_1458264_1",2030
"b1395_paaH_1459054_1",2233
"b1396_paaI_1460471_1",9898
"b1397_paaJ_1460893_1",1595
"b1398_paaK_1462125_1",2902
"b1399_paaX_1463539_1",6717
"b1400_paaY_1464471_1",1400
"b4674_ynbG_1465230_-1",11427
"b4492_ydbA_1465392_1;b4492_ydbA_1469241_1;b4492_ydbA_1470517_1",2377
"b1402_insD1_1468826_-1",0
"b1403_insC1_1469149_-1",0
"b1404_insI1_1469358_1",0
"b1406_ydbC_1474221_1",320
"b1407_ydbD_1475144_1",107
"b1408_ynbA_1477621_1",1575
"b1409_ynbB_1478226_1",10425
"b1410_ynbC_1479138_1",973
"b1411_ynbD_1480909_1",2874
"b1412_azoR_1482860_-1",212
"b1413_hrpA_1483061_1",9281
"b1414_ydcF_1487235_1",779
"b1415_aldA_1488232_1",2911
"b4493_gapC_1490713_-1;b4493_gapC_1489964_-1",7029
"b1418_cybB_1490902_1",28066
"b1419_ydcA_1491677_1",16397
"b4428_hokB_1492071_-1",1144
"b1420_mokB_1492129_-1",10647
"b1421_trg_1492470_1",11575
"b1422_ydcI_1495071_-1",14660
"b1423_ydcJ_1495288_1",4219
"b1424_opgD_1496856_1",2728
"b1426_ydcH_1498651_1",5144
"b1427_rimL_1498938_1",7614
"b1428_ydcK_1500449_-1",2181
"b1429_tehA_1500573_1",3301
"b1430_tehB_1501562_1",1090
"b1431_ydcL_1502457_1",14137
"b4578_insP_1503649_-1",6761
"b1432_insQ_1503717_1",1763
"b1433_ydcO_1506080_-1",203
"b1434_ydcN_1506172_1",2678
"b1435_ydcP_1506781_1",158
"b1436_yncJ_1509064_-1",337
"b4532_hicA_1509286_1",9
"b1438_hicB_1509508_1",1228
"b1439_ydcR_1510003_1",1174
"b1440_ydcS_1511654_1",4592
"b1441_ydcT_1512817_1",74
"b1442_ydcU_1513831_1",6333
"b1443_ydcV_1514762_1",879
"b1444_patD_1515578_1",247
"b4598_yncL_1517194_-1",780
"b1445_ydcX_1517389_1",5308
"b1446_ydcY_1517648_1",498
"b1447_ydcZ_1518331_-1",3331
"b1448_mnaT_1518846_-1",3132
"b1449_curA_1519027_1",805
"b1450_mcbR_1520262_1",2307
"b1451_yncD_1523065_-1",1200
"b1452_yncE_1523307_1",10352
"b1453_ansP_1525980_-1",2536
"b1454_yncG_1526247_1",7439
"b1455_yncH_1526940_1",10078
"b1456_rhsE_1527902_1",678
"b1457_ydcD_1529922_1",13285
"b1459_yncI_1530586_1;b1459_yncI_1531325_1",9252
"b1460_ydcC_1531816_1",5580
"b1461_pptA_1533052_1",6077
"b1462_yddH_1533851_-1",2276
"b1463_nhoA_1534024_1",12145
"b1464_yddE_1535858_-1",1249
"b1465_narV_1536617_-1",2007
"b1466_narW_1537309_-1",550
"b1467_narY_1538853_-1",1244
"b1468_narZ_1542590_-1",525
"b1469_narU_1544060_-1",1785
"b1471_yddK_1545714_-1;b1471_yddK_1544764_-1",12995
"b1472_yddL_1546028_-1",1110
"b1473_yddG_1547169_-1",2784
"b1474_fdnG_1547401_1",386
"b1475_fdnH_1550461_1",9158
"b1476_fdnI_1551338_1",640
"b1477_yddM_1552682_-1",3291
"b1478_adhP_1553838_-1",1894
"b1479_maeA_1555669_-1",1071
"b1480_sra_1555963_-1",9171
"b1481_bdm_1556280_-1",4857
"b1482_osmC_1556625_1",969
"b1483_ddpF_1558038_-1",1475
"b1484_ddpD_1559017_-1",2015
"b1485_ddpC_1559910_-1",2690
"b1486_ddpB_1560929_-1",5791
"b1487_ddpA_1562481_-1",2737
"b1488_ddpX_1563076_-1",6902
"b1489_dosP_1565733_-1",1548
"b1490_dosC_1567140_-1",7069
"b1491_yddW_1568823_-1",814
"b1492_gadC_1570489_-1",13286
"b1493_gadB_1572045_-1",12615
"b1494_pqqL_1575202_-1",17552
"b1495_yddB_1577619_-1",3646
"b1496_yddA_1579342_-1",2016
"b1497_ydeM_1580790_-1",208
"b1498_ydeN_1582524_-1",3578
"b1499_ydeO_1583687_-1",10217
"b1500_safA_1583959_-1",1946
"b1501_ydeP_1586486_-1",624
"b1502_ydeQ_1587734_-1",2730
"b1503_ydeR_1588296_-1",3803
"b1504_ydeS_1588839_-1",1205
"b1505_ydeT_1590079_-1",2934
"b1506_yneL_1590536_-1;b1506_yneL_1590426_-1",4627
"b1507_hipA_1592176_-1",492
"b1508_hipB_1592442_-1",8486
"b4696_yneO_1597987_-1;b4696_yneO_1594125_-1",1810
"b1511_lsrK_1600209_-1",4753
"b1512_lsrR_1601241_-1",3879
"b1513_lsrA_1601490_1",4512
"b1514_lsrC_1603019_1",491
"b1515_lsrD_1604047_1",718
"b1516_lsrB_1605051_1",5132
"b1517_lsrF_1606100_1",4192
"b1518_lsrG_1606999_1",10042
"b1519_tam_1607346_1",2351
"b1520_yneE_1609022_-1",16414
"b1521_uxaB_1610680_-1",2916
"b1522_yneF_1611854_-1",1486
"b1523_yneG_1612325_-1",7002
"b1524_glsB_1613251_-1",852
"b1525_sad_1614703_-1",1724
"b1526_yneJ_1614804_1",4046
"b1527_yneK_1615763_1",1916
"b1528_ydeA_1617028_1",1172
"b1529_marC_1618908_-1",2295
"b1530_marR_1619120_1",1890
"b1531_marA_1619574_1",682
"b1532_marB_1619989_1",2367
"b1533_eamA_1621137_-1",1851
"b1534_ydeE_1621332_1",6300
"b4599_yneM_1622646_1",9746
"b1535_dgcZ_1623850_-1",624
"b1536_ydeI_1624497_-1",3427
"b1537_ydeJ_1624773_1",1682
"b1538_dcp_1627380_-1",3802
"b1539_ydfG_1627517_1",1123
"b1540_rspR_1628352_1",1075
"b1541_ydfZ_1629215_1",1871
"b1542_ydfI_1630913_-1",7280
"b4600_ydfJ_1652838_-1;b4600_ydfJ_1632285_-1",11936
"b1544_ydfK_1633072_1",301
"b1545_pinQ_1633622_1",10076
"b1546_tfaQ_1634885_-1",7
"b1547_stfQ_1635847_-1",865
"b1548_nohQ_1636367_-1",599
"b4533_ynfO_1636756_1",7194
"b1549_ydfO_1637047_1",1614
"b1550_gnsB_1637782_-1",1601
"b1551_ynfN_1638109_-1",4344
"b1552_cspI_1638667_-1",36462
"b1553_rzpQ_1639527_-1",4445
"b4689_rzoQ_1639334_-1",4091
"b1554_rrrQ_1640057_-1",9479
"b1555_ydfR_1640365_-1",457
"b1556_essQ_1640585_-1",2070
"b1557_cspB_1641554_-1",11647
"b1558_cspF_1641855_1",926
"b1559_quuQ_1643241_-1",2320
"b1560_ydfU_1644304_-1",759
"b1561_rem_1644902_-1",352
"b1562_hokD_1645274_-1",3847
"b1563_relE_1645633_-1",4896
