distance_to_start,norm_reads,exp
26,0.0036459621498,Oligo pool
27,0.0034415338064,Oligo pool
28,0.0026595918669999998,Oligo pool
29,0.0033857343052,Oligo pool
30,0.0028691089154,Oligo pool
31,0.00185161755,Oligo pool
32,0.0016836469436,Oligo pool
33,0.0020712412582,Oligo pool
34,0.0014426006166,Oligo pool
35,0.0016282336988,Oligo pool
36,0.0017631493336000002,Oligo pool
37,0.0013569383628000001,Oligo pool
38,0.002161416604,Oligo pool
39,0.0013589690936,Oligo pool
40,0.0014099053340000001,Oligo pool
41,0.0020988680202,Oligo pool
42,0.0016069704658,Oligo pool
43,0.001413084722,Oligo pool
44,0.0016708582352,Oligo pool
45,0.0016837736152,Oligo pool
46,0.0017843669566,Oligo pool
47,0.0012525712506,Oligo pool
48,0.001211057091,Oligo pool
49,0.001160205221,Oligo pool
50,9.552411482e-4,Oligo pool
51,0.0016971041138,Oligo pool
52,9.734719198e-4,Oligo pool
53,0.0018623160854,Oligo pool
54,0.001510649572,Oligo pool
55,9.930793552e-4,Oligo pool
56,9.513269708e-4,Oligo pool
57,0.0011734401466000001,Oligo pool
58,0.0010698425798,Oligo pool
59,0.0010193734918,Oligo pool
60,9.703811358e-4,Oligo pool
61,7.881063878e-4,Oligo pool
62,9.378386154e-4,Oligo pool
63,0.0011083973404,Oligo pool
64,9.736870326000001e-4,Oligo pool
65,8.285286376000001e-4,Oligo pool
66,0.0015330477390000001,Oligo pool
67,9.312457532e-4,Oligo pool
68,8.667008214e-4,Oligo pool
69,0.001210640589,Oligo pool
70,8.294038684000001e-4,Oligo pool
71,9.989908636e-4,Oligo pool
72,0.0011163653520000001,Oligo pool
73,8.272739948e-4,Oligo pool
74,8.905966380000001e-4,Oligo pool
75,0.0010257606548,Oligo pool
76,8.77645313e-4,Oligo pool
77,7.262068754000001e-4,Oligo pool
78,9.454733166000001e-4,Oligo pool
79,6.950922222000001e-4,Oligo pool
80,8.096237640000001e-4,Oligo pool
81,0.0010917537416,Oligo pool
82,6.688368924e-4,Oligo pool
83,7.056873206e-4,Oligo pool
84,0.0011170287358,Oligo pool
85,0.0010622955912,Oligo pool
86,0.0013365140338,Oligo pool
87,0.0011852059906,Oligo pool
88,0.0010532919208,Oligo pool
89,7.731953514e-4,Oligo pool
90,0.0010707270076,Oligo pool
91,8.01030865e-4,Oligo pool
92,8.154898762e-4,Oligo pool
93,0.001188580535,Oligo pool
94,0.0011624044564,Oligo pool
95,7.342966966e-4,Oligo pool
96,0.001048560094,Oligo pool
97,8.314349676e-4,Oligo pool
98,8.240498046e-4,Oligo pool
99,0.0010378883368,Oligo pool
100,9.588412200000001e-4,Oligo pool
101,7.10975963e-4,Oligo pool
102,0.0010819638308,Oligo pool
103,7.11365578e-4,Oligo pool
104,7.01951929e-4,Oligo pool
105,8.531776346e-4,Oligo pool
106,7.290860336e-4,Oligo pool
107,8.424443684e-4,Oligo pool
108,8.500152032e-4,Oligo pool
109,7.485813178e-4,Oligo pool
110,8.453739760000001e-4,Oligo pool
111,0.0014076124076000001,Oligo pool
112,8.04042487e-4,Oligo pool
113,6.649007318e-4,Oligo pool
114,9.562626416000001e-4,Oligo pool
115,7.78012194e-4,Oligo pool
116,7.0207614e-4,Oligo pool
117,0.001013098807,Oligo pool
118,5.898353154e-4,Oligo pool
119,6.927615308e-4,Oligo pool
120,9.130378528e-4,Oligo pool
121,6.825348378e-4,Oligo pool
122,6.401039828e-4,Oligo pool
123,9.739163352e-4,Oligo pool
124,6.74910198e-4,Oligo pool
125,6.68323815e-4,Oligo pool
126,0.0010476585296,Oligo pool
127,7.262604594e-4,Oligo pool
128,7.663362078e-4,Oligo pool
129,8.249801776e-4,Oligo pool
130,6.737744464e-4,Oligo pool
131,8.293372912000001e-4,Oligo pool
132,0.0011104732706,Oligo pool
133,9.432140368000001e-4,Oligo pool
134,7.665468212e-4,Oligo pool
135,0.0010759306532,Oligo pool
136,9.919510038e-4,Oligo pool
137,9.217665314e-4,Oligo pool
138,0.0013126700784,Oligo pool
139,0.0012623739644,Oligo pool
140,9.766686478e-4,Oligo pool
141,0.001006474385,Oligo pool
142,8.914901046e-4,Oligo pool
143,0.0010244768282,Oligo pool
144,0.0015194943188,Oligo pool
145,8.410488826e-4,Oligo pool
146,0.0011601909064,Oligo pool
147,0.0013853432506,Oligo pool
148,0.0010932637398,Oligo pool
149,0.0012459429022000001,Oligo pool
150,0.0015454678638,Oligo pool
151,0.0013489022658,Oligo pool
152,0.0014623002190000001,Oligo pool
153,0.0010694833152,Oligo pool
154,8.887978982e-4,Oligo pool
155,2.2867835860000002e-4,Oligo pool
156,2.44943883e-4,Oligo pool
157,0.0028289297056,Oligo pool
158,7.302699428e-4,Oligo pool
159,0.00087215303300000005,Oligo pool
160,4.5111418359999997e-4,Oligo pool
161,2.030347084e-4,Oligo pool
162,0.0014540688928,Oligo pool
163,8.725775988000001e-4,Oligo pool
164,2.915835934e-4,Oligo pool
165,0.0042580397566,Oligo pool
166,2.012834828e-4,Oligo pool
167,5.79685316e-5,Oligo pool
168,1.506283238e-4,Oligo pool
169,1.009273756e-4,Oligo pool
170,4.345120316e-4,Oligo pool
171,6.22501526e-5,Oligo pool
172,1.8202746840000002e-4,Oligo pool
173,1.575088008e-4,Oligo pool
174,8.837875180000001e-5,Oligo pool
175,0.0010827650332000001,Oligo pool
176,0.0011797179828,Oligo pool
177,6.61003288e-5,Oligo pool
178,2.19849804e-5,Oligo pool
179,1.15559228e-5,Oligo pool
180,1.61835552e-5,Oligo pool
181,1.01179948e-5,Oligo pool
182,1.377468e-5,Oligo pool
183,1.364550918e-4,Oligo pool
