"","genenames","transcript","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"1839","b2005_cbtA_2077569_1","b2005_cbtA_2077569_1",377.079,378.904,299.934,455.484,401.69,429.288,281.955,374.192,388.339,418.072,414.775,332.09,328.561,325.998,524.622,408.951,370.23,372.235,373.101,352.361,347.279,390.225,313.927,326.289,328.454,357.822
"1840","b2006_yeeW_2077940_1","b2006_yeeW_2077940_1",630.361,722.909,694.202,626.574,711.565,626.242,810.62,840.526,827.112,838.213,934.891,727.435,830.669,833.463,732.133,1024.801,954.694,864.27,767.727,1009.367,753.53,825.946,902.541,937.46,690.123,874.192
"1841","b2007_yeeX_2079361_-1","b2007_yeeX_2079361_-1",1277.798,1893.522,1358.168,1763.019,1398.264,1856.317,1664.316,1708.022,1995.156,1641.242,1858.26,1795.995,1556.872,1777.734,1810.605,1558.215,1703.474,1707.148,1767.446,1939.821,2095.141,1671.141,1654.659,1742.417,1509.413,1975.295
"1842","b2008_yeeA_2080591_-1","b2008_yeeA_2080591_-1",442.534,371.924,439.016,388.635,495.418,364.423,459.482,451.727,439.782,507.067,474.029,406.64,491.999,407.899,469.091,593.221,467.987,487.757,459.201,445.957,411.165,488.218,465.986,442.229,477.919,414.55
"1843","b2009_sbmC_2081262_-1","b2009_sbmC_2081262_-1",6339.188,5439.265,7268.558,5181.417,6536.069,5208.067,7029.286,6372.494,5355.048,7937.155,6985.345,6650.83,7152.512,6624.348,6146.411,6578.77,7288.124,7158.042,5823.724,6790.29,6228.091,6492.078,6500.913,6810.662,7061.765,7012.443
"1844","b2010_dacD_2082547_-1","b2010_dacD_2082547_-1",129.487,138.599,153.595,141.631,162.589,142.703,124.008,143.833,133.145,194.548,210.68,160.397,173.547,131.684,125.676,171.339,174.715,179.7,131.542,148.652,160.535,162.739,112.818,154.035,145.775,125.092
"1845","b2011_sbcB_2082756_1","b2011_sbcB_2082756_1",2932.675,2658.31,2884.444,2557.284,2827.132,2889.439,2514.096,2127.161,2285.654,1947.552,2034.375,2021.907,2301.609,2108.55,1968.43,1908.975,2204.741,2276.197,2119.022,2090.308,2237.657,2007.12,2056.878,2144.895,2092.512,2173.116
"1846","b2012_yeeD_2084453_-1","b2012_yeeD_2084453_-1",1889.661,1540.544,1910.869,1537.543,1993.147,1543.786,1767.438,1560.817,1453.499,1430.137,1608.078,1574.602,1674.817,1491.883,1427.733,1600.241,1645.236,1613.02,1435.004,1470.006,1567.67,1394.659,1433.929,1513.849,1538.937,1255.287
"1847","b2013_yeeE_2085525_-1","b2013_yeeE_2085525_-1",2467.374,2548.627,2845.743,2446.245,2764.009,2442.461,2095.08,2419.323,2065.763,2767.138,2989.016,2814.855,2761.594,2563.02,2129.178,2246.803,2464.734,2203.462,2358.19,2433.493,2168.856,2558.334,2323.39,2260.835,2256.739,2080.024
"1848","b2014_plaP_2087062_-1","b2014_plaP_2087062_-1",116.681,148.57,116.103,175.622,135.809,167.47,118.786,121.359,169.457,196.618,179.407,153.62,139.849,157.378,189.975,182.654,141.436,158.307,169.809,148.652,163.811,201.237,168.409,117.597,155.001,174.547
"1849","b2015_yeeY_2088258_-1","b2015_yeeY_2088258_-1",334.39,329.048,343.473,304.789,319.439,301.917,398.13,355.089,336.897,455.326,345.646,345.644,409.437,369.358,377.027,439.662,374.39,432.135,289.392,374.384,342.365,374.476,362.979,361.071,415.181,362.186
"1850","b2016_yeeZ_2089128_-1","b2016_yeeZ_2089128_-1",4761.15,4900.823,4959.793,4307.839,4651.952,4671.457,4335.053,4464.454,4394.79,4650.531,5214.319,5103.337,5423.778,5251.301,4910.115,5141.785,4850.429,4847.616,4824.005,5030.32,5274.711,4596.951,4784.122,5765.544,5244.196,5524.426
"1851","b2017_yefM_2089713_-1","b2017_yefM_2089713_-1",17216.124,19630.214,18829.314,16835.923,17406.565,18460.569,20120.598,19046.688,18216.643,16327.566,20477.067,18759.679,19314.311,20117.14,17476.209,19047.72,20635.124,22650.731,17839.489,20150.643,18332.078,17252.128,17599.553,19525.997,19220.106,19139.126
"1852","b2018_hisL_2089996_1","b2018_hisL_2089996_1",38.419,42.876,39.911,43.056,45.907,35.381,40.466,39.329,46.399,45.533,32.919,31.628,25.274,27.3,55.531,32.328,33.279,29.95,66.967,23.858,37.677,54.246,14.715,26.501,44.286,32
"1853","b2019_hisG_2090192_1","b2019_hisG_2090192_1",1819.937,2178.697,1664.149,2250.228,1629.714,2482.559,1811.82,1861.968,2284.645,1330.793,1558.7,1861.51,1443.982,1808.246,2037.113,1449.916,1312.445,1471.827,1511.537,1780.157,1888.74,1669.391,1715.155,1386.314,1605.366,1648.019
"1854","b2020_hisD_2091097_1","b2020_hisD_2091097_1",488.068,496.564,455.948,489.476,420.818,356.168,539.108,564.097,535.606,562.948,423.005,445.045,456.615,419.141,545.081,992.473,626.063,633.228,614.66,493.672,473.414,526.716,572.263,556.513,586.789,497.46
"1855","b2021_hisC_2092398_1","b2021_hisC_2092398_1",421.19,399.843,477.717,396.566,438.033,359.706,573.047,439.366,387.331,562.948,375.273,519.596,475.149,431.988,428.174,501.086,499.187,573.328,461.593,466.144,399.699,463.72,438.19,500.199,494.527,488.733
