"","genenames","transcript","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"1","b0001_thrL_190_1","b0001_thrL_190_1",986.096,1397.956,901.011,1506.951,822.508,1429.388,1020.78,1193.368,1539.236,738.869,834.489,1064.042,972.203,1135.373,1492.032,1050.663,917.255,954.12,1023.636,877.232,1228.582,1109.428,1041.519,884.459,1245.543,1130.195
"2","b0002_thrA_337_1","b0002_thrA_337_1",3013.782,2704.177,3065.856,3041.094,3012.675,2706.638,3212.456,3165.458,2988.7,2814.741,2597.284,3117.577,2861.005,2768.576,2884.692,2704.246,3099.116,3251.711,2958.5,2561.958,2910.92,2675.576,2535.945,2886.913,3068.648,2776.759
"3","b0003_thrB_2801_1","b0003_thrB_2801_1",1516.852,1064.919,1491.203,1069.595,1677.534,947.028,1473.735,1281.016,1115.593,1270.773,985.915,1280.917,1256.955,1173.915,982.023,1141.182,1293.725,1189.441,1143.22,1159.855,1032.009,1161.924,1190.308,1220.685,1299.055,974.557
"4","b0004_thrC_3734_1","b0004_thrC_3734_1",1038.745,985.15,1031.627,1025.406,1052.045,1041.378,926.795,982.112,923.945,1117.618,1346.374,1129.557,1133.955,1075.955,1047.783,927.817,1110.69,966.956,1109.736,1064.424,1208.924,1165.424,1048.06,1099.776,1099.768,1034.194
"5","b0005_yaaX_5234_1","b0005_yaaX_5234_1",4110.867,3579.645,3314.994,3379.875,2840.522,3384.772,3076.7,2930.605,3244.903,3160.374,3344.538,3300.565,3277.182,3112.239,2986.986,3145.525,3065.837,3093.404,2968.066,2890.461,3571.078,3170.794,3270.077,3362.268,3120.315,3560.768
"6","b0006_yaaA_6459_-1","b0006_yaaA_6459_-1",81.107,67.804,110.056,66.85,80.338,67.224,78.321,111.246,70.607,80.717,80.651,72.292,94.356,91.536,74.529,79.204,89.438,89.85,95.667,67.903,85.182,82.245,88.292,97.721,108.87,87.274
"7","b0007_yaaJ_7959_-1","b0007_yaaJ_7959_-1",412.652,491.578,407.571,512.137,407.428,476.463,421.627,574.21,547.71,575.366,432.881,503.782,481.889,499.436,485.166,450.977,490.867,581.885,609.877,370.713,517.642,528.466,511.767,490.262,546.194,488.733
"8","b0008_talB_8238_1","b0008_talB_8238_1",877.953,919.341,809.096,1071.861,1092.214,969.436,934.627,970.875,932.014,912.721,1097.838,804.244,847.518,894.488,927.953,748.396,761.259,902.778,1009.286,1117.645,1023.818,1000.935,989.198,942.429,810.064,887.283
"9","b0009_mog_9306_1","b0009_mog_9306_1",1771.558,1897.511,1262.625,2590.142,1321.751,2325.704,1622.545,1726.001,2409.721,1005.856,1785.839,2021.907,1570.351,1838.758,3098.049,1584.077,1399.802,1416.206,1853.547,1414.95,2594.765,2140.111,2081.404,1379.689,1970.725,1680.019
"10","b0010_satP_10494_-1","b0010_satP_10494_-1",1391.633,1568.463,1315.839,1358.522,1233.762,1307.914,1204.834,1185.502,1218.478,1305.957,1196.594,1335.136,1302.448,1136.979,1268.446,1207.455,1119.01,1356.306,1327.379,1093.787,1497.232,1373.661,1335.826,1359.814,1415.305,1296.015
"11","b0011_yaaW_11356_-1","b0011_yaaW_11356_-1",913.526,893.416,868.357,814.66,690.524,855.038,603.07,678.714,714.141,502.928,554.68,684.511,675.655,621.484,698.522,598.07,447.188,556.214,514.21,486.332,655.244,629.959,552.643,554.857,679.051,587.643
"12","b0013_yaaI_11786_-1","b0013_yaaI_11786_-1",17.075,20.939,16.932,29.459,21.041,14.152,16.969,22.474,20.173,18.627,19.751,18.073,16.849,19.271,17.536,19.397,33.279,29.95,16.742,25.693,16.381,38.497,27.796,21.532,23.988,16
"13","b0014_dnaK_12163_1","b0014_dnaK_12163_1",9266.171,6642.784,9438.24,6407.372,8913.692,7467.726,8449.502,6963.559,6405.077,5679.153,6437.249,6257.744,6628.5,7573.436,6283.778,6053.438,6647.501,5831.686,5830.899,7394.075,6383.711,6112.353,5994.051,6567.188,6126.224,5895.34
"14","b0015_dnaJ_14168_1","b0015_dnaJ_14168_1",688.702,918.343,726.856,850.917,747.908,954.105,569.131,682.085,695.985,877.537,783.465,910.423,788.546,716.233,762.821,674.041,719.661,646.064,868.177,675.359,778.102,936.189,815.884,785.081,669.825,795.645
"15","b0018_mokC_16960_-1","b0018_mokC_16960_-1",490.914,491.578,578.098,914.368,860.764,721.77,381.161,462.964,416.582,983.09,831.197,1244.772,970.518,810.981,1001.02,790.422,690.541,765.863,1083.428,871.726,945.189,974.687,783.183,949.054,1077.625,842.191
"16","b0019_nhaA_17489_1","b0019_nhaA_17489_1",1437.167,1435.846,1265.044,1526.212,1325.577,1874.008,1332.758,1185.502,1310.267,685.058,951.35,971.419,983.997,1151.432,1190.995,1104.005,950.534,1095.313,1128.87,1218.582,1061.495,1086.679,967.943,1018.618,1108.994,1098.194
"17","b0020_nhaR_18715_1","b0020_nhaR_18715_1",2663.739,3142.908,2957.009,2977.644,2408.227,2325.704,2356.149,2817.112,3399.23,3909.592,2378.375,3350.265,3145.758,2524.479,2614.344,3394.451,3656.541,3268.825,4350.453,2292.182,2658.651,3527.771,3752.413,3577.585,3760.616,2949.852
"18","b0023_rpsT_21078_-1","b0023_rpsT_21078_-1",522.218,443.716,615.59,599.381,870.328,600.296,899.383,837.155,599.152,865.119,860.824,711.621,834.039,814.193,607.919,678.89,800.778,770.142,650.535,822.176,591.357,776.949,712.877,718.83,566.491,544.006
"19","b0024_yaaY_21181_1","b0024_yaaY_21181_1",21.344,14.957,21.769,23.794,9.564,24.767,15.664,20.227,21.182,31.045,24.689,18.073,26.959,24.089,20.459,32.328,24.959,8.557,28.7,23.858,14.743,17.499,14.715,21.532,27.679,30.546
"20","b0025_ribF_21407_1","b0025_ribF_21407_1",308.777,387.878,338.635,375.038,357.695,308.993,362.886,384.305,373.209,538.112,567.847,429.232,406.067,335.634,444.248,363.691,418.069,474.921,363.534,414.758,448.842,421.723,410.395,415.729,413.336,450.914
"21","b0026_ileS_22391_1","b0026_ileS_22391_1",1868.317,1615.327,1604.888,1742.624,2056.27,1956.563,1625.155,1859.721,1464.594,2243.514,2625.265,1924.765,2185.35,1955.989,1832.525,1668.13,1926.028,2169.233,2004.222,2138.024,1973.921,2000.12,2158.251,1979.266,1668.104,1866.203
"22","b0027_lspA_25207_1","b0027_lspA_25207_1",35.573,54.841,43.539,48.721,66.948,33.022,49.603,51.69,43.373,78.647,51.024,76.81,84.246,46.571,29.227,67.889,76.958,55.621,71.75,45.88,40.953,50.747,49.051,51.345,55.357,49.455
"23","b0028_fkpB_25826_1","b0028_fkpB_25826_1",426.881,421.78,310.819,454.351,283.096,399.804,279.344,247.214,314.706,242.15,182.699,415.677,271.273,247.309,280.578,232.762,174.715,338.007,296.567,220.226,329.26,244.984,251.796,288.194,391.193,352.004
"24","b0029_ispH_26277_1","b0029_ispH_26277_1",85.376,101.706,100.381,134.832,97.553,109.681,127.924,110.122,113.98,136.598,138.258,128.769,102.781,114.019,119.83,176.188,153.916,166.864,117.192,121.124,91.734,129.492,130.803,140.785,123.632,125.092
"25","b0030_rihC_27293_1","b0030_rihC_27293_1",805.383,931.306,653.082,890.574,587.232,809.043,768.849,787.713,866.451,682.989,783.465,883.313,737.998,788.498,889.958,801.737,848.617,915.613,784.469,622.137,892.769,831.196,732.497,781.769,795.302,881.465
"26","b0031_dapB_28374_1","b0031_dapB_28374_1",590.519,641.145,568.423,694.557,518.371,612.089,605.68,650.621,622.352,610.55,646.852,695.807,716.094,600.608,659.066,606.152,594.864,667.456,643.36,559.74,717.492,661.457,619.68,650.922,695.659,709.826
"27","b0032_carA_29651_1","b0032_carA_29651_1",1128.39,955.237,995.345,856.582,1006.138,746.537,1058.635,1060.771,1039.942,778.193,837.78,786.172,933.449,973.177,775.973,1146.031,1025.412,885.663,729.46,847.869,863.283,895.942,940.147,902.678,966.91,852.373
"28","b0033_carB_30817_1","b0033_carB_30817_1",175.021,155.55,149.967,177.888,154.938,174.546,195.802,188.781,152.31,182.13,130.029,128.769,148.274,144.531,178.284,148.709,149.756,162.586,143.5,207.379,157.258,164.489,173.314,142.441,156.846,181.82
"29","b0034_caiF_34300_1","b0034_caiF_34300_1",7979.835,7000.748,8230.039,6316.729,7720.098,6840.305,7512.264,7086.042,6197.29,6664.313,8106.226,7597.399,8109.551,8320.181,7309.641,7094.403,8003.624,7145.206,7067.394,7829.021,7987.42,7498.263,7692.856,8066.13,7925.342,7530.267
"30","b0035_caiE_35371_-1","b0035_caiE_35371_-1",157.946,140.593,149.967,150.695,151.112,136.806,169.695,167.431,149.284,225.593,141.55,171.693,144.904,171.832,137.366,161.641,183.035,196.814,188.942,168.84,178.554,188.988,171.679,173.91,180.834,160.002
"31","b0036_caiD_36162_-1","b0036_caiD_36162_-1",7385.047,7916.1,7343.541,6726.891,6960.713,7558.537,7347.791,6483.74,6536.204,5372.843,6858.608,7132.021,7716.963,7241.014,6435.757,6796.984,6959.492,7500.327,6244.658,6700.364,7713.856,6574.323,6157.555,7489.741,7373.612,7111.353
"32","b0037_caiC_37824_-1","b0037_caiC_37824_-1",12294.182,10699.05,13688.109,9531.179,11987.576,11530.632,11279.492,9766.063,9883.992,9704.646,12563.416,12002.67,12871.153,12652.906,9926.907,11510.422,11820.321,13836.884,9681.493,12000.461,10403.631,9797.613,9834.756,12610.988,10510.534,11067.762
"33","b0038_caiB_39115_-1","b0038_caiB_39115_-1",3642.721,3640.469,3513.338,3094.347,3544.436,3302.216,3675.853,3807.09,3634.251,3419.082,4042.414,2654.458,2834.046,3186.111,3153.58,3421.93,3107.436,2947.932,2793.474,3501.587,3618.583,3149.795,3476.092,3203.264,2978.231,3392.038
"34","b0039_caiA_40386_-1","b0039_caiA_40386_-1",1629.264,2122.859,1560.14,1840.066,1564.678,2020.249,1644.736,1973.214,2085.937,1616.406,2073.877,1904.433,1900.597,1898.177,2059.033,1923.522,1878.189,1809.834,1733.963,1638.846,1914.949,1951.123,1898.28,1780.511,1751.141,1883.658
"35","b0040_caiT_41931_-1","b0040_caiT_41931_-1",2586.901,3831.915,2775.597,3734.518,2802.266,4283.446,3055.814,2855.318,3902.558,3067.239,3807.046,3991.854,3443.99,3875.043,3844.795,3067.937,3005.519,3217.482,3477.493,3600.689,3729.974,3156.795,3541.493,3070.761,2760.491,3838.589
"36","b0041_fixA_42403_1","b0041_fixA_42403_1",3259.95,2659.307,3188.006,2378.263,3075.797,2560.397,2233.446,2141.769,2027.434,2313.882,3145.38,2286.223,2392.595,2643.315,2175.941,2469.867,2560.411,2353.212,2477.773,2828.064,2439.144,2330.848,2468.908,2421.495,2299.179,2523.665
"37","b0042_fixB_43188_1","b0042_fixB_43188_1",1432.898,1978.277,1268.672,1713.165,1096.04,1438.823,1336.674,1564.188,1755.092,1817.163,1920.805,1477.46,1420.393,1459.765,1791.607,1590.543,1516.279,1745.655,1535.454,1409.444,2165.58,1751.636,1787.097,1691.072,1629.354,1927.295
"38","b0043_fixC_44180_1","b0043_fixC_44180_1",35.573,30.911,45.958,24.927,22.954,41.278,49.603,66.298,52.451,74.508,64.191,56.478,38.753,48.177,33.611,53.341,47.839,34.229,59.792,31.199,57.334,45.497,65.402,59.626,53.512,58.182
"39","b0044_fixX_45463_1","b0044_fixX_45463_1",1485.547,1474.734,1361.796,1500.152,1425.043,1397.545,1394.109,1460.808,1396.004,1873.044,1354.604,1671.744,1496.215,1477.43,1417.503,1456.381,1468.44,1322.077,1530.671,1203.9,1385.84,1424.407,1332.556,1537.037,1588.759,1448.744
"40","b0045_yaaU_45807_1","b0045_yaaU_45807_1",283.165,301.129,302.353,324.051,363.434,321.966,353.749,316.883,289.489,331.146,319.311,268.835,304.972,240.885,279.117,316.815,295.352,179.7,279.826,295.469,299.774,365.726,390.774,260.037,304.466,283.64
"41","b0046_kefF_47246_1","b0046_kefF_47246_1",368.541,477.618,380.964,435.089,430.382,454.055,358.97,364.078,381.279,471.883,538.22,397.604,362.259,454.47,520.238,449.361,384.79,363.678,394.626,425.77,471.775,475.969,430.015,424.01,402.264,434.914
"42","b0047_kefC_47769_1","b0047_kefC_47769_1",446.802,306.114,365.242,284.394,302.224,254.742,242.794,276.43,277.385,279.404,217.263,243.984,284.753,224.826,258.658,342.678,230.874,299.5,287.001,267.941,255.545,327.229,300.847,304.757,287.859,254.548
"43","b0048_folA_49823_1","b0048_folA_49823_1",2586.901,2910.58,2722.383,2798.622,2897.906,2956.663,2888.73,2909.255,3065.359,2953.408,2947.868,2462.434,2527.39,2739.67,2785.321,2828.709,3065.837,3072.011,3087.65,3020.761,2735.642,2904.811,2990.485,2802.442,2660.848,2858.214
"44","b0049_apaH_51222_-1","b0049_apaH_51222_-1",78.262,102.703,97.962,108.772,97.553,80.197,107.038,120.236,115.997,149.016,110.278,83.587,102.781,80.295,74.529,153.559,126.877,98.407,138.717,95.431,83.544,111.993,130.803,120.909,97.798,110.547
"45","b0050_apaG_51606_-1","b0050_apaG_51606_-1",1346.099,1420.89,1528.695,1487.689,1386.787,1323.245,1683.896,1794.546,1704.658,1686.775,1464.881,1725.963,1824.775,1464.583,1781.378,1706.924,1728.433,1690.034,1621.554,1655.363,1741.31,1776.135,1635.038,1712.603,1922.749,1616.018
"46","b0051_rsmA_52430_-1","b0051_rsmA_52430_-1",293.125,298.138,308.4,278.729,275.445,294.841,274.123,285.419,277.385,298.031,266.641,311.758,261.164,245.703,293.73,239.228,218.394,256.714,253.517,200.038,234.25,251.984,269.781,284.882,315.537,296.731
"47","b0052_pdxA_53416_-1","b0052_pdxA_53416_-1",194.942,95.723,76.193,90.644,78.425,57.789,61.351,66.298,55.477,66.229,37.856,67.773,60.657,56.207,77.451,77.587,62.398,55.621,50.225,95.431,50.781,38.497,85.022,74.533,64.584,58.182
"48","b0053_surA_54702_-1","b0053_surA_54702_-1",3642.721,3904.704,4121.671,3867.084,4284.693,4503.987,3510.074,3208.159,3125.879,3818.527,4234.989,3982.817,3914.084,3903.949,3632.9,3720.965,3924.854,4167.324,3534.893,4087.02,3885.595,3471.774,3503.887,3827.685,3391.566,3717.86
"49","b0054_lptD_57109_-1","b0054_lptD_57109_-1",348.62,481.607,351.938,497.407,304.137,478.821,318.504,378.686,440.79,376.679,393.378,449.564,392.588,428.776,486.627,328.13,391.029,367.957,418.543,359.702,514.366,465.47,465.986,352.79,319.228,445.096
"50","b0055_djlA_57364_1","b0055_djlA_57364_1",1373.135,1202.521,1390.822,1144.376,1327.49,1217.103,1703.476,1532.725,1437.36,1030.692,1431.963,1032.415,1347.941,1186.762,1106.237,1047.431,1376.923,1240.784,1114.52,1336.035,1297.382,1322.914,1319.476,1272.03,1212.328,1218.923
"51","b0058_rluA_60346_-1","b0058_rluA_60346_-1",1633.533,1607.35,1740.342,1310.934,1595.283,1375.137,1742.636,1568.683,1516.036,1508.784,1800.652,1529.42,1750.639,1668.533,1506.645,1554.982,1541.238,1630.134,1451.746,1868.247,1700.357,1492.653,1507.505,1767.261,1494.651,1566.563
"52","b0059_rapA_63264_-1","b0059_rapA_63264_-1",620.401,551.405,615.59,495.141,510.72,485.898,430.764,384.305,361.105,573.296,423.005,515.078,497.053,399.87,377.027,410.567,476.307,427.857,528.56,423.934,425.908,495.218,467.621,485.293,559.11,427.641
"53","b0060_polB_65780_-1","b0060_polB_65780_-1",294.548,195.435,255.186,234.54,292.66,200.492,348.527,258.451,207.787,238.011,279.809,207.838,212.301,202.344,293.73,226.297,257.913,205.371,220.034,284.458,194.935,253.734,312.292,251.756,230.656,241.457
"54","b0061_araD_66550_-1","b0061_araD_66550_-1",7466.154,7881.201,9057.276,7784.023,8980.64,8717.851,10229.994,9140.163,8722,9485.262,10570.189,8912.203,8928.425,10062.585,8657,8983.981,10012.85,9494.139,8361.289,10660.755,8790.093,8892.922,9372.04,9700.888,9312.968,9723.747
"55","b0062_araA_68337_-1","b0062_araA_68337_-1",1942.31,2101.92,1646.008,2074.606,1723.441,2159.414,1632.987,2128.285,2199.917,1734.377,2003.102,1737.258,1762.433,1962.413,2215.397,1823.305,1584.917,1625.855,1877.463,1763.64,2075.484,2057.866,2056.878,1633.101,1880.308,1786.202
"56","b0063_araB_70048_-1","b0063_araB_70048_-1",12055.129,7751.576,11848.596,8116.005,11065.602,9242.668,11745.5,9009.814,7743.586,8810.552,9678.093,9031.936,10271.311,10419.095,8415.878,9444.656,10356.041,11081.487,8825.274,10789.22,9139.01,9354.892,9381.85,9992.395,9741.066,8947.011
"57","b0064_araC_70387_1","b0064_araC_70387_1",140.871,136.605,129.407,156.36,170.24,141.524,146.199,195.524,195.683,190.409,167.885,198.802,181.972,163.802,211.895,227.913,187.195,183.978,133.934,133.971,211.316,174.989,219.095,172.254,145.775,148.365
"58","b0065_yabI_71351_1","b0065_yabI_71351_1",123.796,86.749,96.753,88.378,76.512,79.017,74.405,93.267,55.477,136.598,88.88,94.883,97.726,109.201,89.142,95.368,133.116,102.686,124.367,111.948,93.372,124.242,127.533,132.503,110.715,94.547
"59","b0066_thiQ_72927_-1","b0066_thiQ_72927_-1",448.225,460.667,522.465,326.317,483.941,363.244,368.107,421.387,370.183,536.043,775.235,318.535,453.245,407.899,394.563,480.072,499.187,312.335,368.318,574.422,375.127,388.475,297.577,480.324,343.216,385.459
"60","b0067_thiP_74521_-1","b0067_thiP_74521_-1",22.767,29.913,24.188,22.661,30.605,23.587,15.664,24.721,25.217,62.09,32.919,38.405,37.068,32.118,30.688,42.027,41.599,59.9,45.442,40.375,18.019,43.747,27.796,36.438,35.06,21.818
"61","b0068_thiB_75480_-1","b0068_thiB_75480_-1",179.29,152.559,102.8,165.425,139.635,128.551,169.695,177.544,153.318,153.155,190.928,160.397,139.849,154.167,157.825,219.831,195.515,145.471,184.159,168.84,173.64,136.491,158.599,170.598,156.846,135.274
"62","b0069_sgrR_77299_-1","b0069_sgrR_77299_-1",96.76,104.697,101.59,131.433,87.989,91.99,143.588,117.988,120.032,138.667,93.818,140.065,104.465,96.354,125.676,116.381,72.798,94.128,83.709,124.795,119.582,125.992,116.088,92.752,99.643,91.637
"63","b0070_setA_77621_1","b0070_setA_77621_1",122.373,92.732,96.753,73.648,86.076,81.376,101.817,123.607,107.928,80.717,72.421,81.328,84.246,91.536,93.526,166.49,79.038,68.457,90.884,110.113,70.439,104.993,114.453,94.409,97.798,91.637
"64","b0071_leuD_79453_-1","b0071_leuD_79453_-1",278.896,285.175,314.447,398.832,254.404,304.276,301.535,371.944,370.183,302.171,273.225,393.086,308.342,255.338,394.563,342.678,249.593,372.235,351.576,267.941,375.127,300.98,295.942,296.476,407.8,341.822
"65","b0072_leuC_80864_-1","b0072_leuC_80864_-1",152.254,146.576,189.877,142.764,223.799,162.752,150.115,146.081,133.145,165.573,174.469,225.911,205.561,195.92,185.591,227.913,191.355,175.421,205.684,205.544,126.134,183.738,171.679,200.411,217.739,130.911
"66","b0073_leuB_81958_-1","b0073_leuB_81958_-1",8191.853,7141.342,8341.305,6762.016,8060.579,8279.128,7888.204,6174.723,6155.934,7560.476,7065.995,7475.407,7329.43,7698.696,6736.794,6691.918,6990.692,6405.014,6605.801,7847.373,6826,6721.313,6930.928,7698.434,7166.944,7537.54
"67","b0074_leuA_83529_-1","b0074_leuA_83529_-1",441.111,341.014,435.388,334.248,382.562,331.401,403.352,330.367,356.062,494.649,363.751,553.483,471.779,438.411,388.717,518.866,440.948,432.135,420.934,416.593,442.289,412.973,405.49,485.293,433.633,386.913
"68","b0075_leuL_83708_-1","b0075_leuL_83708_-1",76.839,107.688,113.685,99.708,131.984,96.708,88.764,71.917,108.937,177.991,93.818,115.215,148.274,139.714,96.449,143.86,122.717,81.293,126.759,97.266,83.544,131.241,96.467,99.377,138.394,106.183
"69","b0076_leuO_84368_1","b0076_leuO_84368_1",1091.393,986.147,1294.069,914.368,1189.767,912.827,1117.376,1115.832,950.17,1281.121,877.283,1165.703,1263.695,1011.719,816.891,989.24,1100.29,1086.756,930.361,748.767,789.569,1070.93,833.87,1035.181,1120.066,868.373
"70","b0077_ilvI_85630_1","b0077_ilvI_85630_1",2040.493,1874.577,2388.586,1957.903,2614.81,2107.522,2520.622,2099.069,1861.003,1951.692,2049.188,2150.676,2424.609,2522.873,2111.642,2174.065,2188.101,2344.654,2214.689,2492.22,2078.76,1996.62,2141.9,2207.834,2168.167,2061.114
"71","b0078_ilvH_87357_1","b0078_ilvH_87357_1",301.663,298.138,348.31,338.781,290.747,307.814,472.535,422.511,368.166,362.191,256.766,352.422,315.081,321.18,377.027,454.21,318.231,385.071,344.401,295.469,325.984,346.477,336.818,316.351,346.907,343.277
"72","b0080_cra_88028_1","b0080_cra_88028_1",325.853,306.114,380.964,465.682,516.459,367.961,356.359,324.749,316.723,579.505,493.78,445.045,593.094,489.8,533.39,523.715,478.387,628.949,516.601,574.422,471.775,558.214,452.906,616.14,490.836,520.733
"73","b0081_mraZ_89634_1","b0081_mraZ_89634_1",167.907,141.59,159.642,146.163,164.502,121.474,146.199,151.699,107.928,167.643,120.153,203.32,192.082,173.437,154.902,135.778,172.635,171.143,160.242,155.993,155.62,160.99,119.358,150.722,234.347,132.365
"74","b0082_rsmH_90094_1","b0082_rsmH_90094_1",101.029,120.651,113.685,112.172,118.594,100.246,110.954,94.391,92.798,165.573,88.88,128.769,106.15,97.96,97.91,182.654,110.237,98.407,117.192,121.124,96.648,115.492,111.183,91.096,116.251,90.183
"75","b0083_ftsL_91032_1","b0083_ftsL_91032_1",155.1,108.686,129.407,114.438,128.158,91.99,118.786,107.875,101.876,126.249,70.775,97.142,99.411,96.354,108.139,113.148,118.557,154.028,129.15,139.476,108.115,80.495,103.007,112.628,129.167,119.274
"76","b0084_ftsI_91413_1","b0084_ftsI_91413_1",462.455,777.75,536.978,796.531,564.279,687.569,612.207,678.714,794.835,771.984,623.809,756.803,724.518,671.267,831.505,787.189,750.86,830.042,779.685,750.602,832.159,726.203,701.431,708.892,669.825,848.01
"77","b0085_murE_93166_1","b0085_murE_93166_1",368.541,345.999,428.131,362.575,545.151,372.679,498.642,439.366,368.166,461.535,701.168,494.746,621.738,541.189,540.697,459.059,592.784,530.542,595.527,869.891,478.328,570.463,621.315,579.701,557.265,496.006
"78","b0086_murF_94650_1","b0086_murF_94650_1",64.032,52.847,65.308,55.519,68.861,55.43,56.13,71.917,52.451,70.369,62.545,88.105,64.027,73.872,61.376,84.053,99.837,85.571,55.008,64.232,76.991,75.245,68.672,72.877,84.881,45.091
"79","b0087_mraY_96002_1","b0087_mraY_96002_1",3503.273,3066.13,4053.944,2831.481,3909.782,3180.742,4802.367,4214.993,3757.309,3034.125,3372.519,3133.39,3317.62,3451.084,3250.028,3753.293,3748.059,3593.996,3080.475,4292.564,3307.342,3480.524,3484.267,3913.812,3365.733,3512.767
"80","b0088_murD_97087_1","b0088_murD_97087_1",145.14,140.593,147.548,122.369,156.85,130.909,156.641,162.936,127.093,155.225,161.302,140.065,166.808,130.078,128.598,164.873,160.156,158.307,143.5,135.806,117.944,148.74,130.803,152.379,180.834,135.274
"81","b0089_ftsW_98403_1","b0089_ftsW_98403_1",91.068,64.813,97.962,64.584,80.338,63.686,91.374,93.267,69.598,88.995,102.048,106.178,89.301,73.872,67.222,98.601,114.397,72.736,86.1,97.266,70.439,97.994,91.562,102.69,101.489,71.274
"82","b0090_murG_99644_1","b0090_murG_99644_1",1512.583,1963.321,1803.231,1942.04,2216.946,1970.716,2249.111,2673.278,2521.684,2738.163,2886.969,2787.746,2805.402,2452.213,2823.316,2586.248,2799.605,3059.175,2339.056,2450.01,2786.423,2672.076,2802.456,2949.852,2730.968,2856.76
"83","b0091_murC_100765_1","b0091_murC_100765_1",3938.692,3740.18,3160.19,3461.454,2614.81,3080.496,2647.241,3029.491,3116.801,2653.307,2931.409,2984.289,2754.855,2701.128,3057.131,2958.022,2957.68,3042.061,3147.442,2404.13,3476.067,2978.306,2768.12,2721.284,2884.123,3077.853
"84","b0092_ddlB_102233_1","b0092_ddlB_102233_1",846.648,663.082,787.326,739.879,893.282,738.281,1186.559,960.762,892.676,639.526,569.493,558.001,616.683,732.292,600.612,672.425,615.663,564.771,576.393,835.022,525.833,617.71,667.096,619.452,607.087,576.007
"85","b0093_ftsQ_103155_1","b0093_ftsQ_103155_1",169.33,141.59,157.223,147.296,177.891,176.904,126.619,176.421,146.258,171.782,141.55,164.915,161.753,167.014,151.98,193.969,212.154,179.7,167.417,185.357,137.601,146.99,155.329,173.91,175.299,135.274
"86","b0094_ftsA_103982_1","b0094_ftsA_103982_1",118.104,85.752,107.638,89.511,131.984,89.632,103.122,110.122,97.841,134.528,111.924,115.215,106.15,109.201,118.369,126.08,116.477,115.521,114.8,154.158,99.925,148.74,93.197,137.472,142.084,110.547
"87","b0095_ftsZ_105305_1","b0095_ftsZ_105305_1",3743.749,3040.205,3679.027,3101.146,3741.455,3318.727,3362.57,2691.258,2548.918,3406.664,3077.897,3501.626,3300.771,3706.423,2858.388,2663.836,2949.36,2819.575,2898.708,2936.341,2727.452,2927.56,3024.821,3153.575,3474.603,3096.762
"88","b0096_lpxC_106557_1","b0096_lpxC_106557_1",3022.32,3053.168,4219.634,3706.192,4747.593,3684.33,3979.999,3069.944,3276.172,4745.736,4875.257,4850.317,5021.081,5103.558,4192.595,4372.376,5085.463,4167.324,4759.429,5323.954,4340.989,4120.982,4640.239,4950.649,4148.118,4506.233
"89","b0097_secM_107705_1","b0097_secM_107705_1",1704.679,1293.259,1637.542,1298.47,1738.744,1519.02,1647.346,1590.033,1392.978,1893.741,1427.025,1646.894,1624.269,1432.465,1361.972,1666.514,1480.92,1600.184,1554.587,1297.496,1446.45,1343.913,1502.6,1561.881,1644.116,1496.744
"90","b0098_secA_108279_1","b0098_secA_108279_1",190.674,265.233,233.416,290.06,219.973,260.639,220.603,269.688,294.533,244.22,268.287,289.167,257.794,279.427,331.725,290.953,297.432,260.993,301.351,233.072,291.583,306.23,271.416,236.849,245.418,263.276
"91","b0099_mutT_111044_1","b0099_mutT_111044_1",586.25,733.877,569.632,767.072,589.145,720.591,601.764,675.343,728.262,618.829,694.584,652.884,660.491,599.002,751.131,525.332,567.825,646.064,655.318,521.201,742.063,689.455,639.3,639.328,588.634,667.644
"92","b0101_yacG_111846_-1","b0101_yacG_111846_-1",687.279,630.177,647.035,608.445,661.832,818.478,853.696,587.694,726.245,556.739,832.843,618.997,559.396,782.075,590.383,635.247,705.101,569.049,595.527,478.991,591.357,521.466,636.03,636.015,544.348,615.28
"93","b0102_zapD_112599_-1","b0102_zapD_112599_-1",529.333,536.448,540.607,569.922,550.889,537.79,514.306,521.396,549.727,550.53,546.45,474.414,427.971,549.219,562.617,494.62,432.628,457.807,463.985,552.399,553.681,542.465,547.738,503.512,404.109,568.734
"94","b0103_coaE_113219_-1","b0103_coaE_113219_-1",1501.199,1182.579,1597.631,1210.093,1392.525,930.517,1820.957,1682.176,1518.054,1115.548,1269.015,1337.395,1979.788,1189.974,1233.374,1470.929,1470.52,1719.984,1702.871,1677.385,1487.403,1378.91,1568.002,1493.973,2138.643,1272.742
"95","b0104_guaC_113444_1","b0104_guaC_113444_1",216.287,249.279,243.092,242.472,246.752,233.514,220.603,229.234,198.709,227.663,288.038,257.539,288.122,242.491,235.276,216.598,224.634,218.207,296.567,350.526,281.755,260.733,299.212,251.756,243.573,269.094
